% Please add the following required packages to your document preamble:
% \usepackage{multirow}
\begin{table}[]
\begin{tabular}{lllllll}
\multirow{3}{*}{Industry}                                                                                                                   & \multicolumn{6}{l}{2023}                                                                                                                                                                                                                 \\
                                                                                                                                            & \multirow{2}{*}{\begin{tabular}[c]{@{}l@{}}Total\\ employed\end{tabular}} & \multicolumn{5}{l}{Percent of total employed}                                                                                                                \\
                                                                                                                                            &                                                                           & Women & White & \begin{tabular}[c]{@{}l@{}}Black or\\ African\\ American\end{tabular} & Asian & \begin{tabular}[c]{@{}l@{}}Hispanic\\ or Latino\end{tabular} \\
                                                                                                                                            &                                                                           &       &       &                                                                       &       &                                                              \\
Wired telecommunications carriers                                                                                                           & 417                                                                       & 28.9  & 75.4  & 15.5                                                                  & 7     & 12.5                                                         \\
Telecommunications, except wired telecommunications carriers                                                                                & 487                                                                       & 27.5  & 73.9  & 13.6                                                                  & 9.4   & 15                                                           \\
Data processing, hosting, and related services                                                                                              & 178                                                                       & 33.8  & 66.9  & 16.9                                                                  & 16    & 17.3                                                         \\
Libraries and archives                                                                                                                      & 185                                                                       & 77.1  & 82.5  & 8.5                                                                   & 4.8   & 9.1                                                          \\
Other information services, except libraries and archives, and internet publishing and broadcasting and web search portals                  & 42                                                                        & –     & –     & –                                                                     & –     & –                                                            \\
                                                                                                                                            &                                                                           &       &       &                                                                       &       &                                                              \\
Financial activities                                                                                                                        & 11018                                                                     & 51.1  & 76.5  & 12                                                                    & 8.7   & 12.8                                                         \\
Finance and insurance                                                                                                                       & 7746                                                                      & 52.8  & 75.2  & 12.6                                                                  & 9.6   & 11.7                                                         \\
Banking and related activities                                                                                                              & 1976                                                                      & 55.9  & 72.7  & 13.4                                                                  & 11.2  & 12.6                                                         \\
Savings institutions, including credit unions                                                                                               & 298                                                                       & 68.6  & 75    & 13.1                                                                  & 5.3   & 16.9                                                         \\
Nondepository credit and related activities                                                                                                 & 1133                                                                      & 46.5  & 73.3  & 11.8                                                                  & 12.6  & 12.6                                                         \\
Securities, commodities, funds, trusts, and other financial investments                                                                     & 1445                                                                      & 36.9  & 77.1  & 7.8                                                                   & 12.3  & 8.6                                                          \\
Insurance carriers and related activities                                                                                                   & 2895                                                                      & 59.4  & 76.8  & 14.6                                                                  & 6.4   & 11.8                                                         \\
Insurance carriers                                                                                                                          & 1573                                                                      & 61.1  & 76.5  & 15.2                                                                  & 6.1   & 11.8                                                         \\
Agencies, brokerages, and other insurance related activities                                                                                & 1322                                                                      & 57.5  & 77.2  & 13.9                                                                  & 6.7   & 11.9                                                         \\
Real estate and rental and leasing                                                                                                          & 3272                                                                      & 47.3  & 79.4  & 10.8                                                                  & 6.5   & 15.3                                                         \\
Real estate                                                                                                                                 & 2890                                                                      & 50.2  & 80.6  & 9.8                                                                   & 6.5   & 15.1                                                         \\
Lessors of real estate, and offices of real estate agents and brokers                                                                       & 2357                                                                      & 50.4  & 80.4  & 9.8                                                                   & 6.8   & 14.3                                                         \\
Real estate property managers, offices of real estate appraisers, and other activities related to real estate                               & 532                                                                       & 49.3  & 81.3  & 10                                                                    & 4.9   & 19                                                           \\
Rental and leasing services                                                                                                                 & 382                                                                       & 24.8  & 70.5  & 18.1                                                                  & 6.8   & 16.3                                                         \\
Automotive equipment rental and leasing                                                                                                     & 180                                                                       & 24    & 57.7  & 27.1                                                                  & 7.7   & 18.5                                                         \\
Other consumer goods rental                                                                                                                 & 80                                                                        & 31.6  & 72.3  & 20.1                                                                  & 7.4   & 21.5                                                         \\
Commercial, industrial, and other intangible assets rental and leasing                                                                      & 122                                                                       & 21.5  & 88.3  & 3.6                                                                   & 5     & 9.7                                                          \\
                                                                                                                                            &                                                                           &       &       &                                                                       &       &                                                              \\
Professional and business services                                                                                                          & 20735                                                                     & 42.2  & 75.5  & 10.9                                                                  & 10    & 17.6                                                         \\
Professional and technical services                                                                                                         & 13726                                                                     & 42.7  & 75.1  & 8.5                                                                   & 13.3  & 10.3                                                         \\
Legal services                                                                                                                              & 1738                                                                      & 57.9  & 82.7  & 9.8                                                                   & 4.7   & 11.8                                                         \\
Accounting, tax preparation, bookkeeping, and payroll services                                                                              & 1236                                                                      & 60    & 77.9  & 9.2                                                                   & 11    & 10.1                                                         \\
Architectural, engineering, and related services                                                                                            & 1883                                                                      & 26.3  & 82.7  & 6.5                                                                   & 7.6   & 10.3                                                         \\
Specialized design services                                                                                                                 & 454                                                                       & 60.2  & 80.1  & 7.9                                                                   & 9.1   & 13.2                                                         \\
Computer systems design and related services                                                                                                & 4107                                                                      & 27.8  & 64.4  & 8.5                                                                   & 24    & 8.4                                                          \\
Management, scientific, and technical consulting services                                                                                   & 2002                                                                      & 43.8  & 76.9  & 9.3                                                                   & 10.8  & 9.2                                                          \\
Scientific research and development services                                                                                                & 831                                                                       & 48.5  & 68.2  & 8.9                                                                   & 17.6  & 11.7                                                         \\
Advertising, public relations, and related services                                                                                         & 617                                                                       & 52.9  & 78.9  & 11.2                                                                  & 7.3   & 11.9                                                         \\
Veterinary services                                                                                                                         & 436                                                                       & 82.5  & 89.6  & 2.7                                                                   & 2.7   & 12.9                                                         \\
Other professional, scientific, and technical services                                                                                      & 422                                                                       & 54.3  & 83.1  & 6.9                                                                   & 6     & 17.8                                                         \\
Management, administrative, and waste services                                                                                              & 7009                                                                      & 41.4  & 76.4  & 15.7                                                                  & 3.5   & 31.8                                                         \\
Management of companies and enterprises                                                                                                     & 91                                                                        & 46.6  & 72.5  & 10.6                                                                  & 9.3   & 22.4                                                         \\
Administrative and support services                                                                                                         & 6344                                                                      & 43.1  & 76.2  & 16                                                                    & 3.6   & 32.7                                                         \\
Employment services                                                                                                                         & 866                                                                       & 61    & 70.8  & 18.7                                                                  & 7.1   & 20.7                                                         \\
Business support services                                                                                                                   & 605                                                                       & 68.1  & 71.6  & 21.3                                                                  & 3.8   & 20.4                                                         \\
Travel arrangement and reservation services                                                                                                 & 349                                                                       & 60.3  & 77.4  & 11.4                                                                  & 7.8   & 17.7                                                         \\
Investigation and security services                                                                                                         & 896                                                                       & 26.7  & 59    & 31.4                                                                  & 4.7   & 18.6                                                         \\
Services to buildings and dwellings (except cleaning during construction and immediately after construction)                                & 1680                                                                      & 57    & 80.9  & 12.9                                                                  & 1.9   & 45.8                                                         \\
Landscaping services                                                                                                                        & 1491                                                                      & 10.7  & 85.7  & 8.1                                                                   & 1.5   & 46.5                                                         \\
Other administrative and other support services                                                                                             & 457                                                                       & 49.1  & 77.2  & 14.1                                                                  & 3.9   & 17.6                                                         \\
Waste management and remediation services                                                                                                   & 573                                                                       & 21.7  & 79.3  & 13.6                                                                  & 2.3   & 23.8                                                         \\
                                                                                                                                            &                                                                           &       &       &                                                                       &       &                                                              \\
Education and health services                                                                                                               & 36378                                                                     & 74.4  & 74.2  & 15.5                                                                  & 6.8   & 14                                                           \\
Educational services                                                                                                                        & 14029                                                                     & 68.9  & 79    & 11.9                                                                  & 6.1   & 12.9                                                         \\
Elementary and secondary schools                                                                                                            & 9157                                                                      & 74.6  & 81.5  & 12.1                                                                  & 3.5   & 14.1                                                         \\
Colleges, universities, and professional schools, including junior colleges                                                                 & 3821                                                                      & 56.1  & 73.9  & 11.4                                                                  & 11.9  & 10.3                                                         \\
Business, technical, and trade schools and training                                                                                         & 113                                                                       & 56.9  & 74.5  & 16.2                                                                  & 3.3   & 10.3                                                         \\
Other schools and instruction, and educational support services                                                                             & 939                                                                       & 66.6  & 76    & 11.8                                                                  & 8.4   & 12.2                                                         \\
Health care and social assistance                                                                                                           & 22348                                                                     & 77.8  & 71.1  & 17.8                                                                  & 7.3   & 14.7                                                         \\
Hospitals                                                                                                                                   & 7467                                                                      & 74.6  & 70.1  & 16.9                                                                  & 9.4   & 11.9                                                         \\
General medical and surgical hospitals, and specialty (except psychiatric and substance abuse) hospitals                                    & 7373                                                                      & 74.7  & 70.1  & 16.8                                                                  & 9.5   & 11.9                                                         \\
Psychiatric and substance abuse hospitals                                                                                                   & 95                                                                        & 65.2  & 66.7  & 27.7                                                                  & 0.9   & 6.6                                                          \\
Health services, except hospitals                                                                                                           & 11201                                                                     & 78.1  & 72.1  & 17.5                                                                  & 6.8   & 15.1                                                         \\
Offices of physicians                                                                                                                       & 1626                                                                      & 76.7  & 79.5  & 10.3                                                                  & 7.1   & 15.3                                                         \\
Offices of dentists                                                                                                                         & 942                                                                       & 82.4  & 84    & 6.2                                                                   & 6.4   & 20.1                                                         \\
Offices of chiropractors                                                                                                                    & 136                                                                       & 69.9  & 86.6  & 4.3                                                                   & 5.2   & 4.4                                                          \\
Offices of optometrists                                                                                                                     & 166                                                                       & 74.7  & 83.1  & 5.3                                                                   & 4.5   & 12.5                                                         \\
Offices of other health practitioners                                                                                                       & 421                                                                       & 81.9  & 81.4  & 10.5                                                                  & 6.4   & 10.7                                                         \\
Outpatient care centers                                                                                                                     & 2529                                                                      & 77.3  & 76.7  & 13.8                                                                  & 5.9   & 15.8                                                         \\
Home health care services                                                                                                                   & 1387                                                                      & 85    & 62.3  & 26.4                                                                  & 8     & 19.5                                                         \\
Other health care services                                                                                                                  & 1745                                                                      & 72    & 66.8  & 19.8                                                                  & 9.3   & 14.2                                                         \\
Nursing care facilities (skilled nursing facilities)                                                                                        & 1333                                                                      & 81.4  & 62.8  & 27.7                                                                  & 5.9   & 10.6                                                         \\
Residential care facilities, except skilled nursing facilities                                                                              & 918                                                                       & 75    & 63.8  & 27.3                                                                  & 5.2   & 13.2                                                         \\
Social assistance                                                                                                                           & 3680                                                                      & 83.5  & 70.3  & 20.2                                                                  & 4.5   & 19.3                                                         \\
Individual and family services                                                                                                              & 1932                                                                      & 77.4  & 68.7  & 21.3                                                                  & 5.3   & 18                                                           \\
Community food and housing, and emergency services                                                                                          & 174                                                                       & 61.7  & 68.6  & 23.3                                                                  & 0.7   & 18.8                                                         \\
Vocational rehabilitation services                                                                                                          & 82                                                                        & 70.3  & 68.1  & 25.9                                                                  & 3.1   & 10.5                                                         \\
Child day care services                                                                                                                     & 1491                                                                      & 94.6  & 72.6  & 18.2                                                                  & 4     & 21.4                                                         \\
                                                                                                                                            &                                                                           &       &       &                                                                       &       &                                                              \\
Leisure and hospitality                                                                                                                     & 14288                                                                     & 50.8  & 74.5  & 12.5                                                                  & 7.2   & 25.9                                                         \\
Arts, entertainment, and recreation                                                                                                         & 3529                                                                      & 44.1  & 78.4  & 11.6                                                                  & 4.8   & 16.6                                                         \\
Performing arts companies                                                                                                                   & 187                                                                       & 51.4  & 82.5  & 9.5                                                                   & 6     & 13.3                                                         \\
Spectator sports                                                                                                                            & 167                                                                       & 19.1  & 70.6  & 20.6                                                                  & 1     & 13                                                           \\
Promoters of performing arts, sports, and similar events, agents and managers for artists, athletes, entertainers, and other public figures & 133                                                                       & 34.5  & 76.1  & 15.2                                                                  & 3.8   & 20.7                                                         \\
Independent artists, writers, and performers                                                                                                & 493                                                                       & 47    & 80    & 11.8                                                                  & 4.3   & 10.4                                                         \\
Museums, art galleries, historical sites, and similar institutions                                                                          & 407                                                                       & 49.4  & 81.3  & 8.5                                                                   & 4.1   & 15                                                           \\
Bowling centers                                                                                                                             & 40                                                                        & –     & –     & –                                                                     & –     & –                                                            \\
Other amusement, gambling, and recreation industries                                                                                        & 2103                                                                      & 44.4  & 77.7  & 11.5                                                                  & 5.4   & 18.6                                                         \\
Accommodation and food services                                                                                                             & 10759                                                                     & 53    & 73.3  & 12.8                                                                  & 8     & 29                                                           \\
Accommodation                                                                                                                               & 1279                                                                      & 58.7  & 68.6  & 16.3                                                                  & 8.9   & 30.5                                                         \\
Traveler accommodation                                                                                                                      & 1186                                                                      & 59.3  & 67.3  & 17                                                                    & 9.3   & 32.4                                                         \\
Recreational vehicle parks and camps, and rooming and boarding houses, dormitories, and workers' camps                                      & 93                                                                        & 51.7  & 85.3  & 7.3                                                                   & 3.3   & 6.4                                                          \\
Food services and drinking places                                                                                                           & 9479                                                                      & 52.3  & 73.9  & 12.3                                                                  & 7.8   & 28.8                                                         \\
Restaurants and other food services                                                                                                         & 9270                                                                      & 52.2  & 73.7  & 12.3                                                                  & 7.9   & 28.9                                                         \\
Drinking places, alcoholic beverages                                                                                                        & 209                                                                       & 53.9  & 83.2  & 10.1                                                                  & 3     & 21.6                                                         \\
                                                                                                                                            &                                                                           &       &       &                                                                       &       &                                                              \\
Other services                                                                                                                              & 7605                                                                      & 53.3  & 77.8  & 10.9                                                                  & 7.8   & 21.7                                                         \\
Other services, except private households                                                                                                   & 6932                                                                      & 49.6  & 77.4  & 10.8                                                                  & 8.2   & 19.5                                                         \\
Repair and maintenance                                                                                                                      & 2155                                                                      & 13.2  & 84.9  & 8                                                                     & 3.3   & 27.9                                                         \\
Automotive repair and maintenance                                                                                                           & 1353                                                                      & 12.3  & 85.3  & 7.3                                                                   & 3.5   & 29.5                                                         \\
Car washes                                                                                                                                  & 209                                                                       & 20.6  & 78.3  & 16.9                                                                  & 1.8   & 37.7                                                         \\
Electronic and precision equipment repair and maintenance                                                                                   & 89                                                                        & 19.1  & 80.9  & 6.1                                                                   & 8     & 16                                                           \\
Commercial and industrial machinery and equipment repair and maintenance                                                                    & 325                                                                       & 5.9   & 87.4  & 8.4                                                                   & 1.3   & 22                                                           \\
Personal and household goods repair and maintenance                                                                                         & 178                                                                       & 21.8  & 87    & 3                                                                     & 4.5   & 21.2                                                         \\
Personal and laundry services                                                                                                               & 2746                                                                      & 73.2  & 69.7  & 11.8                                                                  & 14.8  & 19.4                                                         \\
Barber shops                                                                                                                                & 164                                                                       & 33.9  & 64.2  & 29.9                                                                  & 3.3   & 40.6                                                         \\
Beauty salons                                                                                                                               & 1008                                                                      & 89.2  & 74.2  & 13.3                                                                  & 10    & 17.3                                                         \\
Nail salons and other personal care services                                                                                                & 625                                                                       & 77.2  & 49.9  & 6.3                                                                   & 39    & 15.7                                                         \\
Drycleaning and laundry services                                                                                                            & 232                                                                       & 52.4  & 68.1  & 14.6                                                                  & 15.5  & 35.1                                                         \\
Funeral homes, and cemeteries and crematories                                                                                               & 129                                                                       & 38.2  & 73.8  & 15.9                                                                  & 0     & 15.3                                                         \\
Other personal services                                                                                                                     & 588                                                                       & 68.2  & 84.5  & 8.1                                                                   & 3.5   & 15.6                                                         \\
Membership associations and organizations                                                                                                   & 2031                                                                      & 56.2  & 80    & 12.4                                                                  & 4.4   & 10.6                                                         \\
Religious organizations                                                                                                                     & 987                                                                       & 48.6  & 82.3  & 10.6                                                                  & 4.7   & 9.3                                                          \\
Civic, social, advocacy organizations, and grantmaking and giving services                                                                  & 805                                                                       & 66.9  & 75.3  & 16                                                                    & 4.1   & 11.8                                                         \\
Labor unions                                                                                                                                & 94                                                                        & 36.7  & 86.4  & 8.9                                                                   & 1.6   & 19.2                                                         \\
Business, professional, political, and similar organizations                                                                                & 145                                                                       & 61.5  & 86.3  & 6.1                                                                   & 5.2   & 6.6                                                          \\
Other services, private households                                                                                                          & 673                                                                       & 92    & 81.8  & 11.9                                                                  & 3.9   & 44.8                                                         \\
                                                                                                                                            &                                                                           &       &       &                                                                       &       &                                                              \\
Public administration                                                                                                                       & 7984                                                                      & 46    & 72.2  & 18.4                                                                  & 5.1   & 13.2                                                         \\
Executive offices and legislative bodies                                                                                                    & 1332                                                                      & 50.3  & 72.1  & 16.5                                                                  & 5.5   & 15.5                                                         \\
Public finance activities                                                                                                                   & 343                                                                       & 60.3  & 69.2  & 20.9                                                                  & 6.9   & 8.9                                                          \\
Other general government and support                                                                                                        & 148                                                                       & 38.8  & 63.3  & 27.2                                                                  & 6.4   & 7.2                                                          \\
Justice, public order, and safety activities                                                                                                & 2608                                                                      & 34.8  & 77.9  & 16.4                                                                  & 2.7   & 13.8                                                         \\
Administration of human resource programs                                                                                                   & 1615                                                                      & 68.7  & 65.1  & 22.6                                                                  & 7.1   & 14.3                                                         \\
Administration of environmental quality and housing programs                                                                                & 245                                                                       & 39    & 82.1  & 8.8                                                                   & 4.8   & 9.1                                                          \\
Administration of economic programs and space research                                                                                      & 617                                                                       & 39.4  & 71.4  & 20.5                                                                  & 4.7   & 9.2                                                          \\
National security and international affairs                                                                                                 & 1076                                                                      & 35.3  & 69.2  & 18.7                                                                  & 7.1   & 12.6                                                        
\end{tabular}
\end{table}
