% Please add the following required packages to your document preamble:
% \usepackage[table,xcdraw]{xcolor}
% Beamer presentation requires \usepackage{colortbl} instead of \usepackage[table,xcdraw]{xcolor}
\begin{table}[]
\begin{tabular}{llcllrrrllrrrllrrrllrrrll}
\multicolumn{25}{c}{\textbf{2009-2010 Award Year FFEL Volume by School}}                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             \\
\multicolumn{25}{c}{Award Year Quarterly Activity  (07/01/2009-09/30/2009)}                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          \\
\multicolumn{25}{c}{Data Run: 4/5/2012}                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              \\
\multicolumn{1}{c}{}                                        & \multicolumn{1}{c}{}                                               &                & \multicolumn{1}{c}{}                                          & \multicolumn{1}{c}{}                                             & \multicolumn{1}{c}{}                                            & \multicolumn{1}{c}{}                                                        & \multicolumn{1}{c}{}                                                        & \multicolumn{1}{c}{}                                                     & \multicolumn{1}{c}{}                                                     & \multicolumn{1}{c}{}                                            & \multicolumn{1}{c}{}                                                        & \multicolumn{1}{c}{}                                                        & \multicolumn{1}{c}{}                                                     & \multicolumn{1}{c}{}                                                     & \multicolumn{1}{c}{}                                            & \multicolumn{1}{c}{}                                                        & \multicolumn{1}{c}{}                                                        & \multicolumn{1}{c}{}                                                     & \multicolumn{1}{c}{}                                                     & \multicolumn{1}{c}{}                                            & \multicolumn{1}{c}{}                                                        & \multicolumn{1}{c}{}                                                        & \multicolumn{1}{c}{}                                                     & \multicolumn{1}{c}{}                                                     \\
00711300                                                    & ARIZONA CHRISTIAN UNIVERSITY                                       & AZ             & 850327097                                                     & PRIVATE                                                          & 150                                                             & 151                                                                         & \$642,754.00                                                                & 152                                                                      & \$324,868.00                                                             & 168                                                             & 173                                                                         & \$761,275.00                                                                & 175                                                                      & \$386,783.00                                                             & 11                                                              & 13                                                                          & \$139,458.00                                                                & 13                                                                       & \$73,208.00                                                              & -                                                               & -                                                                           & \$-                                                                         & 0                                                                        & \$-                                                                      \\
00726600                                                    & PIMA COUNTY COMMUNITY COLLEGE                                      & AZ             & 857095000                                                     & PUBLIC                                                           & 2,911                                                           & 2,939                                                                       & \$9,117,990.00                                                              & 2,944                                                                    & \$4,621,468.00                                                           & 2,399                                                           & 2,427                                                                       & \$8,336,641.00                                                              & 2,431                                                                    & \$4,226,450.00                                                           & 14                                                              & 15                                                                          & \$73,400.00                                                                 & 15                                                                       & \$36,816.00                                                              & -                                                               & -                                                                           & \$-                                                                         & 0                                                                        & \$-                                                                      \\
00728300                                                    & CENTRAL ARIZONA COLLEGE                                            & AZ             & 852289779                                                     & PUBLIC                                                           & 699                                                             & 704                                                                         & \$2,474,004.00                                                              & 705                                                                      & \$1,246,391.00                                                           & 709                                                             & 722                                                                         & \$3,125,920.00                                                              & 722                                                                      & \$1,560,904.00                                                           & -                                                               & -                                                                           & \$-                                                                         & 0                                                                        & \$-                                                                      & -                                                               & -                                                                           & \$-                                                                         & 0                                                                        & \$-                                                                      \\
00822100                                                    & UNIVERSAL TECHNICAL INSTITUTE                                      & AZ             & 853237946                                                     & PROPRIETARY                                                      & 2,956                                                           & 2,985                                                                       & \$10,286,023.00                                                             & 3,062                                                                    & \$5,376,036.00                                                           & 2,954                                                           & 3,102                                                                       & \$11,282,462.00                                                             & 3,179                                                                    & \$5,810,346.00                                                           & 930                                                             & 971                                                                         & \$8,060,052.00                                                              & 985                                                                      & \$4,070,896.00                                                           & -                                                               & -                                                                           & \$-                                                                         & 0                                                                        & \$-                                                                      \\
00830300                                                    & GATEWAY COMMUNITY COLLEGE                                          & AZ             & 850341795                                                     & PUBLIC                                                           & 1,225                                                           & 1,255                                                                       & \$4,222,956.00                                                              & 1,292                                                                    & \$2,168,783.00                                                           & 1,294                                                           & 1,311                                                                       & \$6,903,063.00                                                              & 1,323                                                                    & \$3,495,469.00                                                           & 3                                                               & 3                                                                           & \$26,492.00                                                                 & 3                                                                        & \$13,246.00                                                              & -                                                               & -                                                                           & \$-                                                                         & 0                                                                        & \$-                                                                      \\
00830400                                                    & SCOTTSDALE COMMUNITY COLLEGE                                       & AZ             & 852562626                                                     & PUBLIC                                                           & 954                                                             & 963                                                                         & \$3,375,905.00                                                              & 963                                                                      & \$1,720,874.00                                                           & 495                                                             & 513                                                                         & \$2,015,707.00                                                              & 513                                                                      & \$1,039,316.00                                                           & 8                                                               & 8                                                                           & \$81,260.00                                                                 & 8                                                                        & \$40,630.00                                                              & -                                                               & -                                                                           & \$-                                                                         & 0                                                                        & \$-                                                                      \\
00945100                                                    & BROWN MACKIE COLLEGE                                               & AZ             & 857125300                                                     & PROPRIETARY                                                      & 504                                                             & 514                                                                         & \$1,658,428.00                                                              & 538                                                                      & \$645,876.00                                                             & 478                                                             & 585                                                                         & \$1,914,162.00                                                              & 611                                                                      & \$740,096.00                                                             & 13                                                              & 14                                                                          & \$69,446.00                                                                 & 15                                                                       & \$25,828.00                                                              & -                                                               & -                                                                           & \$-                                                                         & 0                                                                        & \$-                                                                      \\
01084700                                                    & ARIZONA AUTOMOTIVE INSTITUTE                                       & AZ             & 853013503                                                     & PROPRIETARY                                                      & 65                                                              & 65                                                                          & \$103,179.00                                                                & 67                                                                       & \$98,889.00                                                              & 52                                                              & 53                                                                          & \$93,103.00                                                                 & 55                                                                       & \$92,206.00                                                              & -                                                               & -                                                                           & \$-                                                                         & 0                                                                        & \$-                                                                      & -                                                               & -                                                                           & \$-                                                                         & 0                                                                        & \$-                                                                      \\
01085800                                                    & AVALON SCHOOL OF COSMETOLOGY                                       & AZ             & 852104010                                                     & PROPRIETARY                                                      & 121                                                             & 121                                                                         & \$386,741.00                                                                & 126                                                                      & \$205,381.00                                                             & 63                                                              & 63                                                                          & \$212,322.00                                                                & 66                                                                       & \$110,762.00                                                             & 3                                                               & 3                                                                           & \$13,906.00                                                                 & 3                                                                        & \$6,954.00                                                               & -                                                               & -                                                                           & \$-                                                                         & 0                                                                        & \$-                                                                      \\
01168900                                                    & REFRIGERATION SCHOOL (THE)                                         & AZ             & 850341894                                                     & PROPRIETARY                                                      & 25                                                              & 25                                                                          & \$25,896.00                                                                 & 27                                                                       & \$21,532.00                                                              & 25                                                              & 25                                                                          & \$32,571.00                                                                 & 26                                                                       & \$26,736.00                                                              & 3                                                               & 3                                                                           & \$32,144.00                                                                 & 3                                                                        & \$15,387.00                                                              & -                                                               & -                                                                           & \$-                                                                         & 0                                                                        & \$-                                                                      \\
01218400                                                    & INTERNATIONAL ACADEMY OF HAIR DESIGN                               & AZ             & 852024887                                                     & PROPRIETARY                                                      & 28                                                              & 30                                                                          & \$72,981.00                                                                 & 31                                                                       & \$36,788.00                                                              & 30                                                              & 32                                                                          & \$112,933.00                                                                & 34                                                                       & \$58,346.00                                                              & 4                                                               & 4                                                                           & \$12,635.00                                                                 & 4                                                                        & \$6,318.00                                                               & -                                                               & -                                                                           & \$-                                                                         & 0                                                                        & \$-                                                                      \\
02065200                                                    & ITT TECHNICAL INSTITUTE                                            & AZ             & 852829272                                                     & PROPRIETARY                                                      & 425                                                             & 432                                                                         & \$1,741,803.00                                                              & 432                                                                      & \$620,393.00                                                             & 420                                                             & 425                                                                         & \$2,309,055.00                                                              & 425                                                                      & \$828,190.00                                                             & 43                                                              & 43                                                                          & \$440,430.00                                                                & 43                                                                       & \$153,009.00                                                             & -                                                               & -                                                                           & \$-                                                                         & 0                                                                        & \$-                                                                      \\
02071200                                                    & KAPLAN COLLEGE                                                     & AZ             & 850294349                                                     & PROPRIETARY                                                      & 104                                                             & 105                                                                         & \$400,530.00                                                                & 113                                                                      & \$190,637.00                                                             & 100                                                             & 110                                                                         & \$413,722.00                                                                & 117                                                                      & \$188,062.00                                                             & 1                                                               & 1                                                                           & \$8,161.00                                                                  & 1                                                                        & \$4,081.00                                                               & -                                                               & -                                                                           & \$-                                                                         & 0                                                                        & \$-                                                                      \\
02098800                                                    & UNIVERSITY OF PHOENIX                                              & AZ             & 852822371                                                     & PROPRIETARY                                                      & 67,590                                                          & 68,099                                                                      & \$283,322,438.00                                                            & 70,312                                                                   & \$154,830,040.00                                                         & 62,730                                                          & 63,556                                                                      & \$375,006,008.00                                                            & 65,830                                                                   & \$198,564,964.00                                                         & 112                                                             & 114                                                                         & \$650,453.00                                                                & 115                                                                      & \$349,794.00                                                             & 26                                                              & 27                                                                          & \$269,729.00                                                                & 31                                                                       & \$150,080.00                                                             \\
02100500                                                    & UNIVERSAL TECHNICAL INSTITUTE                                      & AZ             & 850279969                                                     & PROPRIETARY                                                      & 1,910                                                           & 1,934                                                                       & \$7,019,151.00                                                              & 2,080                                                                    & \$3,524,813.00                                                           & 1,893                                                           & 2,084                                                                       & \$8,212,742.00                                                              & 2,237                                                                    & \$4,112,721.00                                                           & 474                                                             & 505                                                                         & \$3,485,129.00                                                              & 523                                                                      & \$1,760,300.00                                                           & -                                                               & -                                                                           & \$-                                                                         & 0                                                                        & \$-                                                                      \\
02100600                                                    & CARRINGTON COLLEGE                                                 & AZ             & 850154096                                                     & PROPRIETARY                                                      & 1,052                                                           & 1,053                                                                       & \$3,802,992.00                                                              & 1,072                                                                    & \$1,941,284.00                                                           & 1,039                                                           & 1,047                                                                       & \$5,719,643.00                                                              & 1,064                                                                    & \$2,909,898.00                                                           & 63                                                              & 63                                                                          & \$400,626.00                                                                & 63                                                                       & \$200,327.00                                                             & -                                                               & -                                                                           & \$-                                                                         & 0                                                                        & \$-                                                                      \\
02146600                                                    & SOUTH MOUNTAIN COMMUNITY COLLEGE                                   & AZ             & 850405898                                                     & PUBLIC                                                           & 193                                                             & 196                                                                         & \$631,874.00                                                                & 199                                                                      & \$322,488.00                                                             & 151                                                             & 153                                                                         & \$594,914.00                                                                & 155                                                                      & \$304,879.00                                                             & -                                                               & -                                                                           & \$-                                                                         & 0                                                                        & \$-                                                                      & -                                                               & -                                                                           & \$-                                                                         & 0                                                                        & \$-                                                                      \\
02171500                                                    & WESTERN INTERNATIONAL UNIVERSITY                                   & AZ             & 850212718                                                     & PROPRIETARY                                                      & 214                                                             & 217                                                                         & \$1,017,435.00                                                              & 221                                                                      & \$529,726.00                                                             & 216                                                             & 217                                                                         & \$1,634,210.00                                                              & 221                                                                      & \$841,433.00                                                             & -                                                               & -                                                                           & \$-                                                                         & 0                                                                        & \$-                                                                      & -                                                               & -                                                                           & \$-                                                                         & 0                                                                        & \$-                                                                      \\
02174900                                                    & COLLINS COLLEGE                                                    & AZ             & 850404000                                                     & PROPRIETARY                                                      & 101                                                             & 103                                                                         & \$513,005.00                                                                & 150                                                                      & \$256,633.00                                                             & 107                                                             & 108                                                                         & \$523,347.00                                                                & 158                                                                      & \$271,727.00                                                             & 15                                                              & 15                                                                          & \$187,577.00                                                                & 23                                                                       & \$89,124.00                                                              & -                                                               & -                                                                           & \$-                                                                         & 0                                                                        & \$-                                                                      \\
02177500                                                    & RIO SALADO COMMUNITY COLLEGE                                       & AZ             & 852816948                                                     & PUBLIC                                                           & 2,227                                                           & 2,259                                                                       & \$7,184,389.00                                                              & 2,498                                                                    & \$4,156,533.00                                                           & 2,317                                                           & 2,341                                                                       & \$12,543,164.00                                                             & 2,572                                                                    & \$7,137,393.00                                                           & 1                                                               & 1                                                                           & \$12,772.00                                                                 & 1                                                                        & \$6,386.00                                                               & -                                                               & -                                                                           & \$-                                                                         & 0                                                                        & \$-                                                                      \\
02192300                                                    & MARICOPA BEAUTY COLLEGE                                            & AZ             & 853232226                                                     & PROPRIETARY                                                      & 24                                                              & 24                                                                          & \$70,989.00                                                                 & 25                                                                       & \$36,029.00                                                              & 23                                                              & 23                                                                          & \$50,146.00                                                                 & 26                                                                       & \$25,638.00                                                              & 3                                                               & 3                                                                           & \$16,900.00                                                                 & 3                                                                        & \$8,450.00                                                               & -                                                               & -                                                                           & \$-                                                                         & 0                                                                        & \$-                                                                      \\
02199900                                                    & AMERICAN INDIAN COLLEGE OF THE ASSEMBLIES OF GOD                   & AZ             & 850212199                                                     & PRIVATE                                                          & 19                                                              & 19                                                                          & \$77,769.00                                                                 & 19                                                                       & \$62,039.00                                                              & 12                                                              & 12                                                                          & \$44,805.00                                                                 & 12                                                                       & \$36,500.00                                                              & -                                                               & -                                                                           & \$-                                                                         & 0                                                                        & \$-                                                                      & -                                                               & -                                                                           & \$-                                                                         & 0                                                                        & \$-                                                                      \\
02217100                                                    & PIMA MEDICAL INSTITUTE                                             & AZ             & 857162800                                                     & PROPRIETARY                                                      & 901                                                             & 903                                                                         & \$3,153,489.00                                                              & 931                                                                      & \$1,729,694.00                                                           & 899                                                             & 1,156                                                                       & \$4,004,868.00                                                              & 1,220                                                                    & \$2,096,204.00                                                           & 43                                                              & 43                                                                          & \$216,552.00                                                                & 44                                                                       & \$113,443.00                                                             & -                                                               & -                                                                           & \$-                                                                         & 0                                                                        & \$-                                                                      \\
02218800                                                    & BROOKLINE COLLEGE                                                  & AZ             & 850215815                                                     & PROPRIETARY                                                      & 256                                                             & 256                                                                         & \$890,565.00                                                                & 259                                                                      & \$451,012.00                                                             & 235                                                             & 239                                                                         & \$1,245,672.00                                                              & 248                                                                      & \$613,628.00                                                             & 9                                                               & 9                                                                           & \$43,106.00                                                                 & 9                                                                        & \$23,430.00                                                              & -                                                               & -                                                                           & \$-                                                                         & 0                                                                        & \$-                                                                      \\
02263100                                                    & ANTHEM COLLEGE                                                     & AZ             & 850144973                                                     & PROPRIETARY                                                      & 481                                                             & 481                                                                         & \$1,650,510.00                                                              & 488                                                                      & \$846,374.00                                                             & 441                                                             & 654                                                                         & \$1,765,381.00                                                              & 666                                                                      & \$889,430.00                                                             & 34                                                              & 34                                                                          & \$222,532.00                                                                & 34                                                                       & \$109,280.00                                                             & -                                                               & -                                                                           & \$-                                                                         & 0                                                                        & \$-                                                                      \\
02295000                                                    & EVEREST COLLEGE PHOENIX                                            & AZ             & 850211610                                                     & PROPRIETARY                                                      & 1,798                                                           & 1,818                                                                       & \$6,289,010.00                                                              & 1,850                                                                    & \$2,322,211.00                                                           & 1,784                                                           & 3,155                                                                       & \$9,642,273.00                                                              & 3,194                                                                    & \$3,536,178.00                                                           & 15                                                              & 15                                                                          & \$75,388.00                                                                 & 15                                                                       & \$28,154.00                                                              & -                                                               & -                                                                           & \$-                                                                         & 0                                                                        & \$-                                                                      \\
