\begin{table}[]
\begin{tabular}{llllllllllllllllllllllllllllllllllllllllllllllllll}
\multicolumn{15}{l}{Knowledge of HST}                                                                  & \multicolumn{3}{l}{Susceptibility to HIV} & \multicolumn{6}{l}{Benefits of HST}     & \multicolumn{6}{l}{Barriers to HST}     & \multicolumn{9}{l}{HST use}                                  & \multicolumn{6}{l}{Demographics}        & \multicolumn{5}{l}{Means}           \\
K1   & K2   & K3   & K4   & K5   & K6   & K8   & K9   & K10  & K11  & K12  & K13  & K14  & K15  & K16  & SUS1         & SUS3         & SUS4        & BEN1 & BEN2 & BEN3 & BEN4 & BEN5 & BEN6 & BAR1 & BAR3 & BAR4 & BAR5 & BAR6 & BAR7 & HST1 & HST2 & HST3 & HST4 & HST5 & HST6 & HST7 & HST8 & HST9 & DC1  & DC2  & DC3  & DC4  & DC5  & DC6  & Knowleg & Susc & Bene & Bar  & Hst  \\
5.00 & 5.00 & 5.00 & 1.00 & 1.00 & 1.00 & 5.00 & 1.00 & 5.00 & 5.00 & 5.00 & 5.00 & 3.00 & 5.00 & 5.00 & 5.00         & 5.00         & 5.00        & 5.00 & 5.00 & 5.00 & 5.00 & 5.00 & 5.00 & 5.00 & 1.00 & 1.00 & 5.00 & 1.00 & 1.00 & 5.00 & 5.00 & 5.00 & 2.00 & 5.00 & 5.00 & 5.00 & 5.00 & 5.00 & 2.00 & 2.00 & 5.00 & 5.00 & 2.00 & 1.00 & 3.80    & 5.00 & 5.00 & 2.33 & 4.63 \\
1.00 & 1.00 & 1.00 & 1.00 & 1.00 & 1.00 & 5.00 & 1.00 & 5.00 & 5.00 & 5.00 & 5.00 & 1.00 & 5.00 & 5.00 & 5.00         & 5.00         & 5.00        & 5.00 & 5.00 & 5.00 & 5.00 & 3.00 & 5.00 & 5.00 & 5.00 & 1.00 & 5.00 & 2.00 & 1.00 & 5.00 & 3.00 & 5.00 & 5.00 & 5.00 & 5.00 & 5.00 & 5.00 & 5.00 & 1.00 & 2.00 & 5.00 & 2.00 & 2.00 & 1.00 & 2.87    & 5.00 & 4.67 & 3.17 & 5.00 \\
5.00 & 5.00 & 5.00 & 5.00 & 5.00 & 1.00 & 5.00 & 1.00 & 3.00 & 3.00 & 5.00 & 3.00 & 3.00 & 5.00 & 5.00 & 5.00         & 5.00         & 5.00        & 5.00 & 5.00 & 5.00 & 5.00 & 3.00 & 5.00 & 1.00 & 5.00 & 1.00 & 5.00 & 1.00 & 4.00 & 5.00 & 5.00 & 5.00 & 2.00 & 5.00 & 5.00 & 5.00 & 5.00 & 5.00 & 2.00 & 2.00 & 5.00 & 2.00 & 2.00 & 1.00 & 3.93    & 5.00 & 4.67 & 2.83 & 4.63 \\
5.00 & 5.00 & 5.00 & 1.00 & 1.00 & 5.00 & 5.00 & 1.00 & 5.00 & 3.00 & 5.00 & 5.00 & 3.00 & 5.00 & 5.00 & 5.00         & 5.00         & 5.00        & 5.00 & 5.00 & 5.00 & 5.00 & 3.00 & 4.00 & 5.00 & 1.00 & 1.00 & 5.00 & 1.00 & 1.00 & 5.00 & 5.00 & 5.00 & 5.00 & 5.00 & 5.00 & 5.00 & 5.00 & 5.00 & 1.00 & 3.00 & 5.00 & 5.00 & 4.00 & 1.00 & 3.93    & 5.00 & 4.50 & 2.33 & 5.00 \\
5.00 & 5.00 & 5.00 & 1.00 & 1.00 & 1.00 & 5.00 & 1.00 & 5.00 & 5.00 & 5.00 & 3.00 & 3.00 & 5.00 & 5.00 & 5.00         & 5.00         & 5.00        & 5.00 & 5.00 & 5.00 & 5.00 & 4.00 & 2.00 & 5.00 & 5.00 & 1.00 & 1.00 & 1.00 & 5.00 & 5.00 & 5.00 & 5.00 & 5.00 & 5.00 & 5.00 & 5.00 & 5.00 & 5.00 & 1.00 & 4.00 & 5.00 & 1.00 & 2.00 & 1.00 & 3.67    & 5.00 & 4.33 & 3.00 & 5.00 \\
5.00 & 5.00 & 1.00 & 1.00 & 1.00 & 1.00 & 5.00 & 1.00 & 5.00 & 3.00 & 5.00 & 5.00 & 3.00 & 5.00 & 5.00 & 5.00         & 5.00         & 5.00        & 5.00 & 4.00 & 5.00 & 2.00 & 3.00 & 5.00 & 5.00 & 5.00 & 2.00 & 5.00 & 4.00 & 1.00 & 5.00 & 5.00 & 5.00 & 5.00 & 5.00 & 5.00 & 5.00 & 5.00 & 5.00 & 1.00 & 2.00 & 1.00 & 3.00 & 1.00 & 2.00 & 3.40    & 5.00 & 4.00 & 3.67 & 5.00 \\
5.00 & 5.00 & 1.00 & 5.00 & 1.00 & 1.00 & 5.00 & 1.00 & 5.00 & 3.00 & 5.00 & 3.00 & 1.00 & 5.00 & 5.00 & 5.00         & 5.00         & 5.00        & 5.00 & 5.00 & 5.00 & 5.00 & 3.00 & 4.00 & 5.00 & 5.00 & 1.00 & 5.00 & 1.00 & 1.00 & 5.00 & 3.00 & 5.00 & 5.00 & 5.00 & 5.00 & 5.00 & 5.00 & 5.00 & 2.00 & 4.00 & 5.00 & 3.00 & 1.00 & 1.00 & 3.40    & 5.00 & 4.50 & 3.00 & 5.00 \\
1.00 & 5.00 & 5.00 & 1.00 & 1.00 & 5.00 & 5.00 & 1.00 & 5.00 & 5.00 & 5.00 & 4.00 & 3.00 & 5.00 & 5.00 & 5.00         & 5.00         & 5.00        & 4.00 & 5.00 & 5.00 & 5.00 & 5.00 & 4.00 & 5.00 & 5.00 & 1.00 & 5.00 & 1.00 & 1.00 & 4.00 & 2.00 & 5.00 & 5.00 & 5.00 & 5.00 & 5.00 & 5.00 & 5.00 & 2.00 & 2.00 & 5.00 & 1.00 & 1.00 & 1.00 & 3.73    & 5.00 & 4.67 & 3.00 & 4.88 \\
5.00 & 1.00 & 1.00 & 1.00 & 1.00 & 5.00 & 5.00 & 1.00 & 5.00 & 5.00 & 1.00 & 5.00 & 1.00 & 5.00 & 5.00 & 5.00         & 5.00         & 5.00        & 5.00 & 5.00 & 5.00 & 5.00 & 3.00 & 5.00 & 5.00 & 1.00 & 1.00 & 5.00 & 5.00 & 1.00 & 5.00 & 5.00 & 5.00 & 5.00 & 5.00 & 5.00 & 5.00 & 5.00 & 5.00 & 2.00 & 2.00 & 5.00 & 3.00 & 2.00 & 1.00 & 3.13    & 5.00 & 4.67 & 3.00 & 5.00 \\
5.00 & 5.00 & 5.00 & 5.00 & 5.00 & 5.00 & 5.00 & 1.00 & 5.00 & 3.00 & 5.00 & 3.00 & 5.00 & 5.00 & 5.00 & 5.00         & 1.00         & 5.00        & 5.00 & 5.00 & 5.00 & 5.00 & 5.00 & 5.00 & 5.00 & 5.00 & 1.00 & 5.00 & 1.00 & 1.00 & 5.00 & 5.00 & 5.00 & 5.00 & 5.00 & 5.00 & 5.00 & 5.00 & 5.00 & 2.00 & 2.00 & 5.00 & 3.00 & 2.00 & 1.00 & 4.47    & 3.67 & 5.00 & 3.00 & 5.00 \\
5.00 & 5.00 & 5.00 & 1.00 & 1.00 & 1.00 & 5.00 & 1.00 & 5.00 & 5.00 & 1.00 & 3.00 & 1.00 & 5.00 & 5.00 & 5.00         & 5.00         & 5.00        & 1.00 & 5.00 & 5.00 & 5.00 & 3.00 & 5.00 & 5.00 & 5.00 & 1.00 & 5.00 & 1.00 & 5.00 & 5.00 & 5.00 & 5.00 & 4.00 & 5.00 & 5.00 & 5.00 & 5.00 & 5.00 & 2.00 & 2.00 & 5.00 & 3.00 & 1.00 & 1.00 & 3.27    & 5.00 & 4.00 & 3.67 & 4.88 \\
1.00 & 1.00 & 1.00 & 1.00 & 3.00 & 1.00 & 5.00 & 1.00 & 5.00 & 3.00 & 1.00 & 5.00 & 1.00 & 5.00 & 5.00 & 5.00         & 5.00         & 5.00        & 5.00 & 5.00 & 5.00 & 5.00 & 3.00 & 5.00 & 5.00 & 5.00 & 1.00 & 4.00 & 1.00 & 1.00 & 5.00 & 3.00 & 5.00 & 5.00 & 5.00 & 5.00 & 5.00 & 5.00 & 5.00 & 2.00 & 2.00 & 5.00 & 1.00 & 2.00 & 1.00 & 2.60    & 5.00 & 4.67 & 2.83 & 5.00 \\
5.00 & 5.00 & 1.00 & 5.00 & 1.00 & 1.00 & 5.00 & 1.00 & 5.00 & 3.00 & 5.00 & 5.00 & 3.00 & 5.00 & 5.00 & 5.00         & 5.00         & 5.00        & 5.00 & 5.00 & 5.00 & 5.00 & 3.00 & 5.00 & 1.00 & 5.00 & 1.00 & 5.00 & 1.00 & 4.00 & 5.00 & 5.00 & 5.00 & 5.00 & 5.00 & 5.00 & 5.00 & 5.00 & 5.00 & 1.00 & 4.00 & 3.00 & 5.00 & 1.00 & 1.00 & 3.67    & 5.00 & 4.67 & 2.83 & 5.00 \\
5.00 & 5.00 & 5.00 & 1.00 & 1.00 & 5.00 & 5.00 & 1.00 & 5.00 & 3.00 & 5.00 & 5.00 & 3.00 & 5.00 & 5.00 & 5.00         & 5.00         & 5.00        & 5.00 & 5.00 & 5.00 & 5.00 & 5.00 & 5.00 & 1.00 & 5.00 & 1.00 & 5.00 & 1.00 & 5.00 & 5.00 & 5.00 & 5.00 & 5.00 & 5.00 & 5.00 & 5.00 & 5.00 & 5.00 & 2.00 & 1.00 & 1.00 & 5.00 & 1.00 & 2.00 & 3.93    & 5.00 & 5.00 & 3.00 & 5.00 \\
5.00 & 5.00 & 5.00 & 1.00 & 1.00 & 1.00 & 5.00 & 1.00 & 5.00 & 3.00 & 5.00 & 1.00 & 5.00 & 5.00 & 5.00 & 5.00         & 5.00         & 5.00        & 5.00 & 5.00 & 5.00 & 5.00 & 5.00 & 5.00 & 5.00 & 5.00 & 1.00 & 5.00 & 1.00 & 5.00 & 5.00 & 5.00 & 5.00 & 5.00 & 5.00 & 5.00 & 5.00 & 5.00 & 5.00 & 2.00 & 6.00 & 5.00 & 5.00 & 1.00 & 1.00 & 3.53    & 5.00 & 5.00 & 3.67 & 5.00 \\
5.00 & 5.00 & 5.00 & 5.00 & 5.00 & 5.00 & 5.00 & 1.00 & 5.00 & 5.00 & 5.00 & 5.00 & 3.00 & 5.00 & 5.00 & 1.00         & 5.00         & 5.00        & 5.00 & 5.00 & 5.00 & 5.00 & 5.00 & 5.00 & 1.00 & 5.00 & 5.00 & 5.00 & 5.00 & 5.00 & 5.00 & 5.00 & 5.00 & 5.00 & 5.00 & 5.00 & 5.00 & 5.00 & 5.00 & 2.00 & 4.00 & 5.00 & 5.00 & 1.00 & 1.00 & 4.60    & 3.67 & 5.00 & 4.33 & 5.00 \\
5.00 & 5.00 & 1.00 & 1.00 & 1.00 & 1.00 & 5.00 & 1.00 & 5.00 & 5.00 & 5.00 & 3.00 & 3.00 & 5.00 & 5.00 & 5.00         & 5.00         & 5.00        & 5.00 & 5.00 & 5.00 & 5.00 & 5.00 & 5.00 & 5.00 & 5.00 & 5.00 & 5.00 & 1.00 & 5.00 & 5.00 & 5.00 & 5.00 & 5.00 & 5.00 & 5.00 & 5.00 & 5.00 & 5.00 & 1.00 & 1.00 & 1.00 & 6.00 & 5.00 & 2.00 & 3.40    & 5.00 & 5.00 & 4.33 & 5.00 \\
5.00 & 5.00 & 5.00 & 3.00 & 5.00 & 1.00 & 5.00 & 1.00 & 5.00 & 1.00 & 5.00 & 5.00 & 3.00 & 5.00 & 1.00 & 1.00         & 5.00         & 5.00        & 5.00 & 5.00 & 5.00 & 5.00 & 5.00 & 5.00 & 1.00 & 1.00 & 5.00 & 5.00 & 5.00 & 1.00 & 5.00 & 3.00 & 5.00 & 5.00 & 5.00 & 5.00 & 5.00 & 5.00 & 5.00 & 1.00 & 4.00 & 5.00 & 1.00 & 2.00 & 1.00 & 3.67    & 3.67 & 5.00 & 3.00 & 5.00 \\
5.00 & 5.00 & 5.00 & 5.00 & 5.00 & 1.00 & 5.00 & 1.00 & 5.00 & 5.00 & 5.00 & 3.00 & 5.00 & 5.00 & 5.00 & 5.00         & 5.00         & 1.00        & 5.00 & 5.00 & 5.00 & 2.00 & 3.00 & 5.00 & 5.00 & 5.00 & 1.00 & 5.00 & 2.00 & 5.00 & 5.00 & 5.00 & 5.00 & 5.00 & 5.00 & 5.00 & 5.00 & 5.00 & 5.00 & 1.00 & 2.00 & 5.00 & 1.00 & 4.00 & 1.00 & 4.33    & 3.67 & 4.17 & 3.83 & 5.00 \\
5.00 & 5.00 & 5.00 & 5.00 & 5.00 & 5.00 & 5.00 & 2.00 & 5.00 & 5.00 & 5.00 & 3.00 & 3.00 & 5.00 & 5.00 & 5.00         & 5.00         & 5.00        & 5.00 & 5.00 & 5.00 & 5.00 & 3.00 & 5.00 & 5.00 & 5.00 & 1.00 & 5.00 & 5.00 & 5.00 & 5.00 & 5.00 & 5.00 & 5.00 & 5.00 & 5.00 & 5.00 & 5.00 & 5.00 & 2.00 & 6.00 & 5.00 & 1.00 & 4.00 & 1.00 & 4.53    & 5.00 & 4.67 & 4.33 & 5.00 \\
5.00 & 5.00 & 5.00 & 5.00 & 5.00 & 5.00 & 5.00 & 1.00 & 5.00 & 5.00 & 5.00 & 3.00 & 3.00 & 5.00 & 5.00 & 5.00         & 5.00         & 5.00        & 5.00 & 2.00 & 4.00 & 5.00 & 5.00 & 5.00 & 1.00 & 5.00 & 1.00 & 5.00 & 1.00 & 2.00 & 5.00 & 5.00 & 5.00 & 5.00 & 5.00 & 5.00 & 5.00 & 5.00 & 5.00 & 2.00 & 1.00 & 3.00 & 3.00 & 0    & 1.00 & 4.47    & 5.00 & 4.33 & 2.50 & 5.00 \\
4.00 & 2.00 & 1.00 & 1.00 & 1.00 & 3.00 & 4.00 & 4.00 & 3.00 & 1.00 & 1.00 & 3.00 & 4.00 & 4.00 & 3.00 & 2.00         & 3.00         & 4.00        & 4.00 & 3.00 & 4.00 & 4.00 & 3.00 & 4.00 & 2.00 & 1.00 & 2.00 & 2.00 & 2.00 & 2.00 & 2.00 & 4.00 & 4.00 & 4.00 & 3.00 & 4.00 & 5.00 & 4.00 & 4.00 & 1.00 & 4.00 & 6.00 & 5.00 & 4.00 & 2.00 & 2.60    & 3.00 & 3.67 & 1.83 & 3.75 \\
5.00 & 5.00 & 5.00 & 5.00 & 5.00 & 5.00 & 5.00 & 1.00 & 5.00 & 5.00 & 1.00 & 3.00 & 3.00 & 5.00 & 5.00 & 5.00         & 5.00         & 5.00        & 5.00 & 4.00 & 5.00 & 4.00 & 3.00 & 5.00 & 5.00 & 5.00 & 1.00 & 5.00 & 1.00 & 2.00 & 5.00 & 5.00 & 5.00 & 2.00 & 5.00 & 5.00 & 5.00 & 5.00 & 3.00 & 2.00 & 3.00 & 5.00 & 5.00 & 5.00 & 1.00 & 4.20    & 5.00 & 4.33 & 3.17 & 4.38 \\
5.00 & 5.00 & 1.00 & 5.00 & 1.00 & 1.00 & 5.00 & 1.00 & 5.00 & 5.00 & 5.00 & 5.00 & 3.00 & 5.00 & 5.00 & 5.00         & 5.00         & 5.00        & 3.00 & 5.00 & 5.00 & 5.00 & 5.00 & 5.00 & 5.00 & 5.00 & 1.00 & 5.00 & 2.00 & 5.00 & 5.00 & 5.00 & 5.00 & 5.00 & 5.00 & 5.00 & 5.00 & 5.00 & 5.00 & 2.00 & 3.00 & 3.00 & 1.00 & 2.00 & 1.00 & 3.80    & 5.00 & 4.67 & 3.83 & 5.00 \\
5.00 & 5.00 & 5.00 & 1.00 & 1.00 & 1.00 & 5.00 & 1.00 & 5.00 & 3.00 & 5.00 & 3.00 & 3.00 & 5.00 & 5.00 & 5.00         & 5.00         & 5.00        & 2.00 & 5.00 & 5.00 & 5.00 & 3.00 & 5.00 & 5.00 & 5.00 & 2.00 & 5.00 & 2.00 & 4.00 & 5.00 & 5.00 & 5.00 & 5.00 & 5.00 & 5.00 & 5.00 & 5.00 & 3.00 & 2.00 & 2.00 & 5.00 & 2.00 & 3.00 & 1.00 & 3.53    & 5.00 & 4.17 & 3.83 & 4.75 \\
5.00 & 5.00 & 5.00 & 5.00 & 1.00 & 1.00 & 5.00 & 1.00 & 5.00 & 5.00 & 5.00 & 3.00 & 3.00 & 5.00 & 5.00 & 5.00         & 5.00         & 5.00        & 2.00 & 5.00 & 5.00 & 5.00 & 3.00 & 5.00 & 5.00 & 5.00 & 1.00 & 5.00 & 1.00 & 5.00 & 5.00 & 2.00 & 5.00 & 5.00 & 5.00 & 5.00 & 5.00 & 5.00 & 5.00 & 1.00 & 4.00 & 5.00 & 2.00 & 2.00 & 1.00 & 3.93    & 5.00 & 4.17 & 3.67 & 5.00 \\
1.00 & 1.00 & 1.00 & 1.00 & 1.00 & 1.00 & 5.00 & 1.00 & 5.00 & 5.00 & 5.00 & 1.00 & 1.00 & 5.00 & 5.00 & 5.00         & 4.00         & 5.00        & 5.00 & 2.00 & 5.00 & 5.00 & 2.00 & 5.00 & 5.00 & 5.00 & 2.00 & 5.00 & 2.00 & 2.00 & 5.00 & 5.00 & 5.00 & 5.00 & 5.00 & 5.00 & 5.00 & 5.00 & 5.00 & 2.00 & 4.00 & 5.00 & 2.00 & 2.00 & 1.00 & 2.60    & 4.67 & 4.00 & 3.50 & 5.00 \\
5.00 & 5.00 & 5.00 & 1.00 & 1.00 & 1.00 & 5.00 & 1.00 & 5.00 & 5.00 & 5.00 & 3.00 & 3.00 & 3.00 & 5.00 & 5.00         & 1.00         & 5.00        & 3.00 & 5.00 & 5.00 & 5.00 & 3.00 & 5.00 & 5.00 & 5.00 & 1.00 & 5.00 & 5.00 & 5.00 & 5.00 & 5.00 & 5.00 & 2.00 & 5.00 & 5.00 & 5.00 & 5.00 & 5.00 & 2.00 & 2.00 & 3.00 & 5.00 & 2.00 & 2.00 & 3.53    & 3.67 & 4.33 & 4.33 & 4.63 \\
5.00 & 5.00 & 5.00 & 5.00 & 1.00 & 5.00 & 5.00 & 1.00 & 5.00 & 5.00 & 5.00 & 3.00 & 3.00 & 5.00 & 5.00 & 5.00         & 5.00         & 5.00        & 5.00 & 5.00 & 5.00 & 5.00 & 3.00 & 5.00 & 5.00 & 5.00 & 1.00 & 5.00 & 5.00 & 5.00 & 5.00 & 2.00 & 5.00 & 5.00 & 5.00 & 5.00 & 5.00 & 5.00 & 2.00 & 1.00 & 2.00 & 1.00 & 3.00 & 2.00 & 1.00 & 4.20    & 5.00 & 4.67 & 4.33 & 4.63 \\
5.00 & 5.00 & 5.00 & 5.00 & 5.00 & 5.00 & 5.00 & 1.00 & 5.00 & 5.00 & 5.00 & 5.00 & 5.00 & 5.00 & 5.00 & 5.00         & 5.00         & 5.00        & 5.00 & 5.00 & 5.00 & 5.00 & 5.00 & 5.00 & 5.00 & 5.00 & 1.00 & 5.00 & 5.00 & 5.00 & 5.00 & 5.00 & 5.00 & 2.00 & 1.00 & 5.00 & 5.00 & 5.00 & 5.00 & 2.00 & 1.00 & 5.00 & 1.00 & 1.00 & 1.00 & 4.73    & 5.00 & 5.00 & 4.33 & 4.13 \\
5.00 & 5.00 & 5.00 & 5.00 & 1.00 & 1.00 & 5.00 & 1.00 & 5.00 & 5.00 & 5.00 & 3.00 & 5.00 & 5.00 & 5.00 & 5.00         & 5.00         & 5.00        & 5.00 & 5.00 & 5.00 & 5.00 & 3.00 & 5.00 & 5.00 & 5.00 & 1.00 & 5.00 & 1.00 & 5.00 & 5.00 & 5.00 & 1.00 & 2.00 & 5.00 & 5.00 & 5.00 & 5.00 & 5.00 & 1.00 & 3.00 & 5.00 & 2.00 & 3.00 & 1.00 & 4.07    & 5.00 & 4.67 & 3.67 & 4.13 \\
5.00 & 5.00 & 5.00 & 5.00 & 5.00 & 5.00 & 5.00 & 1.00 & 5.00 & 5.00 & 5.00 & 3.00 & 3.00 & 5.00 & 5.00 & 5.00         & 5.00         & 5.00        & 5.00 & 5.00 & 5.00 & 5.00 & 3.00 & 5.00 & 5.00 & 5.00 & 5.00 & 2.00 & 5.00 & 2.00 & 5.00 & 5.00 & 2.00 & 4.00 & 1.00 & 5.00 & 5.00 & 5.00 & 5.00 & 2.00 & 2.00 & 1.00 & 2.00 & 3.00 & 1.00 & 4.47    & 5.00 & 4.67 & 4.00 & 4.00 \\
5.00 & 5.00 & 5.00 & 5.00 & 1.00 & 1.00 & 5.00 & 1.00 & 5.00 & 5.00 & 5.00 & 3.00 & 3.00 & 5.00 & 5.00 & 5.00         & 5.00         & 5.00        & 4.00 & 5.00 & 5.00 & 5.00 & 3.00 & 4.00 & 5.00 & 5.00 & 1.00 & 5.00 & 1.00 & 2.00 & 5.00 & 5.00 & 5.00 & 5.00 & 5.00 & 5.00 & 5.00 & 5.00 & 5.00 & 2.00 & 5.00 & 5.00 & 5.00 & 1.00 & 1.00 & 3.93    & 5.00 & 4.33 & 3.17 & 5.00 \\
5.00 & 5.00 & 5.00 & 5.00 & 1.00 & 1.00 & 5.00 & 1.00 & 5.00 & 5.00 & 5.00 & 3.00 & 3.00 & 5.00 & 5.00 & 5.00         & 3.00         & 5.00        & 2.00 & 5.00 & 5.00 & 3.00 & 3.00 & 4.00 & 5.00 & 5.00 & 1.00 & 5.00 & 1.00 & 2.00 & 5.00 & 5.00 & 5.00 & 5.00 & 5.00 & 5.00 & 5.00 & 5.00 & 5.00 & 2.00 & 5.00 & 5.00 & 5.00 & 2.00 & 1.00 & 3.93    & 4.33 & 3.67 & 3.17 & 5.00 \\
5.00 & 5.00 & 5.00 & 5.00 & 5.00 & 1.00 & 5.00 & 1.00 & 5.00 & 5.00 & 5.00 & 3.00 & 3.00 & 5.00 & 5.00 & 5.00         & 5.00         & 5.00        & 5.00 & 5.00 & 5.00 & 2.00 & 3.00 & 5.00 & 5.00 & 5.00 & 1.00 & 5.00 & 1.00 & 2.00 & 5.00 & 5.00 & 5.00 & 2.00 & 5.00 & 5.00 & 5.00 & 5.00 & 3.00 & 1.00 & 3.00 & 3.00 & 5.00 & 2.00 & 1.00 & 4.20    & 5.00 & 4.17 & 3.17 & 4.38 \\
5.00 & 5.00 & 5.00 & 5.00 & 5.00 & 5.00 & 5.00 & 1.00 & 5.00 & 5.00 & 5.00 & 3.00 & 3.00 & 5.00 & 5.00 & 5.00         & 5.00         & 5.00        & 5.00 & 5.00 & 3.00 & 3.00 & 5.00 & 5.00 & 5.00 & 5.00 & 1.00 & 5.00 & 5.00 & 5.00 & 5.00 & 5.00 & 5.00 & 5.00 & 5.00 & 5.00 & 5.00 & 5.00 & 5.00 & 2.00 & 4.00 & 4.00 & 2.00 & 2.00 & 1.00 & 4.47    & 5.00 & 4.33 & 4.33 & 5.00 \\
5.00 & 5.00 & 5.00 & 5.00 & 5.00 & 1.00 & 5.00 & 1.00 & 5.00 & 5.00 & 5.00 & 3.00 & 3.00 & 5.00 & 5.00 & 5.00         & 5.00         & 5.00        & 5.00 & 5.00 & 5.00 & 5.00 & 3.00 & 5.00 & 5.00 & 5.00 & 1.00 & 5.00 & 1.00 & 5.00 & 5.00 & 5.00 & 5.00 & 1.00 & 5.00 & 5.00 & 5.00 & 5.00 & 5.00 & 1.00 & 4.00 & 4.00 & 2.00 & 2.00 & 1.00 & 4.20    & 5.00 & 4.67 & 3.67 & 4.50 \\
5.00 & 5.00 & 5.00 & 5.00 & 5.00 & 5.00 & 5.00 & 1.00 & 5.00 & 5.00 & 5.00 & 3.00 & 3.00 & 5.00 & 5.00 & 5.00         & 5.00         & 5.00        & 3.00 & 5.00 & 5.00 & 5.00 & 3.00 & 5.00 & 5.00 & 3.00 & 1.00 & 5.00 & 1.00 & 5.00 & 5.00 & 5.00 & 5.00 & 2.00 & 5.00 & 5.00 & 5.00 & 5.00 & 5.00 & 1.00 & 4.00 & 5.00 & 1.00 & 2.00 & 1.00 & 4.47    & 5.00 & 4.33 & 3.33 & 4.63 \\
5.00 & 5.00 & 5.00 & 5.00 & 5.00 & 5.00 & 5.00 & 1.00 & 5.00 & 5.00 & 5.00 & 3.00 & 5.00 & 5.00 & 5.00 & 5.00         & 5.00         & 5.00        & 2.00 & 5.00 & 5.00 & 5.00 & 5.00 & 5.00 & 5.00 & 5.00 & 1.00 & 5.00 & 1.00 & 5.00 & 5.00 & 5.00 & 5.00 & 2.00 & 5.00 & 5.00 & 5.00 & 5.00 & 3.00 & 2.00 & 5.00 & 5.00 & 3.00 & 2.00 & 1.00 & 4.60    & 5.00 & 4.50 & 3.67 & 4.38 \\
5.00 & 5.00 & 5.00 & 5.00 & 5.00 & 5.00 & 5.00 & 1.00 & 5.00 & 5.00 & 5.00 & 3.00 & 5.00 & 5.00 & 5.00 & 5.00         & 5.00         & 5.00        & 2.00 & 5.00 & 5.00 & 2.00 & 3.00 & 5.00 & 5.00 & 5.00 & 1.00 & 3.00 & 1.00 & 5.00 & 5.00 & 5.00 & 5.00 & 5.00 & 5.00 & 5.00 & 5.00 & 5.00 & 5.00 & 2.00 & 2.00 & 3.00 & 1.00 & 2.00 & 1.00 & 4.60    & 5.00 & 3.67 & 3.33 & 5.00 \\
5.00 & 5.00 & 5.00 & 5.00 & 1.00 & 1.00 & 5.00 & 1.00 & 5.00 & 5.00 & 5.00 & 3.00 & 5.00 & 5.00 & 5.00 & 5.00         & 5.00         & 5.00        & 2.00 & 5.00 & 2.00 & 5.00 & 3.00 & 5.00 & 5.00 & 5.00 & 1.00 & 5.00 & 1.00 & 2.00 & 5.00 & 5.00 & 5.00 & 5.00 & 5.00 & 5.00 & 5.00 & 5.00 & 5.00 & 2.00 & 2.00 & 5.00 & 3.00 & 2.00 & 1.00 & 4.07    & 5.00 & 3.67 & 3.17 & 5.00 \\
5.00 & 5.00 & 5.00 & 5.00 & 5.00 & 5.00 & 5.00 & 1.00 & 5.00 & 5.00 & 5.00 & 3.00 & 3.00 & 5.00 & 5.00 & 5.00         & 5.00         & 5.00        & 2.00 & 5.00 & 5.00 & 2.00 & 3.00 & 5.00 & 5.00 & 1.00 & 1.00 & 5.00 & 1.00 & 5.00 & 5.00 & 5.00 & 5.00 & 2.00 & 1.00 & 5.00 & 5.00 & 5.00 & 5.00 & 2.00 & 1.00 & 1.00 & 1.00 & 5.00 & 1.00 & 4.47    & 5.00 & 3.67 & 3.00 & 4.13 \\
5.00 & 5.00 & 5.00 & 5.00 & 5.00 & 1.00 & 5.00 & 1.00 & 5.00 & 5.00 & 1.00 & 1.00 & 3.00 & 5.00 & 5.00 & 5.00         & 5.00         & 5.00        & 2.00 & 5.00 & 5.00 & 3.00 & 3.00 & 5.00 & 5.00 & 5.00 & 5.00 & 5.00 & 1.00 & 5.00 & 5.00 & 5.00 & 5.00 & 2.00 & 5.00 & 5.00 & 5.00 & 5.00 & 5.00 & 2.00 & 1.00 & 3.00 & 5.00 & 1.00 & 1.00 & 3.80    & 5.00 & 3.83 & 4.33 & 4.63 \\
1.00 & 1.00 & 1.00 & 1.00 & 1.00 & 3.00 & 5.00 & 5.00 & 5.00 & 5.00 & 5.00 & 5.00 & 3.00 & 5.00 & 5.00 & 5.00         & 5.00         & 5.00        & 5.00 & 5.00 & 5.00 & 5.00 & 5.00 & 5.00 & 5.00 & 5.00 & 5.00 & 5.00 & 3.00 & 5.00 & 5.00 & 5.00 & 5.00 & 5.00 & 1.00 & 1.00 & 1.00 & 1.00 & 1.00 & 1.00 & 2.00 & 1.00 & 5.00 & 2.00 & 0    & 3.40    & 5.00 & 5.00 & 4.67 & 2.50 \\
1.00 & 1.00 & 1.00 & 1.00 & 1.00 & 3.00 & 3.00 & 3.00 & 3.00 & 3.00 & 3.00 & 3.00 & 3.00 & 5.00 & 5.00 & 5.00         & 5.00         & 5.00        & 1.00 & 1.00 & 1.00 & 4.00 & 5.00 & 5.00 & 5.00 & 1.00 & 1.00 & 1.00 & 2.00 & 2.00 & 1.00 & 1.00 & 1.00 & 1.00 & 1.00 & 1.00 & 1.00 & 1.00 & 1.00 & 1.00 & 5.00 & 1.00 & 5.00 & 5.00 & 2.00 & 2.60    & 5.00 & 2.83 & 2.00 & 1.00 \\
