\begin{table}[]
\begin{tabular}{lllllllllll}
            & raw clone size data used for Figure 5a,d, Extended Data Figure 11c,d from ovariectomized BRCA1,P53 confetti mouse model &             &       &             &       &             &       &             &       &  \\
            &                                                                                                                         & 1           &       & 1           &       & 1           &       & 3           &       &  \\
            &                                                                                                                         & 1           &       & 1           &       & 1           &       & 1           &       &  \\
            &                                                                                                                         & 3           &       & 1           &       & 1           &       & 1           &       &  \\
            &                                                                                                                         & 2           &       & 1           &       & 1           &       & 1           &       &  \\
            &                                                                                                                         & 2           &       & 1           &       & 1           &       & 1           &       &  \\
            &                                                                                                                         & 3           &       & 1           &       & 1           &       & 1           &       &  \\
            &                                                                                                                         & 2           &       & 1           &       & 1           &       & 1           &       &  \\
            &                                                                                                                         & 2           &       & 1           &       & 1           &       & 6           &       &  \\
            &                                                                                                                         & 4           &       & 1           &       & 1           &       & 14          &       &  \\
            &                                                                                                                         & 1           &       & 3           &       & 1           &       & 2           &       &  \\
            &                                                                                                                         & 1           &       & 1           &       & 1           &       & 4           &       &  \\
            &                                                                                                                         & 2           &       & 1           &       & 1           &       & 4           &       &  \\
            &                                                                                                                         & 2           &       & 1           &       & 1           &       & 1           &       &  \\
            &                                                                                                                         & 2           &       & 1           &       & 1           &       & 2           &       &  \\
            &                                                                                                                         & 2           &       & 1           &       & 2           &       & 1           &       &  \\
            &                                                                                                                         & 2           &       & 1           &       & 1           &       & 1           &       &  \\
            &                                                                                                                         & 4           &       & 3           &       & 1           &       & 1           &       &  \\
            &                                                                                                                         & 1           &       & 2           &       & 1           &       & 2           &       &  \\
            &                                                                                                                         & 1           &       & 1           &       & 1           &       & 3           &       &  \\
            &                                                                                                                         & 1           &       & 2           &       & 1           &       & 3           &       &  \\
            &                                                                                                                         & 1           &       & 1           &       & 1           &       & 1           &       &  \\
            &                                                                                                                         & 2           &       & 1           &       & 1           &       & 1           &       &  \\
            &                                                                                                                         & 2           &       & 1           &       & 1           &       & 1           &       &  \\
            &                                                                                                                         & 1           &       & 1           &       & 1           &       & 1           &       &  \\
            &                                                                                                                         & 1           &       & 1           &       & 1           &       & 2           &       &  \\
            &                                                                                                                         & 1           &       & 1           &       & 1           &       & 2           &       &  \\
            &                                                                                                                         & 2           &       & 1           &       & 1           &       & 2           &       &  \\
            &                                                                                                                         & 1           &       & 2           &       & 1           &       & 1           &       &  \\
            &                                                                                                                         & 1           &       & 2           &       & 2           &       & 1           &       &  \\
            &                                                                                                                         & 3           &       & 1           &       & 1           &       & 2           &       &  \\
            &                                                                                                                         & 1           &       & 1           &       & 1           &       & 2           &       &  \\
            &                                                                                                                         & 1           &       & 1           &       & 1           &       & 2           &       &  \\
            &                                                                                                                         & 3           &       & 1           &       & 1           &       & 2           &       &  \\
            &                                                                                                                         & 4           &       & 1           &       & 3           &       & 4           &       &  \\
            &                                                                                                                         & 7           &       & 2           &       & 1           &       & 1           &       &  \\
            &                                                                                                                         & 2           &       & 4           &       & 1           &       & 1           &       &  \\
            &                                                                                                                         & 1           &       & 1           &       & 1           &       & 1           &       &  \\
            &                                                                                                                         & 1           &       & 1           &       & 1           &       & 3           &       &  \\
            &                                                                                                                         & 2           &       & 1           &       & 1           &       & 1           &       &  \\
            &                                                                                                                         & 2           &       & 1           &       & 1           &       & 1           &       &  \\
            &                                                                                                                         & 1           &       & 1           &       & 1           &       & 5           &       &  \\
            &                                                                                                                         & 3           &       & 1           &       & 1           &       & 2           &       &  \\
            &                                                                                                                         & 2           &       & 1           &       & 1           &       & 1           &       &  \\
            &                                                                                                                         & 1           &       & 1           &       & 1           &       & 4           &       &  \\
            &                                                                                                                         & 1           &       & 2           &       & 1           &       & 3           &       &  \\
            &                                                                                                                         & 2           &       & 1           &       & 1           &       & 1           &       &  \\
            &                                                                                                                         & 3           &       & 1           &       & 1           &       & 2           &       &  \\
            &                                                                                                                         & 3           &       & 1           &       & 1           &       & 4           &       &  \\
            &                                                                                                                         & 3           &       & 1           &       & 1           &       & 1           &       &  \\
            &                                                                                                                         & 5           &       & 1           &       & 1           &       & 2           &       &  \\
            &                                                                                                                         & 6           &       & 1           &       & 1           &       & 7           &       &  \\
            &                                                                                                                         & 4           &       & 2           &       & 1           &       & 2           &       &  \\
            &                                                                                                                         & 4           &       & 1           &       & 1           &       & 2           &       &  \\
            &                                                                                                                         & 1           &       & 1           &       & 1           &       & 1           &       &  \\
            &                                                                                                                         & 1           &       & 1           &       & 1           &       & 1           &       &  \\
            &                                                                                                                         & 2           &       & 1           &       & 1           &       & 3           &       &  \\
            &                                                                                                                         & 3           &       & 2           &       & 1           &       & 1           &       &  \\
            &                                                                                                                         & 2           &       & 1           &       & 1           &       & 1           &       &  \\
            &                                                                                                                         & 2           &       & 1           &       & 1           &       & 6           &       &  \\
            &                                                                                                                         & 1           &       & 1           &       & 1           &       & 2           &       &  \\
            &                                                                                                                         & 6           &       & 1           &       & 1           &       & 2           &       &  \\
            &                                                                                                                         & 1           &       & 1           &       & 1           &       & 4           &       &  \\
            &                                                                                                                         & 2           &       & 1           &       & 1           &       & 4           &       &  \\
            &                                                                                                                         & 1           &       & 1           &       & 1           &       & 1           &       &  \\
            &                                                                                                                         & 2           &       & 1           &       & 1           &       & 13          &       &  \\
            &                                                                                                                         & 2           &       & 1           &       & 1           &       & 4           &       &  \\
            &                                                                                                                         & 2           &       & 1           &       & 2           &       & 3           &       &  \\
            &                                                                                                                         & 2           &       & 1           &       & 2           &       & 6           &       &  \\
            &                                                                                                                         & 4           &       & 1           &       & 2           &       & 2           &       &  \\
            &                                                                                                                         & 4           &       & 1           &       & 1           &       & 1           &       &  \\
            &                                                                                                                         & 1           &       & 1           &       & 1           &       & 1           &       &  \\
            &                                                                                                                         & 4           &       & 3           &       & 1           &       & 1           &       &  \\
            &                                                                                                                         & 4           &       & 1           &       & 1           &       & 1           &       &  \\
            &                                                                                                                         & 6           &       & 1           &       & 1           &       & 1           &       &  \\
            &                                                                                                                         & 2           &       & 1           &       & 1           &       & 2           &       &  \\
            &                                                                                                                         & 3           &       & 1           &       & 1           &       & 1           &       &  \\
            &                                                                                                                         & 2           &       & 1           &       & 1           &       & 1           &       &  \\
            &                                                                                                                         & 2           &       & 1           &       & 2           &       & 2           &       &  \\
            &                                                                                                                         & 2           &       & 1           &       & 1           &       & 1           &       &  \\
            &                                                                                                                         & 1           &       & 1           &       & 2           &       & 4           &       &  \\
            &                                                                                                                         & 2           &       & 1           &       & 1           &       & 20          &       &  \\
            &                                                                                                                         & 1           &       & 1           &       & 2           &       & 4           &       &  \\
            &                                                                                                                         & 1           &       & 1           &       & 1           &       & 150         &       &  \\
            &                                                                                                                         & 4           &       & 8           &       & 2           &       & 1           &       &  \\
            &                                                                                                                         & 4           &       & 1           &       & 3           &       & 1           &       &  \\
            &                                                                                                                         & 2           &       & 1           &       & 1           &       & 1           &       &  \\
            &                                                                                                                         & 10          &       & 2           &       & 1           &       & 2           &       &  \\
            &                                                                                                                         & 2           &       & 1           &       & 1           &       & 1           &       &  \\
            &                                                                                                                         & 6           &       & 1           &       & 1           &       & 7           &       &  \\
            &                                                                                                                         & 2           &       & 1           &       & 1           &       & 1           &       &  \\
            &                                                                                                                         & 1           &       & 1           &       & 1           &       & 1           &       &  \\
            &                                                                                                                         & 1           &       & 1           &       & 1           &       & 4           &       &  \\
            &                                                                                                                         & 1           &       & 1           &       & 1           &       & 6           &       &  \\
            &                                                                                                                         & 2           &       & 1           &       & 1           &       & 4           &       &  \\
            &                                                                                                                         & 2           &       & 2           &       & 1           &       & 8           &       &  \\
            &                                                                                                                         & 1           &       & 2           &       & 1           &       & 7           &       &  \\
            &                                                                                                                         & 1           &       & 1           &       & 1           &       & 4           &       &  \\
            &                                                                                                                         & 1           &       & 1           &       & 1           &       & 3           &       &  \\
            &                                                                                                                         & 2           &       & 1           &       & 1           &       & 2           &       &  \\
            &                                                                                                                         & 2           &       & 1           &       & 1           &       & 2           &       &  \\
            &                                                                                                                         & 2           &       & 1           &       & 1           &       & 1           &       &  \\
            &                                                                                                                         & 2           &       & 1           &       & 1           &       & 4           &       &  \\
            &                                                                                                                         & 2           &       & 1           &       & 1           &       & 13          &       &  \\
            &                                                                                                                         & 1           &       & 1           &       & 1           &       & 3           &       &  \\
            &                                                                                                                         & 3           &       & 1           &       & 2           &       & 5           &       &  \\
            &                                                                                                                         & 2           &       & 1           &       & 1           &       & 4           &       &  \\
            &                                                                                                                         & 2           &       & 2           &       & 1           &       & 5           &       &  \\
            &                                                                                                                         & 1           &       & 1           &       & 1           &       & 4           &       &  \\
            &                                                                                                                         & 1           &       & 1           &       & 1           &       & 5           &       &  \\
            &                                                                                                                         & 1           &       & 1           &       & 1           &       & 4           &       &  \\
            &                                                                                                                         & 1           &       & 1           &       & 1           &       & 15          &       &  \\
            &                                                                                                                         & 3           &       & 3           &       & 1           &       & 2           &       &  \\
            &                                                                                                                         & 1           &       & 28          &       & 1           &       & 1           &       &  \\
            &                                                                                                                         & 1           &       & 15          &       & 1           &       & 2           &       &  \\
            &                                                                                                                         & 2           &       & 16          &       & 1           &       & 1           &       &  \\
            &                                                                                                                         & 2           &       & 15          &       & 1           &       & 1           &       &  \\
            &                                                                                                                         & 2           &       & 2           &       & 1           &       & 1           &       &  \\
            &                                                                                                                         & 1           &       & 1           &       & 7           &       & 4           &       &  \\
            &                                                                                                                         & 1           &       & 2           &       & 2           &       & 1           &       &  \\
            &                                                                                                                         & 1           &       & 2           &       & 2           &       & 1           &       &  \\
            &                                                                                                                         & 1           &       & 3           &       & 1           &       & 9           &       &  \\
            &                                                                                                                         & 1           &       & 1           &       & 1           &       & 13          &       &  \\
            &                                                                                                                         & 2           &       & 2           &       & 1           &       & 2           &       &  \\
            &                                                                                                                         & 1           &       & 1           &       & 1           &       & 6           &       &  \\
            &                                                                                                                         & 3           &       & 1           &       & 1           &       & 1           &       &  \\
            &                                                                                                                         & 2           &       & 1           &       & 1           &       & 1           &       &  \\
            &                                                                                                                         & 2           &       & 1           &       & 1           &       & 1           &       &  \\
            &                                                                                                                         & 1           &       & 2           &       & 1           &       & 5           &       &  \\
            &                                                                                                                         & 2           &       & 1           &       & 1           &       & 2           &       &  \\
            &                                                                                                                         & 1           &       & 1           &       & 1           &       & 2           &       &  \\
            &                                                                                                                         & 2           &       & 1           &       & 1           &       & 3           &       &  \\
            &                                                                                                                         & 1           &       & 1           &       & 1           &       & 3           &       &  \\
            &                                                                                                                         & 3           &       & 1           &       & 1           &       & 3           &       &  \\
            &                                                                                                                         & 1           &       & 1           &       & 1           &       & 6           &       &  \\
            &                                                                                                                         & 4           &       & 1           &       & 2           &       & 1           &       &  \\
            &                                                                                                                         & 1           &       & 1           &       & 2           &       & 1           &       &  \\
            &                                                                                                                         & 7           &       & 1           &       & 1           &       & 1           &       &  \\
            &                                                                                                                         & 1           &       & 1           &       & 1           &       & 21          &       &  \\
            &                                                                                                                         & 2           &       & 1           &       & 1           &       & 16          &       &  \\
            &                                                                                                                         & 2           &       & 1           &       & 1           &       & 6           &       &  \\
            &                                                                                                                         & 4           &       & 2           &       & 1           &       & 4           &       &  \\
            &                                                                                                                         & 1           &       & 1           &       & 1           &       & 2           &       &  \\
            &                                                                                                                         & 3           &       & 1           &       & 1           &       & 1           &       &  \\
            &                                                                                                                         & 1           &       & 1           &       & 1           &       & 191         &       &  \\
            &                                                                                                                         & 1           &       & 6           &       & 1           &       & 15          &       &  \\
            &                                                                                                                         & 2           &       & 1           &       & 2           &       &             &       &  \\
            &                                                                                                                         & 2           &       & 1           &       & 1           &       &             &       &  \\
            &                                                                                                                         & 1           &       & 1           &       & 1           &       &             &       &  \\
            &                                                                                                                         & 1           &       & 1           &       & 1           &       &             &       &  \\
            &                                                                                                                         & 1           &       & 1           &       & 1           &       &             &       &  \\
            &                                                                                                                         & 2           &       & 1           &       & 1           &       &             &       &  \\
            &                                                                                                                         & 1           &       & 1           &       & 1           &       &             &       &  \\
            &                                                                                                                         & 1           &       & 1           &       & 1           &       &             &       &  \\
            &                                                                                                                         & 1           &       & 1           &       & 1           &       &             &       &  \\
            &                                                                                                                         & 1           &       & 1           &       & 1           &       &             &       &  \\
            &                                                                                                                         & 1           &       &             &       & 1           &       &             &       &  \\
            &                                                                                                                         & 1           &       & 1           &       & 1           &       &             &       &  \\
            &                                                                                                                         & 1           &       & 1           &       & 2           &       &             &       &  \\
            &                                                                                                                         & 1           &       & 1           &       & 1           &       &             &       &  \\
            &                                                                                                                         & 1           &       & 1           &       & 1           &       &             &       &  \\
            &                                                                                                                         & 2           &       &             &       & 1           &       &             &       &  \\
            &                                                                                                                         & 2           &       & 1           &       & 1           &       &             &       &  \\
            &                                                                                                                         & 4           &       & 1           &       & 2           &       &             &       &  \\
            &                                                                                                                         & 2           &       & 1           &       & 1           &       &             &       &  \\
            &                                                                                                                         & 1           &       & 1           &       & 2           &       &             &       &  \\
            &                                                                                                                         & 1           &       & 3           &       & 2           &       &             &       &  \\
            &                                                                                                                         & 1           &       & 1           &       & 1           &       &             &       &  \\
            &                                                                                                                         & 2           &       & 1           &       & 2           &       &             &       &  \\
            &                                                                                                                         & 2           &       & 1           &       & 1           &       &             &       &  \\
            &                                                                                                                         & 2           &       & 1           &       & 1           &       &             &       &  \\
            &                                                                                                                         & 1           &       & 1           &       & 2           &       &             &       &  \\
            &                                                                                                                         & 1           &       & 1           &       & 1           &       &             &       &  \\
            &                                                                                                                         & 2           &       & 1           &       & 1           &       &             &       &  \\
            &                                                                                                                         & 1           &       & 1           &       & 1           &       &             &       &  \\
            &                                                                                                                         & 1           &       & 2           &       & 1           &       &             &       &  \\
            &                                                                                                                         & 1           &       & 1           &       & 1           &       &             &       &  \\
            &                                                                                                                         & 1           &       & 1           &       & 1           &       &             &       &  \\
            &                                                                                                                         & 1           &       & 1           &       & 1           &       &             &       &  \\
            &                                                                                                                         & 2           &       & 2           &       & 1           &       &             &       &  \\
            &                                                                                                                         & 2           &       & 1           &       & 1           &       &             &       &  \\
            &                                                                                                                         & 1           &       & 1           &       & 1           &       &             &       &  \\
            &                                                                                                                         & 1           &       & 1           &       & 1           &       &             &       &  \\
            &                                                                                                                         & 1           &       & 1           &       & 1           &       &             &       &  \\
            &                                                                                                                         & 1           &       & 1           &       & 2           &       &             &       &  \\
            &                                                                                                                         & 1           &       & 2           &       & 1           &       &             &       &  \\
            &                                                                                                                         & 1           &       & 1           &       & 1           &       &             &       &  \\
            &                                                                                                                         & 2           &       & 1           &       & 1           &       &             &       &  \\
            &                                                                                                                         & 1           &       & 1           &       & 1           &       &             &       &  \\
            &                                                                                                                         & 1           &       & 1           &       & 1           &       &             &       &  \\
            &                                                                                                                         & 1           &       & 1           &       & 1           &       &             &       &  \\
            &                                                                                                                         & 1           &       & 1           &       & 1           &       &             &       &  \\
            &                                                                                                                         & 1           &       & 1           &       & 2           &       &             &       &  \\
            &                                                                                                                         & 1           &       & 1           &       & 1           &       &             &       &  \\
            &                                                                                                                         & 1           &       & 1           &       & 1           &       &             &       &  \\
            &                                                                                                                         & 1           &       & 2           &       & 1           &       &             &       &  \\
            &                                                                                                                         & 1           &       & 2           &       & 1           &       &             &       &  \\
            &                                                                                                                         & 2           &       & 1           &       & 1           &       &             &       &  \\
