% Please add the following required packages to your document preamble:
% \usepackage[table,xcdraw]{xcolor}
% Beamer presentation requires \usepackage{colortbl} instead of \usepackage[table,xcdraw]{xcolor}
% \usepackage[normalem]{ulem}
% \useunder{\uline}{\ul}{}
\begin{table}[]
\begin{tabular}{llrr}
 & \textbf{Green areas - Local areas}                              & \multicolumn{1}{l}{}                         & \multicolumn{1}{l}{}                         \\
 & Measure: Land area                                              & \multicolumn{1}{l}{}                         & \multicolumn{1}{l}{}                         \\
 & Territorial level: TL2                                          & \multicolumn{1}{l}{}                         & \multicolumn{1}{l}{}                         \\
 & Time period: 2021                                               & \multicolumn{1}{l}{}                         & \multicolumn{1}{l}{}                         \\
 & Combined unit of measure: Square kilometres                     & \multicolumn{1}{l}{}                         & \multicolumn{1}{l}{}                         \\
 &                                                                 & \multicolumn{1}{l}{}                         & \multicolumn{1}{l}{}                         \\
 & \cellcolor[HTML]{E2F2FB}\textbf{Reference area}                 & \multicolumn{1}{l}{\cellcolor[HTML]{F1F1F1}} & \multicolumn{1}{l}{\cellcolor[HTML]{F1F1F1}} \\
 & \cellcolor[HTML]{E2F2FB}Australia                               & \cellcolor[HTML]{F1F1F1}                     &                                              \\
 & \cellcolor[HTML]{E2F2FB}·  Friuli-Venezia Giulia                & \cellcolor[HTML]{F1F1F1}                     & 5,496,398                                    \\
 & \cellcolor[HTML]{E2F2FB}·  Emilia-Romagna                       & \cellcolor[HTML]{F1F1F1}                     & 13,518,562                                   \\
 & \cellcolor[HTML]{E2F2FB}·  Tuscany                              & \cellcolor[HTML]{F1F1F1}                     & 18,653,442                                   \\
 & \cellcolor[HTML]{E2F2FB}·  Umbria                               & \cellcolor[HTML]{F1F1F1}                     & 6,533,110                                    \\
 & \cellcolor[HTML]{E2F2FB}·  Marche                               & \cellcolor[HTML]{F1F1F1}                     & 6,197,637                                    \\
 & \cellcolor[HTML]{E2F2FB}·  Lazio                                & \cellcolor[HTML]{F1F1F1}                     & 12,961,038                                   \\
 & \cellcolor[HTML]{E2F2FB}Japan                                   & \cellcolor[HTML]{F1F1F1}                     &                                              \\
 & \cellcolor[HTML]{E2F2FB}·  Hokkaido                             & \cellcolor[HTML]{F1F1F1}                     & 64,945,702                                   \\
 & \cellcolor[HTML]{E2F2FB}·  Tohoku                               & \cellcolor[HTML]{F1F1F1}                     & 55,636,060                                   \\
 & \cellcolor[HTML]{E2F2FB}·  Northern-Kanto, Koshin               & \cellcolor[HTML]{F1F1F1}                     & 28,537,485                                   \\
 & \cellcolor[HTML]{E2F2FB}·  Southern-Kanto                       & \cellcolor[HTML]{F1F1F1}                     & 7,101,817                                    \\
 & \cellcolor[HTML]{E2F2FB}·  Hokuriku                             & \cellcolor[HTML]{F1F1F1}                     & 19,969,652                                   \\
 & \cellcolor[HTML]{E2F2FB}·  Toukai                               & \cellcolor[HTML]{F1F1F1}                     & 23,173,493                                   \\
 & \cellcolor[HTML]{E2F2FB}·  Kansai region                        & \cellcolor[HTML]{F1F1F1}                     & 21,301,271                                   \\
 & \cellcolor[HTML]{E2F2FB}·  Chugoku                              & \cellcolor[HTML]{F1F1F1}                     & 27,625,360                                   \\
 & \cellcolor[HTML]{E2F2FB}·  Shikoku                              & \cellcolor[HTML]{F1F1F1}                     & 16,553,623                                   \\
 & \cellcolor[HTML]{E2F2FB}·  Kyushu, Okinawa                      & \cellcolor[HTML]{F1F1F1}                     & 35,833,563                                   \\
 & \cellcolor[HTML]{E2F2FB}Korea                                   & \cellcolor[HTML]{F1F1F1}                     &                                              \\
 & \cellcolor[HTML]{E2F2FB}·  Seoul Capital Area                   & \cellcolor[HTML]{F1F1F1}                     & 7,562,962                                    \\
 & \cellcolor[HTML]{E2F2FB}·  Gyeongnam Region                     & \cellcolor[HTML]{F1F1F1}                     & 9,546,943                                    \\
 & \cellcolor[HTML]{E2F2FB}·  Gyeongbuk Region                     & \cellcolor[HTML]{F1F1F1}                     & 15,935,681                                   \\
 & \cellcolor[HTML]{E2F2FB}·  Jeolla Region                        & \cellcolor[HTML]{F1F1F1}                     & 13,830,645                                   \\
 & \cellcolor[HTML]{E2F2FB}·  Chungcheong Region                   & \cellcolor[HTML]{F1F1F1}                     & 11,374,200                                   \\
 & \cellcolor[HTML]{E2F2FB}·  Gangwon Region                       & \cellcolor[HTML]{F1F1F1}                     & 15,164,896                                   \\
 & \cellcolor[HTML]{E2F2FB}·  Jeju                                 & \cellcolor[HTML]{F1F1F1}                     & 1,327,712                                    \\
 & \cellcolor[HTML]{E2F2FB}Latvia                                  & \cellcolor[HTML]{F1F1F1}                     &                                              \\
 & \cellcolor[HTML]{E2F2FB}·  Latvia                               & \cellcolor[HTML]{F1F1F1}                     & 49,302,616                                   \\
 & \cellcolor[HTML]{E2F2FB}Lithuania                               & \cellcolor[HTML]{F1F1F1}                     &                                              \\
 & \cellcolor[HTML]{E2F2FB}·  Capital Region                       & \cellcolor[HTML]{F1F1F1}                     & 6,971,678                                    \\
 & \cellcolor[HTML]{E2F2FB}·  Central and Western Lithuania Region & \cellcolor[HTML]{F1F1F1}                     & 32,588,805                                   \\
 & \cellcolor[HTML]{E2F2FB}Luxembourg                              & \cellcolor[HTML]{F1F1F1}                     &                                              \\
 & \cellcolor[HTML]{E2F2FB}·  Luxembourg                           & \cellcolor[HTML]{F1F1F1}                     & 1,964,458                                    \\
 & \cellcolor[HTML]{E2F2FB}Mexico                                  & \cellcolor[HTML]{F1F1F1}                     &                                              \\
 & \cellcolor[HTML]{E2F2FB}·  Aguascalientes                       & \cellcolor[HTML]{F1F1F1}                     & 4,021,589                                    \\
 & \cellcolor[HTML]{E2F2FB}·  Baja California                      & \cellcolor[HTML]{F1F1F1}                     & 47,512,299                                   \\
 & \cellcolor[HTML]{E2F2FB}·  Baja California Sur                  & \cellcolor[HTML]{F1F1F1}                     & 51,674,833                                   \\
 & \cellcolor[HTML]{E2F2FB}·  Campeche                             & \cellcolor[HTML]{F1F1F1}                     & 48,820,639                                   \\
 & \cellcolor[HTML]{E2F2FB}·  Coahuila                             & \cellcolor[HTML]{F1F1F1}                     & 129,177,921                                  \\
 & \cellcolor[HTML]{E2F2FB}·  Colima                               & \cellcolor[HTML]{F1F1F1}                     & 4,943,634                                    \\
 & \cellcolor[HTML]{E2F2FB}·  Chiapas                              & \cellcolor[HTML]{F1F1F1}                     & 68,491,220                                   \\
 & \cellcolor[HTML]{E2F2FB}·  Chihuahua                            & \cellcolor[HTML]{F1F1F1}                     & 203,682,982                                  \\
 & \cellcolor[HTML]{E2F2FB}·  Mexico City                          & \cellcolor[HTML]{F1F1F1}                     & 805,415                                      \\
 & \cellcolor[HTML]{E2F2FB}·  Durango                              & \cellcolor[HTML]{F1F1F1}                     & 110,614,237                                  \\
 & \cellcolor[HTML]{E2F2FB}·  Guanajuato                           & \cellcolor[HTML]{F1F1F1}                     & 20,213,671                                   \\
 & \cellcolor[HTML]{E2F2FB}·  Guerrero                             & \cellcolor[HTML]{F1F1F1}                     & 60,636,564                                   \\
 & \cellcolor[HTML]{E2F2FB}·  Hidalgo                              & \cellcolor[HTML]{F1F1F1}                     & 16,902,285                                   \\
 & \cellcolor[HTML]{E2F2FB}·  Jalisco                              & \cellcolor[HTML]{F1F1F1}                     & 65,096,886                                   \\
 & \cellcolor[HTML]{E2F2FB}·  Mexico                               & \cellcolor[HTML]{F1F1F1}                     & 15,350,623                                   \\
 & \cellcolor[HTML]{E2F2FB}·  Michoacan                            & \cellcolor[HTML]{F1F1F1}                     & 50,691,315                                   \\
 & \cellcolor[HTML]{E2F2FB}·  Morelos                              & \cellcolor[HTML]{F1F1F1}                     & 3,621,586                                    \\
 & \cellcolor[HTML]{E2F2FB}·  Nayarit                              & \cellcolor[HTML]{F1F1F1}                     & 23,781,249                                   \\
 & \cellcolor[HTML]{E2F2FB}·  Nuevo Leon                           & \cellcolor[HTML]{F1F1F1}                     & 59,480,606                                   \\
 & \cellcolor[HTML]{E2F2FB}·  Oaxaca                               & \cellcolor[HTML]{F1F1F1}                     & 87,533,716                                   \\
 & \cellcolor[HTML]{E2F2FB}·  Puebla                               & \cellcolor[HTML]{F1F1F1}                     & 27,806,152                                   \\
 & \cellcolor[HTML]{E2F2FB}·  Queretaro                            & \cellcolor[HTML]{F1F1F1}                     & 9,706,369                                    \\
 & \cellcolor[HTML]{E2F2FB}·  Quintana Roo                         & \cellcolor[HTML]{F1F1F1}                     & 38,640,835                                   \\
 & \cellcolor[HTML]{E2F2FB}·  San Luis Potosi                      & \cellcolor[HTML]{F1F1F1}                     & 53,561,839                                   \\
 & \cellcolor[HTML]{E2F2FB}·  Sinaloa                              & \cellcolor[HTML]{F1F1F1}                     & 39,935,809                                   \\
 & \cellcolor[HTML]{E2F2FB}·  Sonora                               & \cellcolor[HTML]{F1F1F1}                     & 143,667,850                                  \\
 & \cellcolor[HTML]{E2F2FB}·  Tabasco                              & \cellcolor[HTML]{F1F1F1}                     & 17,996,909                                   \\
 & \cellcolor[HTML]{E2F2FB}·  Tamaulipas                           & \cellcolor[HTML]{F1F1F1}                     & 60,485,858                                   \\
 & \cellcolor[HTML]{E2F2FB}·  Tlaxcala                             & \cellcolor[HTML]{F1F1F1}                     & 1,935,840                                    \\
 & \cellcolor[HTML]{E2F2FB}·  Veracruz                             & \cellcolor[HTML]{F1F1F1}                     & 61,600,148                                   \\
 & \cellcolor[HTML]{E2F2FB}·  Yucatan                              & \cellcolor[HTML]{F1F1F1}                     & 36,972,180                                   \\
 & \cellcolor[HTML]{E2F2FB}·  Zacatecas                            & \cellcolor[HTML]{F1F1F1}                     & 60,624,418                                   \\
 & \cellcolor[HTML]{E2F2FB}Netherlands                             & \cellcolor[HTML]{F1F1F1}                     &                                              \\
 & \cellcolor[HTML]{E2F2FB}·  Groningen                            & \cellcolor[HTML]{F1F1F1}                     & 1,165,264                                    \\
 & \cellcolor[HTML]{E2F2FB}·  Friesland                            & \cellcolor[HTML]{F1F1F1}                     & 2,614,015                                    \\
 & \cellcolor[HTML]{E2F2FB}·  Drenthe                              & \cellcolor[HTML]{F1F1F1}                     & 1,671,781                                    \\
 & \cellcolor[HTML]{E2F2FB}·  Overijssel                           & \cellcolor[HTML]{F1F1F1}                     & 2,538,437                                    \\
 & \cellcolor[HTML]{E2F2FB}·  Gelderland                           & \cellcolor[HTML]{F1F1F1}                     & 3,845,842                                    \\
 & \cellcolor[HTML]{E2F2FB}·  Flevoland                            & \cellcolor[HTML]{F1F1F1}                     & 508,042                                      \\
 & \cellcolor[HTML]{E2F2FB}·  Utrecht (TL2021)                     & \cellcolor[HTML]{F1F1F1}                     & 1,093,037                                    \\
 & \cellcolor[HTML]{E2F2FB}·  North Holland                        & \cellcolor[HTML]{F1F1F1}                     & 1,611,400                                    \\
 & \cellcolor[HTML]{E2F2FB}·  South Holland (TL2021)               & \cellcolor[HTML]{F1F1F1}                     & 1,699,361                                    \\
 & \cellcolor[HTML]{E2F2FB}·  Zeeland                              & \cellcolor[HTML]{F1F1F1}                     & 642,257                                      \\
 & \cellcolor[HTML]{E2F2FB}·  North Brabant                        & \cellcolor[HTML]{F1F1F1}                     & 2,938,245                                    \\
 & \cellcolor[HTML]{E2F2FB}·  Limburg                              & \cellcolor[HTML]{F1F1F1}                     & 1,220,888                                    \\
 & \cellcolor[HTML]{E2F2FB}New Zealand                             & \cellcolor[HTML]{F1F1F1}                     &                                              \\
 & \cellcolor[HTML]{E2F2FB}·  Northland                            & \cellcolor[HTML]{F1F1F1}                     & 11,989,443                                   \\
 & \cellcolor[HTML]{E2F2FB}·  Auckland                             & \cellcolor[HTML]{F1F1F1}                     & 4,377,984                                    \\
 & \cellcolor[HTML]{E2F2FB}·  Waikato                              & \cellcolor[HTML]{F1F1F1}                     & 22,573,776                                   \\
 & \cellcolor[HTML]{E2F2FB}·  Bay of Plenty                        & \cellcolor[HTML]{F1F1F1}                     & 11,774,917                                   \\
 & \cellcolor[HTML]{E2F2FB}·  Gisborne                             & \cellcolor[HTML]{F1F1F1}                     & 8,162,325                                    \\
 & \cellcolor[HTML]{E2F2FB}·  Hawke's Bay                          & \cellcolor[HTML]{F1F1F1}                     & 13,578,628                                   \\
 & \cellcolor[HTML]{E2F2FB}·  Taranaki                             & \cellcolor[HTML]{F1F1F1}                     & 7,135,986                                    \\
 & \cellcolor[HTML]{E2F2FB}·  Manawatu-Wanganui                    & \cellcolor[HTML]{F1F1F1}                     & 21,624,760                                   \\
 & \cellcolor[HTML]{E2F2FB}·  Wellington                           & \cellcolor[HTML]{F1F1F1}                     & 7,716,463                                    \\
 & \cellcolor[HTML]{E2F2FB}·  Tasman-Nelson-Marlborough            & \cellcolor[HTML]{F1F1F1}                     & 19,112,397                                   \\
 & \cellcolor[HTML]{E2F2FB}·  West Coast                           & \cellcolor[HTML]{F1F1F1}                     & 21,215,047                                   \\
 & \cellcolor[HTML]{E2F2FB}·  Canterbury                           & \cellcolor[HTML]{F1F1F1}                     & 35,339,024                                   \\
 & \cellcolor[HTML]{E2F2FB}·  Otago                                & \cellcolor[HTML]{F1F1F1}                     & 28,969,782                                   \\
 & \cellcolor[HTML]{E2F2FB}·  Southland                            & \cellcolor[HTML]{F1F1F1}                     & 29,764,139                                   \\
 & \cellcolor[HTML]{E2F2FB}Norway                                  & \cellcolor[HTML]{F1F1F1}                     &                                              \\
 & \cellcolor[HTML]{E2F2FB}·  Innlandet                            & \cellcolor[HTML]{F1F1F1}                     & 39,241,486                                   \\
 & \cellcolor[HTML]{E2F2FB}·  Trøndelag                            & \cellcolor[HTML]{F1F1F1}                     & 33,520,624                                   \\
 & \cellcolor[HTML]{E2F2FB}·  Northern Norway                      & \cellcolor[HTML]{F1F1F1}                     & 67,596,490                                   \\
 & \cellcolor[HTML]{E2F2FB}·  Oslo and Viken                       & \cellcolor[HTML]{F1F1F1}                     & 19,559,651                                   \\
 & \cellcolor[HTML]{E2F2FB}·  Agder and Sør-Østlandet              & \cellcolor[HTML]{F1F1F1}                     & 27,778,332                                   \\
 & \cellcolor[HTML]{E2F2FB}·  Western Norway                       & \cellcolor[HTML]{F1F1F1}                     & 38,728,045                                   \\
 & \cellcolor[HTML]{E2F2FB}Poland                                  & \cellcolor[HTML]{F1F1F1}                     &                                              \\
 & \cellcolor[HTML]{E2F2FB}·  Lesser Poland                        & \cellcolor[HTML]{F1F1F1}                     & 10,654,497                                   \\
 & \cellcolor[HTML]{E2F2FB}·  Silesia                              & \cellcolor[HTML]{F1F1F1}                     & 8,444,650                                    \\
 & \cellcolor[HTML]{E2F2FB}·  Greater Poland                       & \cellcolor[HTML]{F1F1F1}                     & 14,264,086                                   \\
 & \cellcolor[HTML]{E2F2FB}·  West Pomerania                       & \cellcolor[HTML]{F1F1F1}                     & 14,402,399                                   \\
 & \cellcolor[HTML]{E2F2FB}·  Lubusz                               & \cellcolor[HTML]{F1F1F1}                     & 10,421,904                                   \\
 & \cellcolor[HTML]{E2F2FB}·  Lower Silesia                        & \cellcolor[HTML]{F1F1F1}                     & 11,171,528                                   \\
 & \cellcolor[HTML]{E2F2FB}·  Opole region                         & \cellcolor[HTML]{F1F1F1}                     & 4,090,212                                    \\
 & \cellcolor[HTML]{E2F2FB}·  Kuyavian-Pomerania                   & \cellcolor[HTML]{F1F1F1}                     & 7,834,312                                    \\
 & \cellcolor[HTML]{E2F2FB}·  Warmian-Masuria                      & \cellcolor[HTML]{F1F1F1}                     & 15,766,534                                   \\
 & \cellcolor[HTML]{E2F2FB}·  Pomerania                            & \cellcolor[HTML]{F1F1F1}                     & 11,160,965                                   \\
 & \cellcolor[HTML]{E2F2FB}·  Lodzkie                              & \cellcolor[HTML]{F1F1F1}                     & 9,742,215                                    \\
 & \cellcolor[HTML]{E2F2FB}·  Swietokrzyskie                       & \cellcolor[HTML]{F1F1F1}                     & 7,729,782                                    \\
 & \cellcolor[HTML]{E2F2FB}·  Lublin Province                      & \cellcolor[HTML]{F1F1F1}                     & 12,813,927                                   \\
 & \cellcolor[HTML]{E2F2FB}·  Podkarpacia                          & \cellcolor[HTML]{F1F1F1}                     & 13,047,623                                   \\
 & \cellcolor[HTML]{E2F2FB}·  Podlaskie                            & \cellcolor[HTML]{F1F1F1}                     & 13,436,666                                   \\
 & \cellcolor[HTML]{E2F2FB}·  Warsaw                               & \cellcolor[HTML]{F1F1F1}                     & 4,503,489                                    \\
 & \cellcolor[HTML]{E2F2FB}·  Mazowiecki region                    & \cellcolor[HTML]{F1F1F1}                     & 17,803,491                                   \\
 & \cellcolor[HTML]{E2F2FB}Portugal                                & \cellcolor[HTML]{F1F1F1}                     &                                              \\
 & \cellcolor[HTML]{E2F2FB}·  North                                & \cellcolor[HTML]{F1F1F1}                     & 18,730,100                                   \\
 & \cellcolor[HTML]{E2F2FB}·  Algarve                              & \cellcolor[HTML]{F1F1F1}                     & 4,474,974                                    \\
 & \cellcolor[HTML]{E2F2FB}·  Centro                               & \cellcolor[HTML]{F1F1F1}                     & 25,617,183                                   \\
 & \cellcolor[HTML]{E2F2FB}·  Metropolitan area of Lisbon          & \cellcolor[HTML]{F1F1F1}                     & 1,952,639                                    \\
 & \cellcolor[HTML]{E2F2FB}·  Alentejo                             & \cellcolor[HTML]{F1F1F1}                     & 26,901,377                                   \\
 & \cellcolor[HTML]{E2F2FB}·  Autonomous Region of the Azores      & \cellcolor[HTML]{F1F1F1}                     & 2,112,953                                    \\
 & \cellcolor[HTML]{E2F2FB}·  Autonomous Region of Madeira         & \cellcolor[HTML]{F1F1F1}                     & 725,062                                      \\
 & \cellcolor[HTML]{E2F2FB}Slovak Republic                         & \cellcolor[HTML]{F1F1F1}                     &                                              \\
 & \cellcolor[HTML]{E2F2FB}·  Bratislava Region                    & \cellcolor[HTML]{F1F1F1}                     & 1,229,303                                    \\
 & \cellcolor[HTML]{E2F2FB}·  West Slovakia                        & \cellcolor[HTML]{F1F1F1}                     & 6,910,652                                    \\
 & \cellcolor[HTML]{E2F2FB}·  Central Slovakia                     & \cellcolor[HTML]{F1F1F1}                     & 13,490,533                                   \\
 & \cellcolor[HTML]{E2F2FB}·  East Slovakia                        & \cellcolor[HTML]{F1F1F1}                     & 11,675,913                                   \\
 & \cellcolor[HTML]{E2F2FB}Slovenia                                & \cellcolor[HTML]{F1F1F1}                     &                                              \\
 & \cellcolor[HTML]{E2F2FB}·  Eastern Slovenia                     & \cellcolor[HTML]{F1F1F1}                     & 10,736,083                                   \\
 & \cellcolor[HTML]{E2F2FB}·  Western Slovenia                     & \cellcolor[HTML]{F1F1F1}                     & 7,276,807                                    \\
 & \cellcolor[HTML]{E2F2FB}Spain                                   & \cellcolor[HTML]{F1F1F1}                     &                                              \\
 & \cellcolor[HTML]{E2F2FB}·  Galicia                              & \cellcolor[HTML]{F1F1F1}                     & 27,490,384                                   \\
 & \cellcolor[HTML]{E2F2FB}·  Asturias                             & \cellcolor[HTML]{F1F1F1}                     & 10,276,319                                   \\
 & \cellcolor[HTML]{E2F2FB}·  Cantabria                            & \cellcolor[HTML]{F1F1F1}                     & 5,035,587                                    \\
 & \cellcolor[HTML]{E2F2FB}·  Basque Country                       & \cellcolor[HTML]{F1F1F1}                     & 6,231,804                                    \\
 & \cellcolor[HTML]{E2F2FB}·  Navarra                              & \cellcolor[HTML]{F1F1F1}                     & 6,943,036                                    \\
 & \cellcolor[HTML]{E2F2FB}·  La Rioja                             & \cellcolor[HTML]{F1F1F1}                     & 3,702,048                                    \\
 & \cellcolor[HTML]{E2F2FB}·  Aragon                               & \cellcolor[HTML]{F1F1F1}                     & 31,626,289                                   \\
 & \cellcolor[HTML]{E2F2FB}·  Madrid                               & \cellcolor[HTML]{F1F1F1}                     & 5,429,624                                    \\
 & \cellcolor[HTML]{E2F2FB}·  Castile and León                     & \cellcolor[HTML]{F1F1F1}                     & 57,411,241                                   \\
 & \cellcolor[HTML]{E2F2FB}·  Castile-La Mancha                    & \cellcolor[HTML]{F1F1F1}                     & 46,614,470                                   \\
 & \cellcolor[HTML]{E2F2FB}·  Extremadura                          & \cellcolor[HTML]{F1F1F1}                     & 33,444,556                                   \\
 & \cellcolor[HTML]{E2F2FB}·  Catalonia                            & \cellcolor[HTML]{F1F1F1}                     & 24,913,928                                   \\
 & \cellcolor[HTML]{E2F2FB}·  Valencian Community                  & \cellcolor[HTML]{F1F1F1}                     & 19,664,446                                   \\
 & \cellcolor[HTML]{E2F2FB}·  Balearic Islands                     & \cellcolor[HTML]{F1F1F1}                     & 3,717,961                                    \\
 & \cellcolor[HTML]{E2F2FB}·  Andalusia                            & \cellcolor[HTML]{F1F1F1}                     & 67,280,540                                   \\
 & \cellcolor[HTML]{E2F2FB}·  Murcia                               & \cellcolor[HTML]{F1F1F1}                     & 7,531,621                                    \\
 & \cellcolor[HTML]{E2F2FB}·  Ceuta                                & \cellcolor[HTML]{F1F1F1}                     & 12,869                                       \\
 & \cellcolor[HTML]{E2F2FB}·  Melilla                              & \cellcolor[HTML]{F1F1F1}                     & 5,116                                        \\
 & \cellcolor[HTML]{E2F2FB}·  Canary Islands                       & \cellcolor[HTML]{F1F1F1}                     & 4,501,380                                    \\
 & \cellcolor[HTML]{E2F2FB}Sweden                                  & \cellcolor[HTML]{F1F1F1}                     &                                              \\
 & \cellcolor[HTML]{E2F2FB}·  Stockholm                            & \cellcolor[HTML]{F1F1F1}                     & 5,549,767                                    \\
 & \cellcolor[HTML]{E2F2FB}·  East Middle Sweden                   & \cellcolor[HTML]{F1F1F1}                     & 33,042,627                                   \\
 & \cellcolor[HTML]{E2F2FB}·  Småland with Islands                 & \cellcolor[HTML]{F1F1F1}                     & 31,391,623                                   \\
 & \cellcolor[HTML]{E2F2FB}·  South Sweden                         & \cellcolor[HTML]{F1F1F1}                     & 9,976,906                                    \\
 & \cellcolor[HTML]{E2F2FB}·  West Sweden                          & \cellcolor[HTML]{F1F1F1}                     & 25,173,529                                   \\
 & \cellcolor[HTML]{E2F2FB}·  North Middle Sweden                  & \cellcolor[HTML]{F1F1F1}                     & 61,303,466                                   \\
 & \cellcolor[HTML]{E2F2FB}·  Central Norrland                     & \cellcolor[HTML]{F1F1F1}                     & 68,407,016                                   \\
 & \cellcolor[HTML]{E2F2FB}·  Upper Norrland                       & \cellcolor[HTML]{F1F1F1}                     & 135,383,204                                  \\
 & \cellcolor[HTML]{E2F2FB}Switzerland                             & \cellcolor[HTML]{F1F1F1}                     &                                              \\
 & \cellcolor[HTML]{E2F2FB}·  Lake Geneva Region                   & \cellcolor[HTML]{F1F1F1}                     & 5,210,425                                    \\
 & \cellcolor[HTML]{E2F2FB}·  Espace Mittelland                    & \cellcolor[HTML]{F1F1F1}                     & 7,791,274                                    \\
 & \cellcolor[HTML]{E2F2FB}·  Northwestern Switzerland             & \cellcolor[HTML]{F1F1F1}                     & 1,396,671                                    \\
 & \cellcolor[HTML]{E2F2FB}·  Zurich                               & \cellcolor[HTML]{F1F1F1}                     & 1,144,510                                    \\
 & \cellcolor[HTML]{E2F2FB}·  Eastern Switzerland                  & \cellcolor[HTML]{F1F1F1}                     & 8,666,799                                    \\
 & \cellcolor[HTML]{E2F2FB}·  Central Switzerland                  & \cellcolor[HTML]{F1F1F1}                     & 3,504,399                                    \\
 & \cellcolor[HTML]{E2F2FB}·  Ticino                               & \cellcolor[HTML]{F1F1F1}                     & 2,383,458                                    \\
 & \cellcolor[HTML]{E2F2FB}Türkiye                                 & \cellcolor[HTML]{F1F1F1}                     &                                              \\
 & \cellcolor[HTML]{E2F2FB}·  Istanbul                             & \cellcolor[HTML]{F1F1F1}                     & 3,590,285                                    \\
 & \cellcolor[HTML]{E2F2FB}·  Thrace                               & \cellcolor[HTML]{F1F1F1}                     & 7,264,921                                    \\
 & \cellcolor[HTML]{E2F2FB}·  Southern Marmara - West              & \cellcolor[HTML]{F1F1F1}                     & 18,651,750                                   \\
 & \cellcolor[HTML]{E2F2FB}·  Izmir                                & \cellcolor[HTML]{F1F1F1}                     & 9,281,680                                    \\
 & \cellcolor[HTML]{E2F2FB}·  Southern Aegean                      & \cellcolor[HTML]{F1F1F1}                     & 26,003,396                                   \\
 & \cellcolor[HTML]{E2F2FB}·  Northern Aegean                      & \cellcolor[HTML]{F1F1F1}                     & 30,165,649                                   \\
 & \cellcolor[HTML]{E2F2FB}·  Eastern Marmara - South              & \cellcolor[HTML]{F1F1F1}                     & 18,799,708                                   \\
 & \cellcolor[HTML]{E2F2FB}·  Eastern Marmara - North              & \cellcolor[HTML]{F1F1F1}                     & 16,844,796                                   \\
 & \cellcolor[HTML]{E2F2FB}·  Ankara                               & \cellcolor[HTML]{F1F1F1}                     & 12,769,037                                   \\
 & \cellcolor[HTML]{E2F2FB}·  Central Anatolia - West and South    & \cellcolor[HTML]{F1F1F1}                     & 23,558,015                                   \\
 & \cellcolor[HTML]{E2F2FB}·  Mediterranean region - West          & \cellcolor[HTML]{F1F1F1}                     & 28,718,671                                   \\
 & \cellcolor[HTML]{E2F2FB}·  Mediterranean region - Middle        & \cellcolor[HTML]{F1F1F1}                     & 22,187,185                                   \\
 & \cellcolor[HTML]{E2F2FB}·  Mediterranean region - East          & \cellcolor[HTML]{F1F1F1}                     & 16,491,378                                   \\
 & \cellcolor[HTML]{E2F2FB}·  Central Anatolia - Middle            & \cellcolor[HTML]{F1F1F1}                     & 13,492,996                                   \\
 & \cellcolor[HTML]{E2F2FB}·  Central Anatolia - East              & \cellcolor[HTML]{F1F1F1}                     & 33,645,509                                   \\
 & \cellcolor[HTML]{E2F2FB}·  Western Black Sea - West             & \cellcolor[HTML]{F1F1F1}                     & 9,446,129                                    \\
 & \cellcolor[HTML]{E2F2FB}·  Western Black Sea - Middle and East  & \cellcolor[HTML]{F1F1F1}                     & 22,768,817                                   \\
 & \cellcolor[HTML]{E2F2FB}·  Middle Black Sea                     & \cellcolor[HTML]{F1F1F1}                     & 26,209,945                                   \\
 & \cellcolor[HTML]{E2F2FB}·  Eastern Black Sea                    & \cellcolor[HTML]{F1F1F1}                     & 33,673,307                                   \\
 & \cellcolor[HTML]{E2F2FB}·  Northeastern Anatolia - West         & \cellcolor[HTML]{F1F1F1}                     & 33,160,923                                   \\
 & \cellcolor[HTML]{E2F2FB}·  Northeastern Anatolia - East         & \cellcolor[HTML]{F1F1F1}                     & 21,712,960                                   \\
 & \cellcolor[HTML]{E2F2FB}·  Eastern Anatolia - West              & \cellcolor[HTML]{F1F1F1}                     & 29,089,201                                   \\
 & \cellcolor[HTML]{E2F2FB}·  Eastern Anatolia - East              & \cellcolor[HTML]{F1F1F1}                     & 30,626,575                                   \\
 & \cellcolor[HTML]{E2F2FB}·  Southeastern Anatolia - West         & \cellcolor[HTML]{F1F1F1}                     & 8,197,496                                    \\
 & \cellcolor[HTML]{E2F2FB}·  Southeastern Anatolia - Middle       & \cellcolor[HTML]{F1F1F1}                     & 13,260,356                                   \\
 & \cellcolor[HTML]{E2F2FB}·  Southeastern Anatolia - East         & \cellcolor[HTML]{F1F1F1}                     & 18,189,337                                   \\
 & \cellcolor[HTML]{E2F2FB}United Kingdom                          & \cellcolor[HTML]{F1F1F1}                     &                                              \\
 & \cellcolor[HTML]{E2F2FB}·  North East England                   & \cellcolor[HTML]{F1F1F1}                     & 6,546,392                                    \\
 & \cellcolor[HTML]{E2F2FB}·  North West England                   & \cellcolor[HTML]{F1F1F1}                     & 11,642,488                                   \\
 & \cellcolor[HTML]{E2F2FB}·  Yorkshire and The Humber             & \cellcolor[HTML]{F1F1F1}                     & 9,093,955                                    \\
 & \cellcolor[HTML]{E2F2FB}·  East Midlands                        & \cellcolor[HTML]{F1F1F1}                     & 7,164,175                                    \\
 & \cellcolor[HTML]{E2F2FB}·  West Midlands                        & \cellcolor[HTML]{F1F1F1}                     & 8,438,236                                    \\
