"Column1","Column2","Column3","Column4","Column5","","","","","",""
"                         Covered Flat Sheet","","","23628","23628","","","","","",""
"                         Uncovered Flat Sheet","","","6440","6440","","","","","",""
"               Rnb Global Impex","","","92400","92400","","","","","",""
"                    India","","","92400","92400","","","","","",""
"                         Die Cut","","","92400","92400","","","","","",""
"               Sri Jati Shoes Pvt Ltd","","","368083.6","368083.6","","","","","",""
"                    India","","","368083.6","368083.6","","","","","",""
"                         Die Cut","","","123363.6","123363.6","","","","","",""
"                         Uncovered Flat Sheet","","","244720","244720","","","","","",""
"               Superhouse Limited, Rashid khan","","","183406.85","183406.85","","","","","",""
"                    India","","","183406.85","183406.85","","","","","",""
"                         DIECUT","","","183406.85","183406.85","","","","","",""
"               Vrd Exports","","","163669.28","163669.28","","","","","",""
"                    India","","","163669.28","163669.28","","","","","",""
"                         Die Cut","","","110861.28","110861.28","","","","","",""
"                         Uncovered Flat Sheet","","","52808","52808","","","","","",""
