"DBN","School Name","Progress Score","Progress Grade","Credit accumulation per year 0-11","Peer 0% of Range","Peer 100% of Range","Peer Percent of Range","City 0% of Range","City 100% of Range","City Percent of Range","Credit accumulation per year 11-22","Peer 0% of Range","Peer 100% of Range","Peer Percent of Range","City 0% of Range","City 100% of Range","City Percent of Range","Credit accumulation per year 22-33","Peer 0% of Range","Peer 100% of Range","Peer Percent of Range","City 0% of Range","City 100% of Range","City Percent of Range","Credit accumulation per year 33-38","Peer 0% of Range","Peer 100% of Range","Peer Percent of Range","City 0% of Range","City 100% of Range","City Percent of Range","Average change in Attendance","Peer 0% of Range","Peer 100% of Range","Peer Percent of Range","City 0% of Range","City 100% of Range","City Percent of Range","Average Completion Rate of Remaining Regents","Peer 0% of Range","Peer 100% of Range","Peer Percent of Range","City 0% of Range","City 100% of Range","City Percent of Range","Weighted Regents Pass Rate - English","Peer 0% of Range","Peer 100% of Range","Peer Percent of Range","City 0% of Range","City 100% of Range","City Percent of Range","Weighted Regents Pass Rate - Math","Peer 0% of Range","Peer 100% of Range","Peer Percent of Range","City 0% of Range","City 100% of Range","City Percent of Range","Weighted Regents Pass Rate - Science","Peer 0% of Range","Peer 100% of Range","Peer Percent of Range","City 0% of Range","City 100% of Range","City Percent of Range","Weighted Regents Pass Rate - Global History","Peer 0% of Range","Peer 100% of Range","Peer Percent of Range","City 0% of Range","City 100% of Range","City Percent of Range","Weighted Regents Pass Rate - US History","Peer 0% of Range","Peer 100% of Range","Peer Percent of Range","City 0% of Range","City 100% of Range","City Percent of Range"
"17K568","Brownsville Academy High School","47.0","A","10.59","2.02","11.78","87.8%","1.76","11.48","90.8%","9.03","2.94","12.52","63.6%","3.01","12.25","65.2%","12.39","5.58","13.86","82.2%","5.82","13.34","87.4%","10.60","5.70","13.38","63.8%","5.76","12.98","67.0%","4.0%","-10.9%","8.7%","76.0%","-11.7%","9.9%","72.7%","52.2%","4.5%","43.9%","100.0%","1.4%","43.0%","100.0%","1.85","0.45","1.99","90.9%","0.41","1.91","96.0%","3.23","0.23","2.13","100.0%","0.08","2.26","100.0%","2.71","0.59","2.47","100.0%","0.47","2.55","100.0%","2.62","0.27","2.39","100.0%","0.20","2.48","100.0%","2.12","0.55","1.83","100.0%","0.49","1.89","100.0%"
"18K578","Brooklyn Bridge Academy","37.9","A","6.56","1.75","9.95","58.7%","1.76","11.48","49.4%","10.77","3.40","11.10","95.7%","3.01","12.25","84.0%","12.28","6.41","12.61","94.7%","5.82","13.34","85.9%","9.43","6.78","11.60","55.0%","5.76","12.98","50.8%","-1.7%","-12.5%","10.5%","47.0%","-11.7%","9.9%","46.3%","22.4%","2.8%","34.0%","62.8%","1.4%","43.0%","50.5%","1.4","0.46","1.64","79.7%","0.41","1.91","66.0%","2.04","0.00","2.24","91.1%","0.08","2.26","89.9%","2.28","0.36","2.74","80.7%","0.47","2.55","87.0%","1.56","0.21","2.53","58.2%","0.20","2.48","59.6%","1.46","0.41","1.93","69.1%","0.49","1.89","69.3%"
"18K635","Olympus Academy","23.1","D","4.64","1.77","10.31","33.6%","1.76","11.48","29.6%","6.57","3.24","11.42","40.7%","3.01","12.25","38.5%","6.78","6.43","12.95","5.4%","5.82","13.34","12.8%",".","6.74","11.94",".","5.76","12.98",".","-5.8%","-11.9%","10.5%","27.2%","-11.7%","9.9%","27.3%","14.8%","2.4%","35.6%","37.3%","1.4%","43.0%","32.2%","1","0.46","1.66","45.0%","0.41","1.91","39.3%","0.91","0.01","2.25","40.2%","0.08","2.26","38.1%","2.15","0.42","2.62","78.6%","0.47","2.55","80.8%","2.33","0.18","2.50","92.7%","0.20","2.48","93.4%","1.46","0.44","1.92","68.9%","0.49","1.89","69.3%"
"18K673","EAST BROOKLYN COMMUNITY HIGH SCHOOL","30.3","C","5.32","1.62","10.96","39.6%","1.76","11.48","36.6%","7.81","2.96","11.82","54.7%","3.01","12.25","51.9%","9.05","5.75","13.39","43.2%","5.82","13.34","43.0%",".","5.80","12.58",".","5.76","12.98",".","-0.6%","-11.6%","9.8%","51.4%","-11.7%","9.9%","51.4%","22.3%","3.6%","37.2%","55.7%","1.4%","43.0%","50.2%","1","0.39","1.81","43.0%","0.41","1.91","39.3%","1.49","0.10","2.14","68.1%","0.08","2.26","64.7%","2.18","0.49","2.49","84.5%","0.47","2.55","82.2%","1.80","0.24","2.44","70.9%","0.20","2.48","70.2%","1.43","0.48","1.84","69.9%","0.49","1.89","67.1%"
"21K728","Liberation Diploma Plus","30.2","C","8.14","2.18","11.64","63.0%","1.76","11.48","65.6%","9.33","2.98","12.36","67.7%","3.01","12.25","68.4%","11.02","5.47","13.71","67.4%","5.82","13.34","69.1%","10.54","5.50","13.34","64.3%","5.76","12.98","66.2%","-2.9%","-10.7%","8.9%","39.8%","-11.7%","9.9%","40.7%","29.2%","4.3%","44.3%","62.3%","1.4%","43.0%","66.8%","1.15","0.43","1.99","46.2%","0.41","1.91","49.3%","1.02","0.17","2.15","42.9%","0.08","2.26","43.1%","1.32","0.55","2.45","40.5%","0.47","2.55","40.9%","1.98","0.22","2.38","81.5%","0.20","2.48","78.1%","1.10","0.55","1.83","43.0%","0.49","1.89","43.6%"
"23K643","Brooklyn Democracy Academy","33.8","B","4.43","1.65","9.65","34.8%","1.76","11.48","27.5%","9.14","3.63","10.77","77.2%","3.01","12.25","66.3%","10.78","6.33","12.43","73.0%","5.82","13.34","66.0%","10.17","6.71","11.67","69.8%","5.76","12.98","61.1%","-0.8%","-13.6%","10.0%","54.2%","-11.7%","9.9%","50.5%","26.2%","1.2%","33.8%","76.7%","1.4%","43.0%","59.6%","1.29","0.44","1.64","70.8%","0.41","1.91","58.7%","0.72","0.00","2.28","31.6%","0.08","2.26","29.4%","1.81","0.35","2.69","62.4%","0.47","2.55","64.4%","1.51","0.20","2.54","56.0%","0.20","2.48","57.5%","1.99","0.41","1.95","100.0%","0.49","1.89","100.0%"
"23K646","Aspirations Diploma Plus High School","21.1","D","3.91","1.70","10.34","25.6%","1.76","11.48","22.1%","6.98","3.16","11.48","45.9%","3.01","12.25","43.0%","9.72","6.40","12.98","50.5%","5.82","13.34","51.9%","10.13","6.67","11.95","65.5%","5.76","12.98","60.5%","-6.8%","-12.1%","10.5%","23.5%","-11.7%","9.9%","22.7%","15.1%","3.2%","34.2%","38.4%","1.4%","43.0%","32.9%","0.41","0.49","1.63","0.0%","0.41","1.91","0.0%","1.89","0.03","2.21","85.3%","0.08","2.26","83.0%","1.56","0.42","2.64","51.4%","0.47","2.55","52.4%","0.87","0.19","2.45","30.1%","0.20","2.48","29.4%","1.12","0.44","1.88","47.2%","0.49","1.89","45.0%"
"23K647","Metropolitan Diploma Plus High School","38.4","A","7.11","1.80","11.66","53.9%","1.76","11.48","55.0%","10.06","2.80","12.42","75.5%","3.01","12.25","76.3%","11.93","5.54","13.70","78.3%","5.82","13.34","81.3%","11.08","5.59","13.17","72.4%","5.76","12.98","73.7%","-0.8%","-11.3%","8.7%","52.5%","-11.7%","9.9%","50.5%","33.8%","3.4%","41.8%","79.2%","1.4%","43.0%","77.9%","1.33","0.40","1.96","59.6%","0.41","1.91","61.3%","1.52","0.20","2.10","69.5%","0.08","2.26","66.1%","2.24","0.51","2.47","88.3%","0.47","2.55","85.1%","2.35","0.27","2.39","98.1%","0.20","2.48","94.3%","1.49","0.51","1.85","73.1%","0.49","1.89","71.4%"
"24Q744","VOYAGES Preparatory","42.0","A","8.76","2.17","11.43","71.2%","1.76","11.48","72.0%","10.83","2.99","12.37","83.6%","3.01","12.25","84.6%","11.04","5.97","13.57","66.7%","5.82","13.34","69.4%","11.45","5.73","13.23","76.3%","5.76","12.98","78.8%","8.7%","-10.4%","8.2%","100.0%","-11.7%","9.9%","94.4%","25.3%","2.9%","42.3%","56.9%","1.4%","43.0%","57.5%","1.23","0.38","1.92","55.2%","0.41","1.91","54.7%","2.14","0.19","2.03","100.0%","0.08","2.26","94.5%","1.50","0.51","2.43","51.6%","0.47","2.55","49.5%","1.67","0.25","2.39","66.4%","0.20","2.48","64.5%","1.44","0.50","1.84","70.1%","0.49","1.89","67.9%"
"25Q540","Queens Academy High School","33.3","B",".","2.17","11.73",".","1.76","11.48",".","9.27","2.92","12.42","66.8%","3.01","12.25","67.7%","11.34","5.43","13.77","70.9%","5.82","13.34","73.4%","9.53","5.44","13.34","51.8%","5.76","12.98","52.2%","-4.8%","-10.7%","9.1%","29.8%","-11.7%","9.9%","31.9%","38.2%","4.5%","44.5%","84.3%","1.4%","43.0%","88.5%","1.44","0.44","2.00","64.1%","0.41","1.91","68.7%","2.36","0.17","2.15","100.0%","0.08","2.26","100.0%","2.26","0.53","2.45","90.1%","0.47","2.55","86.1%","1.12","0.21","2.39","41.7%","0.20","2.48","40.4%","1.13","0.55","1.83","45.3%","0.49","1.89","45.7%"
"25Q792","North Queens Community High School","28.6","C","5.01","1.78","10.00","39.3%","1.76","11.48","33.4%","8.07","3.44","11.14","60.1%","3.01","12.25","54.8%","9.54","6.42","12.76","49.2%","5.82","13.34","49.5%","9.53","6.75","11.79","55.2%","5.76","12.98","52.2%","-0.7%","-12.6%","10.6%","51.3%","-11.7%","9.9%","50.9%","17.5%","2.7%","34.1%","47.1%","1.4%","43.0%","38.7%","0.97","0.46","1.64","43.2%","0.41","1.91","37.3%","1.42","0.00","2.24","63.4%","0.08","2.26","61.5%","1.73","0.36","2.72","58.1%","0.47","2.55","60.6%","1.67","0.18","2.52","63.7%","0.20","2.48","64.5%","1.26","0.41","1.93","55.9%","0.49","1.89","55.0%"
"28Q338","Queens Satellite High School for Opportunity","24.4","D","5.44","1.82","10.86","40.0%","1.76","11.48","37.9%","7.03","2.99","11.87","45.5%","3.01","12.25","43.5%","9.71","5.89","13.39","50.9%","5.82","13.34","51.7%","9.03","5.81","12.69","46.8%","5.76","12.98","45.3%","-0.3%","-11.2%","9.8%","51.9%","-11.7%","9.9%","52.8%",".","3.6%","36.6%",".","1.4%","43.0%",".","0.79","0.38","1.80","28.9%","0.41","1.91","25.3%",".","0.08","2.14",".","0.08","2.26",".",".","0.53","2.47",".","0.47","2.55",".",".","0.21","2.43",".","0.20","2.48",".",".","0.47","1.83",".","0.49","1.89","."
"31R470","Concord High School","40.1","A","8.56","1.62","9.94","83.4%","1.76","11.48","70.0%","8.52","3.31","11.11","66.8%","3.01","12.25","59.6%","10.48","6.36","12.48","67.3%","5.82","13.34","62.0%","9.61","6.78","11.60","58.7%","5.76","12.98","53.3%","-0.9%","-12.9%","10.5%","51.3%","-11.7%","9.9%","50.0%","37.8%","2.4%","33.6%","100.0%","1.4%","43.0%","87.5%","1.44","0.44","1.66","82.0%","0.41","1.91","68.7%","2.85","0.00","2.28","100.0%","0.08","2.26","100.0%","2.35","0.35","2.77","82.6%","0.47","2.55","90.4%","2.24","0.21","2.57","86.0%","0.20","2.48","89.5%","1.78","0.45","1.95","88.7%","0.49","1.89","92.1%"
"32K564","Bushwick Community High School","29.7","C","5.12","1.55","9.73","43.6%","1.76","11.48","34.6%","6.90","3.12","11.12","47.3%","3.01","12.25","42.1%","8.21","6.35","12.41","30.7%","5.82","13.34","31.8%","10.37","6.71","11.63","74.4%","5.76","12.98","63.9%","1.1%","-13.5%","10.1%","61.9%","-11.7%","9.9%","59.3%","12.9%","1.5%","33.7%","35.4%","1.4%","43.0%","27.6%","1.17","0.43","1.63","61.7%","0.41","1.91","50.7%","2.20","0.00","2.30","95.7%","0.08","2.26","97.2%","1.76","0.37","2.67","60.4%","0.47","2.55","62.0%","1.53","0.17","2.53","57.6%","0.20","2.48","58.3%","1.18","0.42","1.94","50.0%","0.49","1.89","49.3%"
"84M707","John V. Lindsay Wildcat Academy Charter School","33.9","B","5.21","1.75","9.85","42.7%","1.76","11.48","35.5%","8.34","3.60","10.98","64.2%","3.01","12.25","57.7%","10.04","6.32","12.64","58.9%","5.82","13.34","56.1%","11.67","6.52","11.70","99.4%","5.76","12.98","81.9%","-3.9%","-13.7%","10.7%","40.2%","-11.7%","9.9%","36.1%","8.8%","0.5%","34.9%","24.1%","1.4%","43.0%","17.8%","1.37","0.44","1.66","76.2%","0.41","1.91","64.0%","2.15","0.00","2.34","91.9%","0.08","2.26","95.0%","2.89","0.32","2.72","100.0%","0.47","2.55","100.0%","2.83","0.17","2.59","100.0%","0.20","2.48","100.0%","1.86","0.40","1.98","92.4%","0.49","1.89","97.9%"
