"BIG TOOL TRAILER INVENTORY","","","","","","","","","",""
"Tool Trailer # ________________________","","","","","","Job #: ___________________________","","","",""
"Inv. By: _____________________________","","","","","","Date: ____________________________","","","",""
"","","","","","","","","","",""
"1/2 INCH DRIVE SOCKETS","","","","","","","","","",""
"UP","Stock","Location","Total Price","Description","","UP","Stock","Location","Total Price ","Description"
"","","4"," """"$""* ""-""??"" ","Coffee Cups (case)","","","","4"," """"$""* ""-""??"" ","Stir Sticks (box)"
"","","1"," """"$""* ""-""??"" ","Sugar (case)","","","","1"," """"$""* ""-""??"" ","Hot Chocolate (box)"
"","","2"," """"$""* ""-""??"" ","Splenda (box)","","$2.84","40","2"," """"$""* #,##0.00"" ","1"" pull straps for scaf bag"
"$3.52","12","3"," """"$""* #,##0.00"" ","liquid soap","","$4.87","72","3"," """"$""* #,##0.00"" ","Leather Gloves"
"$103.50","6","4"," """"$""* #,##0.00"" ","Blue Tarps (18)","","$255.00","2","4"," """"$""* #,##0.00"" ","Green Suits XXL"
"$255.00","1","1"," """"$""* #,##0.00"" ","Green Suits XL","","$129.00","","1"," """"$""* ""-""??"" ","Scaf Bag Covers (100/roll)"
"$255.00","2","2"," """"$""* #,##0.00"" ","Green Suits XXXL","","","6 BX.","2","","AAA Batteries"
"$65.00","1","3"," """"$""* #,##0.00"" ","Drip Protectors (10/rl)","","","6 BX.","3","","AA Batteries"
"","","","","","","","2","1","","Stapler"
"","","","","","","","3 BX","2","","Stapler Staples"
"","","","","","","","4","3","","Ethernet Cords"
"","","","","","","","10","4","","120 volt Power Adaptors"
"","","","","","","","3","1","","Big GB Thumb Drives"
"","","","","","","","ALL","","","RED SUITS FROM KENNECOTT "
"","TOTAL SIDE","",""," """"$""* #,##0.00"" ","","","TOTAL SIDE","",""," """"$""* #,##0.00"" "
"","","","","","","","","","",""
"","","","GRAND TOTAL","24034.56","","","","","","Updated 11/14/16"
"","","","","","","","","","",""
