"","","","","","","","","","","","","","",""
"","","Hour","SO2 (lbs/MWh)","","","","NOx (lbs/MWh)","","","","CO2 (lbs/MWh)","","",""
"","","8","0.28","0.38","0.51","0.06","0.84","1.01","1.22","0.10","775","855","950","49.1"
"","","9","0.28","0.37","0.51","0.05","0.82","0.98","1.18","0.08","767","837","916","41.7"
"","","10","0.29","0.36","0.43","0.04","0.83","0.96","1.07","0.06","748","822","905","38.3"
"","","11","0.28","0.35","0.42","0.04","0.80","0.95","1.05","0.07","731","812","893","39.5"
"","","12","0.30","0.36","0.43","0.03","0.82","0.96","1.06","0.07","731","815","900","42.0"
"","","13","0.32","0.38","0.47","0.03","0.84","0.97","1.10","0.07","734","820","910","41.6"
"","","14","0.34","0.39","0.49","0.04","0.85","0.99","1.13","0.07","734","827","921","43.4"
"","","15","0.33","0.40","0.50","0.04","0.85","0.99","1.14","0.07","737","830","912","43.0"
"","","16","0.33","0.40","0.51","0.04","0.87","1.00","1.15","0.07","746","839","925","43.1"
"","","17","0.25","0.36","0.45","0.04","0.78","0.97","1.09","0.07","757","833","916","41.3"
"","","18","0.19","0.30","0.38","0.04","0.69","0.86","0.98","0.06","685","758","836","37.7"
"","","19","0.23","0.29","0.38","0.03","0.70","0.82","0.92","0.06","649","722","803","36.9"
"","","20","0.26","0.31","0.38","0.03","0.74","0.84","0.93","0.05","657","736","811","36.6"
"","","21","0.27","0.33","0.39","0.03","0.79","0.88","0.96","0.04","680","757","837","36.1"
"","","22","0.30","0.37","0.46","0.03","0.84","0.94","1.05","0.04","717","796","880","36.3"
"","","23","0.32","0.41","0.51","0.04","0.92","1.01","1.11","0.05","769","836","917","34.9"
"","","24","0.31","0.43","0.56","0.06","0.96","1.06","1.20","0.06","784","858","937","36.6"
"","Annual Average","","0.15","0.40","0.89","0.12","0.62","1.00","1.55","0.17","595","814","1,095","89.6"
