"","Annual government non-financial accounts and key indicators (for 'Developer API')","","","","","","","","","","","","","","","","",""
"","·  Balance of primary incomes, net / National income, net","","43,643.00","","","35,806.00","","","40,256.00","","","46,838.00","","","47,776.00","","",""
"","Secondary distribution of income account","","","","","","","","","","","","","","","","",""
"","·  Current taxes on income, wealth, etc.","","","23,545.00","577.00","","22,538.00","472.00","","23,075.00","526.00","","24,169.00","571.00","","25,719.00","617.00",""
"","·  ·  Taxes on income","","","16,842.00","","","16,546.00","","","16,807.00","","","17,895.00","","","19,241.00","",""
"","·  ·  Other current taxes","","","6,703.00","","","5,992.00","","","6,268.00","","","6,275.00","","","6,478.00","",""
"","·  Taxes on income","","","16,842.00","","","16,546.00","","","16,807.00","","","17,895.00","","","19,241.00","",""
"","·  ·  Taxes on individual or household income including holding gains","","","16,842.00","","","16,546.00","","","16,807.00","","","17,894.00","","","19,241.00","",""
"","·  ·  Taxes on the income or profits of corporations including holding gains","","","0.00","","","0.00","","","0.00","","","1.00","","","0.00","",""
"","·  Other current taxes","","","6,703.00","","","5,992.00","","","6,268.00","","","6,275.00","","","6,478.00","",""
"","·  Net social contributions","","","1,292.00","","","1,275.00","","","1,405.00","","","1,264.00","","","1,224.00","",""
"","·  Actual social contributions from employers and households","","","","","","","","","","","","","","","","",""
"","·  ·  Households' actual social contributions","","","31.00","","","54.00","","","52.00","","","50.00","","","50.00","",""
"","·  Other current transfers, Total economy","","","","","","","","","","","","","","","","",""
"","·  ·  Other current transfers, General government","","","","","","","","","","","","","","","","",""
"","·  ·  ·  Other current transfers, Central government","","","","   7,670.00","","","   5,629.00","","","   7,765.00","","","   7,202.00","","","   7,441.00",""
"","·  ·  ·  Other current transfers, Social security funds","","","","   5.00","","","   25.00","","","   6.00","","","   6.00","","","   6.00",""
"","·  Other current transfers","","","   132,023.00","   14,029.00","","   145,726.00","   12,967.00","","   148,899.00","   15,190.00","","   146,956.00","   15,460.00","","   156,795.00","   15,971.00",""
"","·  ·  Net non-life insurance premiums","","","","   480.00","","","   454.00","","","   486.00","","","   487.00","","","   468.00",""
"","·  ·  Non-life insurance claims","","","   113.00","","","   96.00","","","   107.00","","","   94.00","","","   84.00","",""
"","·  ·  Current transfers within general government","","","   126,152.00","   7,675.00","","   139,517.00","   5,654.00","","   143,215.00","   7,771.00","","   140,439.00","   7,208.00","","   149,895.00","   7,447.00",""
"","·  ·  Current international cooperation","","","   929.00","   87.00","","   1,734.00","   78.00","","   1,250.00","   74.00","","   1,035.00","   84.00","","   1,340.00","   95.00",""
"","·  ·  Miscellaneous current transfers","","","   4,829.00","   5,787.00","","   4,379.00","   6,781.00","","   4,327.00","   6,859.00","","   5,388.00","   7,681.00","","   5,476.00","   7,961.00",""
"","·  ·  Value Added Tax and gross national income - based EU own resources","","","   0.00","   0.00","","   0.00","   0.00","","   0.00","   0.00","","   0.00","   0.00","","   0.00","   0.00",""
"","·  Social benefits other than social transfers in kind and social transfers in kind, purchased market production","","","","47,819.00","","","48,748.00","","","49,969.00","","","50,246.00","","","50,553.00",""
"","·  ·  Social benefits other than social transfers in kind","","","","4,272.00","","","4,722.00","","","4,784.00","","","4,601.00","","","4,625.00",""
"","·  ·  Social transfers in kind - purchased market production","","","","43,547.00","","","44,026.00","","","45,185.00","","","45,645.00","","","45,928.00",""
"","·  Disposable income, net","","181,625.00","","","187,184.00","","","193,135.00","","","198,595.00","","","210,301.00","","",""
"","Use of disposable income account","","","","","","","","","","","","","","","","",""
"","·  Final consumption expenditure","","","","188,864.00","","","197,645.00","","","206,966.00","","","214,158.00","","","217,008.00",""
"","·  ·  Individual consumption expenditure","","","","132,051.00","","","138,476.00","","","146,481.00","","","150,480.00","","","152,070.00",""
"","·  ·  Collective consumption expenditure","","","","56,813.00","","","59,169.00","","","60,485.00","","","63,678.00","","","64,938.00",""
"","·  Adjustment for the change in pension entitlements","","","","0.00","","","0.00","","","0.00","","","0.00","","","0.00",""
"","·  Saving, gross","","21,825.00","","","18,888.00","","","16,926.00","","","17,260.00","","","26,788.00","","",""
"","·  ·  Saving, net","","-7,239.00","","","-10,461.00","","","-13,831.00","","","-15,563.00","","","-6,707.00","","",""
"","Capital account","","","","","","","","","","","","","","","","",""
"","·  Consumption of fixed capital","","","","29,064.00","","","29,349.00","","","30,757.00","","","32,823.00","","","33,495.00",""
"","·  Capital transfers, Total economy","","","","","","","","","","","","","","","","",""
"","·  ·  Capital transfers, General government","","","","","","","","","","","","","","","","",""
"","·  ·  ·  Capital transfers, Central government","","","","   636.00","","","   643.00","","","   1,045.00","","","   594.00","","","   589.00",""
"","·  ·  ·  Capital transfers, Social security funds","","","","   0.00","","","   0.00","","","   0.00","","","   0.00","","","   0.00",""
"","·  Capital transfers","","","   7,786.00","   4,754.00","","   10,433.00","   6,121.00","","   12,842.00","   5,927.00","","   15,808.00","   5,262.00","","   18,937.00","   6,314.00",""
"","·  ·  Capital taxes","","","   91.00","","","   54.00","","","   76.00","","","   75.00","","","   73.00","",""
"","·  ·  Other capital transfers and investment grants","","","   7,695.00","","","   10,379.00","","","   12,766.00","","","   15,733.00","","","   18,864.00","",""
"","·  ·  ·  Investment grants","","","   6,649.00","   4,228.00","","   9,134.00","   5,102.00","","   11,583.00","   5,132.00","","   14,609.00","   4,597.00","","   17,633.00","   5,879.00",""
"","·  ·  ·  Other capital transfers","","","   1,046.00","   526.00","","   1,245.00","   1,019.00","","   1,183.00","   795.00","","   1,124.00","   665.00","","   1,231.00","   435.00",""
"","·  Gross capital formation and acquisitions less disposals of non-produced assets","","","","23,024.00","","","25,429.00","","","27,873.00","","","29,734.00","","","35,836.00",""
"","·  ·  Gross capital formation","","","","22,588.00","","","24,814.00","","","27,076.00","","","28,819.00","","","34,703.00",""
"","·  ·  ·  Gross fixed capital formation","","","","22,494.00","","","24,064.00","","","26,776.00","","","28,778.00","","","34,588.00",""
"","·  ·  ·  Changes in inventories and acquisitions less disposals of valuables","","","","94.00","","","750.00","","","300.00","","","41.00","","","115.00",""
"","·  ·  Acquisitions less disposals of non-financial non-produced assets","","","","436.00","","","615.00","","","797.00","","","915.00","","","1,133.00",""
"","·  ·  Consumption of fixed capital, capital account","","","29,064.00","","","29,349.00","","","30,757.00","","","32,823.00","","","33,495.00","",""
"","·  Net lending (+) / net borrowing (-)","","1,833.00","","","-2,229.00","","","-4,032.00","","","-1,928.00","","","3,575.00","","",""
"","·  ·  Total government expenditure","","","","   248,647.00","","","   256,563.00","","","   271,521.00","","","   279,676.00","","","   291,596.00",""
"","·  ·  Total government revenue","","","   250,480.00","","","   254,334.00","","","   267,489.00","","","   277,748.00","","","   295,171.00","",""
"","Institutional sector: Social security funds","","","","","","","","","","","","","","","","",""
"","Production account","","","","","","","","","","","","","","","","",""
"","·  Output","","","5,915.00","","","6,018.00","","","6,039.00","","","6,560.00","","","6,955.00","",""
"","·  ·  Market output and output for own final use","","","424.00","","","415.00","","","397.00","","","366.00","","","371.00","",""
"","·  ·  ·  Market output","","","269.00","","","250.00","","","241.00","","","217.00","","","224.00","",""
"","·  ·  ·  Output for own final use","","","155.00","","","165.00","","","156.00","","","149.00","","","147.00","",""
"","·  ·  Non-market output","","","5,491.00","","","5,603.00","","","5,642.00","","","6,194.00","","","6,584.00","",""
"","·  ·  ·  Payments for other non-market output","","","119.00","","","106.00","","","124.00","","","115.00","","","118.00","",""
"","·  ·  ·  Other non-market output, n.e.c.","","","5,372.00","","","5,497.00","","","5,518.00","","","6,079.00","","","6,466.00","",""
"","·  ·  Market output, output for own final use and payments for other non-market output","","","543.00","","","521.00","","","521.00","","","481.00","","","489.00","",""
"","·  Intermediate consumption","","","","1,884.00","","","1,991.00","","","2,053.00","","","2,461.00","","","2,670.00",""
"","·  Value added, gross","","4,031.00","","","4,027.00","","","3,986.00","","","4,099.00","","","4,285.00","","",""
"","·  ·  Consumption of fixed capital","","","","970.00","","","965.00","","","994.00","","","1,030.00","","","1,048.00",""
"","·  Value added, net","","3,061.00","","","3,062.00","","","2,992.00","","","3,069.00","","","3,237.00","","",""
"","Generation of income account","","","","","","","","","","","","","","","","",""
"","·  Compensation of employees","","","","2,901.00","","","2,902.00","","","2,837.00","","","2,910.00","","","3,069.00",""
"","·  ·  Wages and salaries","","","","1,887.00","","","1,888.00","","","1,829.00","","","1,867.00","","","1,974.00",""
"","·  ·  Employers' social contributions","","","","1,014.00","","","1,014.00","","","1,008.00","","","1,043.00","","","1,095.00",""
"","·  Other taxes on production","","","","160.00","","","160.00","","","155.00","","","159.00","","","168.00",""
"","·  Other subsidies on production","","","0.00","1,312.00","","0.00","1,477.00","","0.00","2,678.00","","0.00","3,649.00","","0.00","5,453.00",""
"","·  Operating surplus, net","","0.00","","","0.00","","","0.00","","","0.00","","","0.00","","",""
"","Allocation of primary income account","","","","","","","","","","","","","","","","",""
"","·  Taxes on production and imports","","","","","","","","","","","","","","","","",""
"","·  ·  Other taxes on production","","","","160.00","","","160.00","","","155.00","","","159.00","","","168.00",""
"","·  Subsidies on production and imports","","","","1,312.00","","","1,477.00","","","2,678.00","","","3,649.00","","","5,453.00",""
"","·  ·  Subsidies on products","","","","0.00","","","0.00","","","0.00","","","0.00","","","0.00",""
"","·  ·  Other subsidies on production","","","0.00","1,312.00","","0.00","1,477.00","","0.00","2,678.00","","0.00","3,649.00","","0.00","5,453.00",""
"","·  Property income, Total economy","","","","","","","","","","","","","","","","",""
"","·  ·  Property income, General government","","","","","","","","","","","","","","","","",""
"","·  ·  ·  Property income, Central government","","","","   0.00","","","   0.00","","","   0.00","","","   0.00","","","   0.00",""
"","·  ·  ·  Property income, Local government","","","","   0.00","","","   0.00","","","   0.00","","","   0.00","","","   0.00",""
"","·  Property income","","","   1,785.00","   17.00","","   1,494.00","   35.00","","   1,685.00","   14.00","","   2,139.00","   21.00","","   2,021.00","   23.00",""
"","·  ·  Interest","","","   1,047.00","   17.00","","   841.00","   35.00","","   856.00","   14.00","","   1,094.00","   21.00","","   894.00","   23.00",""
"","·  ·  ·  Interest before FISIM allocation","","","   1,033.00","   19.00","","   835.00","   37.00","","   847.00","   15.00","","   1,071.00","   22.00","","   873.00","   24.00",""
"","·  ·  Distributed income of corporations","","","   128.00","","","   110.00","","","   129.00","","","   169.00","","","   182.00","",""
"","·  ·  Reinvested earnings on FDI (excluding IF)","","","   0.00","","","   0.00","","","   0.00","","","   0.00","","","   0.00","",""
"","·  ·  Other investment income","","","   610.00","","","   543.00","","","   700.00","","","   876.00","","","   945.00","",""
"","·  ·  Rent","","","   0.00","   0.00","","   0.00","   0.00","","   0.00","   0.00","","   0.00","   0.00","","   0.00","   0.00",""
"","·  ·  Property income other than interest","","","   738.00","   0.00","","   653.00","   0.00","","   829.00","   0.00","","   1,045.00","   0.00","","   1,127.00","   0.00",""
"","·  Balance of primary incomes, net / National income, net","","456.00","","","-18.00","","","-1,007.00","","","-1,531.00","","","-3,455.00","","",""
"","Secondary distribution of income account","","","","","","","","","","","","","","","","",""
"","·  Current taxes on income, wealth, etc.","","","","576.00","","","630.00","","","783.00","","","653.00","","","552.00",""
"","·  Net social contributions","","","238,248.00","","","226,495.00","","","243,365.00","","","256,476.00","","","265,710.00","",""
"","·  ·  Actual social contributions from employers and households","","","237,705.00","","","225,953.00","","","242,814.00","","","255,900.00","","","265,109.00","",""
"","·  Actual social contributions from employers and households","","","237,705.00","","","225,953.00","","","242,814.00","","","255,900.00","","","265,109.00","",""
"","·  ·  Employers' actual social contributions","","","158,442.00","","","150,246.00","","","162,110.00","","","170,790.00","","","179,106.00","",""
"","·  ·  Households' actual social contributions","","","79,263.00","","","75,707.00","","","80,704.00","","","85,110.00","","","86,003.00","",""
"","·  Other current transfers, Total economy","","","","","","","","","","","","","","","","",""
"","·  ·  Other current transfers, General government","","","","","","","","","","","","","","","","",""
"","·  ·  ·  Other current transfers, Central government","","","","   3,845.00","","","   4,959.00","","","   3,788.00","","","   2,740.00","","","   2,958.00",""
"","·  ·  ·  Other current transfers, Local government","","","","   23.00","","","   27.00","","","   27.00","","","   22.00","","","   2.00",""
"","·  Other current transfers","","","   116,758.00","   4,785.00","","   162,121.00","   5,895.00","","   146,307.00","   4,715.00","","   147,391.00","   3,528.00","","   163,288.00","   3,851.00",""
"","·  ·  Net non-life insurance premiums","","","","   11.00","","","   9.00","","","   11.00","","","   11.00","","","   13.00",""
"","·  ·  Non-life insurance claims","","","   0.00","","","   0.00","","","   0.00","","","   0.00","","","   0.00","",""
"","·  ·  Current transfers within general government","","","   115,120.00","   3,868.00","","   161,109.00","   4,986.00","","   145,243.00","   3,815.00","","   145,730.00","   2,762.00","","   161,919.00","   2,960.00",""
"","·  ·  Current international cooperation","","","   10.00","   0.00","","   7.00","   0.00","","   142.00","   0.00","","   32.00","   0.00","","   0.00","   0.00",""
"","·  ·  Miscellaneous current transfers","","","   1,628.00","   906.00","","   1,005.00","   900.00","","   922.00","   889.00","","   1,629.00","   755.00","","   1,369.00","   878.00",""
"","·  ·  Value Added Tax and gross national income - based EU own resources","","","   0.00","   0.00","","   0.00","   0.00","","   0.00","   0.00","","   0.00","   0.00","","   0.00","   0.00",""
"","·  Social benefits other than social transfers in kind and social transfers in kind, purchased market production","","","","341,933.00","","","375,082.00","","","372,572.00","","","391,972.00","","","410,044.00",""
"","·  ·  Social benefits other than social transfers in kind","","","","341,839.00","","","374,992.00","","","372,472.00","","","391,861.00","","","409,925.00",""
"","·  ·  Social transfers in kind - purchased market production","","","","94.00","","","90.00","","","100.00","","","111.00","","","119.00",""
"","·  Disposable income, net","","8,262.00","","","7,081.00","","","10,695.00","","","6,294.00","","","11,215.00","","",""
"","Use of disposable income account","","","","","","","","","","","","","","","","",""
"","·  Final consumption expenditure","","","","5,466.00","","","5,587.00","","","5,618.00","","","6,190.00","","","6,585.00",""
"","·  ·  Individual consumption expenditure","","","","5,359.00","","","5,485.00","","","5,508.00","","","6,062.00","","","6,456.00",""
"","·  ·  Collective consumption expenditure","","","","107.00","","","102.00","","","110.00","","","128.00","","","129.00",""
"","·  Adjustment for the change in pension entitlements","","","","0.00","","","0.00","","","0.00","","","0.00","","","0.00",""
"","·  Saving, gross","","3,766.00","","","2,459.00","","","6,071.00","","","1,134.00","","","5,678.00","","",""
"","·  ·  Saving, net","","2,796.00","","","1,494.00","","","5,077.00","","","104.00","","","4,630.00","","",""
"","Capital account","","","","","","","","","","","","","","","","",""
"","·  Consumption of fixed capital","","","","970.00","","","965.00","","","994.00","","","1,030.00","","","1,048.00",""
"","·  Capital transfers, Total economy","","","","","","","","","","","","","","","","",""
"","·  ·  Capital transfers, General government","","","","","","","","","","","","","","","","",""
"","·  ·  ·  Capital transfers, Central government","","","","   0.00","","","   0.00","","","   0.00","","","   0.00","","","   0.00",""
"","·  ·  ·  Capital transfers, Local government","","","","   0.00","","","   0.00","","","   0.00","","","   0.00","","","   0.00",""
"","·  Capital transfers","","","   0.00","   10.00","","   0.00","   1.00","","   0.00","   9.00","","   0.00","   5.00","","   0.00","   5.00",""
"","·  ·  Other capital transfers and investment grants","","","   0.00","","","   0.00","","","   0.00","","","   0.00","","","   0.00","",""
"","·  ·  ·  Investment grants","","","   0.00","   0.00","","   0.00","   0.00","","   0.00","   0.00","","   0.00","   0.00","","   0.00","   0.00",""
"","·  ·  ·  Other capital transfers","","","   0.00","   10.00","","   0.00","   1.00","","   0.00","   9.00","","   0.00","   5.00","","   0.00","   5.00",""
"","·  Gross capital formation and acquisitions less disposals of non-produced assets","","","","339.00","","","276.00","","","111.00","","","-391.00","","","619.00",""
"","·  ·  Gross capital formation","","","","324.00","","","272.00","","","104.00","","","-401.00","","","606.00",""
"","·  ·  ·  Gross fixed capital formation","","","","324.00","","","272.00","","","104.00","","","-401.00","","","606.00",""
"","·  ·  ·  Changes in inventories and acquisitions less disposals of valuables","","","","0.00","","","0.00","","","0.00","","","0.00","","","0.00",""
"","·  ·  Acquisitions less disposals of non-financial non-produced assets","","","","15.00","","","4.00","","","7.00","","","10.00","","","13.00",""
"","·  ·  Consumption of fixed capital, capital account","","","970.00","","","965.00","","","994.00","","","1,030.00","","","1,048.00","",""
"","·  Net lending (+) / net borrowing (-)","","3,417.00","","","2,182.00","","","5,951.00","","","1,520.00","","","5,054.00","","",""
"","·  ·  Total government expenditure","","","","   353,917.00","","","   388,449.00","","","   385,927.00","","","   404,967.00","","","   426,454.00",""
"","·  ·  Total government revenue","","","   357,334.00","","","   390,631.00","","","   391,878.00","","","   406,487.00","","","   431,508.00","",""
"","","","","","","","","","","","","","","","","","",""
"","© Terms & conditions ","","","","","","","","","","","","","","","","","Annual government non-financial accounts and key indicators (for 'Developer API')"
