"D E S C R I P T I O N","QTY.","FREE","RATE","AMOUNT"
"ISAC 20MG TAB      10TAB","1","  -","95.21","95.21"
"ME-12 OD TAB       10TAB","3","  -","51.62","154.87"
"                     TOTAL :","34","0","","633.91"
"","","","",""
"VIPAN MEDICOS MOGA MOGA.-MOGA.","","","",""
"ISRYL M-2 FORTE TAB10TAB","1","  -","40.26","40.26"
"PIO-M-15           10TAB","6","  -","39.20","235.19"
"PIOSYS-15TAB       30TAB","5","  -","29.83","149.14"
"SYSTAFLAM MR TAB   10TAB","3","  -","84.88","254.65"
"                     TOTAL :","15","0","","679.24"
"","","","",""
"VISHESH MEDICAL STORE MOGA.-MOGA.","","","",""
"AMCARD AT TAB      10TAB","10","  -","20.30","203.02"
"CYRA-D  CAP        10CAP","5","  -","28.54","142.69"
"ITRASYS - 100 CAP  4CAP","7","  -","33.69","235.82"
"LEVOSIZ 5MG TAB    10TAB","10","  -","10.31","103.11"
"ORVAS 10MG         10TAB","20","  -","12.94","258.80"
"ORVAS 40MG TABLET  10TAB","2","  -","67.40","134.79"
"                     TOTAL :","54","0","","1078.23"
"","","","",""
"ZIRA MED HALL ZIRA ZIRA-ZIRA","","","",""
"AMACE TAB          10TAB","5","  -","43.66","218.30"
"                     TOTAL :","5","0","","218.30"
"GRAND TOTAL :","9152","59","","254845.08"
"GST ready by MARG Erp 9414490001,01552262152","","","",""
