"2. Business Size","","","","","","","","","","",""
"Source: UK overseas trade in goods statistics from HM Revenue & Customs, and Inter-Departmental Business Register from the Office for National Statistics","","","","","","","","","","",""
"This worksheet contains one table.","","","","","","","","","","",""
"","","","","","","","","","","",""
"Flow","Year","Country","Zone","Business size
(No. of employees)","Age (Years)","Industry group","Value (£)","Business count","Employee count","",""
"Import","2023","World","World","10 to 49","All","All","62,175,465,710","45,581","999,251","",""
"Import","2023","World","World","50 to 249","All","All","96,555,985,078","15,473","1,603,355","",""
"Import","2023","World","World","250 +","All","All","316,598,909,049","5,450","10,221,780","",""
"Import","2023","World","World","Unknown","All","All","120,224,374,644","64,329","not applicable","",""
"Export","2023","Belgium","EU","0","All","All","2,871,401","103","0","",""
"Export","2023","Belgium","EU","1 to 9","All","All","1,751,326,905","4,767","21,668","",""
"Export","2023","Belgium","EU","10 to 49","All","All","747,460,001","5,601","135,101","",""
"Export","2023","Belgium","EU","50 to 249","All","All","2,916,608,917","3,346","360,835","",""
"Export","2023","Belgium","EU","250 +","All","All","8,377,380,361","1,497","2,617,200","",""
"Export","2023","Belgium","EU","Unknown","All","All","6,499,433,377","847","not applicable","",""
"Export","2023","Czechia","EU","0","All","All","545,264","53","0","",""
"Export","2023","Czechia","EU","1 to 9","All","All","166,667,379","2,769","12,696","",""
"Export","2023","Czechia","EU","10 to 49","All","All","348,805,302","3,470","85,116","",""
"Export","2023","Czechia","EU","50 to 249","All","All","662,334,609","2,245","244,610","",""
"Export","2023","Czechia","EU","250 +","All","All","782,235,555","920","2,149,923","",""
"Export","2023","Czechia","EU","Unknown","All","All","240,500,345","363","not applicable","",""
"Export","2023","Denmark","EU","0","All","All","1,355,323","83","0","",""
"Export","2023","Denmark","EU","1 to 9","All","All","189,252,387","3,767","17,128","",""
"Export","2023","Denmark","EU","10 to 49","All","All","450,110,873","4,561","110,469","",""
"Export","2023","Denmark","EU","50 to 249","All","All","711,112,398","2,715","293,838","",""
"Export","2023","Denmark","EU","250 +","All","All","1,182,820,342","1,163","2,413,195","",""
"Export","2023","Denmark","EU","Unknown","All","All","136,814,700","506","not applicable","",""
"Export","2023","EU","EU","0","All","All","88,500,238","1,628","0","",""
"Export","2023","EU","EU","1 to 9","All","All","9,375,329,311","42,876","165,587","",""
"Export","2023","EU","EU","10 to 49","All","All","15,780,965,185","27,092","611,272","",""
"Export","2023","EU","EU","50 to 249","All","All","31,963,255,134","10,737","1,124,883","",""
"Export","2023","EU","EU","250 +","All","All","96,381,840,753","3,908","7,809,621","",""
"Export","2023","EU","EU","Unknown","All","All","35,524,671,633","9,075","not applicable","",""
"Export","2023","France","EU","0","All","All","15,903,148","266","0","",""
"Export","2023","France","EU","1 to 9","All","All","1,310,162,030","10,779","45,718","",""
"Export","2023","France","EU","10 to 49","All","All","1,947,231,397","9,970","236,271","",""
"Export","2023","France","EU","50 to 249","All","All","3,841,895,563","5,393","581,108","",""
"Export","2023","France","EU","250 +","All","All","14,087,029,164","2,187","4,529,774","",""
"Export","2023","France","EU","Unknown","All","All","2,669,996,508","1,909","not applicable","",""
"Export","2023","Germany","EU","0","All","All","12,623,699","278","0","",""
"Export","2023","Germany","EU","1 to 9","All","All","1,104,367,143","11,643","49,556","",""
"Export","2023","Germany","EU","10 to 49","All","All","3,040,072,094","11,087","262,828","",""
"Export","2023","Germany","EU","50 to 249","All","All","5,895,466,636","5,862","627,673","",""
"Export","2023","Germany","EU","250 +","All","All","19,269,434,399","2,482","4,974,137","",""
"Export","2023","Germany","EU","Unknown","All","All","3,110,451,312","2,140","not applicable","",""
"Export","2023","Ireland","EU","0","All","All","19,690,694","266","0","",""
"Export","2023","Ireland","EU","1 to 9","All","All","1,576,783,358","13,241","59,027","",""
"Export","2023","Ireland","EU","10 to 49","All","All","2,727,458,026","13,367","312,574","",""
"Export","2023","Ireland","EU","50 to 249","All","All","4,816,139,869","6,068","637,938","",""
"Export","2023","Ireland","EU","250 +","All","All","14,823,357,763","2,348","5,336,073","",""
"Export","2023","Ireland","EU","Unknown","All","All","3,445,704,557","1,804","not applicable","",""
"Export","2023","Italy","EU","0","All","All","2,117,371","135","0","",""
"Export","2023","Italy","EU","1 to 9","All","All","405,546,608","7,068","30,849","",""
"Export","2023","Italy","EU","10 to 49","All","All","823,071,988","7,162","170,525","",""
"Export","2023","Italy","EU","50 to 249","All","All","1,814,697,058","4,006","432,104","",""
"Export","2023","Italy","EU","250 +","All","All","5,995,877,500","1,736","3,643,631","",""
"Export","2023","Italy","EU","Unknown","All","All","804,434,968","1,010","not applicable","",""
"Export","2023","Netherlands","EU","0","All","All","5,217,683","182","0","",""
"Export","2023","Netherlands","EU","1 to 9","All","All","1,091,223,214","10,067","43,427","",""
"Export","2023","Netherlands","EU","10 to 49","All","All","2,303,397,174","10,154","241,904","",""
"Export","2023","Netherlands","EU","50 to 249","All","All","4,964,322,206","5,439","584,521","",""
"Export","2023","Netherlands","EU","250 +","All","All","12,930,596,837","2,274","5,086,646","",""
"Export","2023","Netherlands","EU","Unknown","All","All","8,740,382,512","2,113","not applicable","",""
"Export","2023","Poland","EU","0","All","All","3,558,133","109","0","",""
"Export","2023","Poland","EU","1 to 9","All","All","387,791,133","4,534","19,835","",""
"Export","2023","Poland","EU","10 to 49","All","All","809,763,606","5,235","127,921","",""
"Export","2023","Poland","EU","50 to 249","All","All","1,261,533,691","3,179","345,299","",""
"Export","2023","Poland","EU","250 +","All","All","3,298,358,002","1,323","2,952,996","",""
"Export","2023","Poland","EU","Unknown","All","All","905,193,253","680","not applicable","",""
"Export","2023","Spain","EU","0","All","All","1,500,944","103","0","",""
"Export","2023","Spain","EU","1 to 9","All","All","308,794,613","5,849","25,786","",""
"Export","2023","Spain","EU","10 to 49","All","All","699,569,352","6,492","154,581","",""
"Export","2023","Spain","EU","50 to 249","All","All","1,462,334,152","3,809","412,420","",""
"Export","2023","Spain","EU","250 +","All","All","6,268,542,636","1,764","3,844,476","",""
"Export","2023","Spain","EU","Unknown","All","All","739,474,771","877","not applicable","",""
"Export","2023","Sweden","EU","0","All","All","1,093,267","82","0","",""
"Export","2023","Sweden","EU","1 to 9","All","All","171,531,777","4,034","18,242","",""
"Export","2023","Sweden","EU","10 to 49","All","All","379,466,263","4,886","118,038","",""
"Export","2023","Sweden","EU","50 to 249","All","All","874,972,915","2,940","320,017","",""
"Export","2023","Sweden","EU","250 +","All","All","2,506,093,161","1,293","2,473,171","",""
"Export","2023","Sweden","EU","Unknown","All","All","914,870,483","582","not applicable","",""
"Export","2023","Algeria","Non-EU","0","All","All","0","0","0","",""
"Export","2023","Algeria","Non-EU","1 to 9","All","All","20,427,587","137","530","",""
"Export","2023","Algeria","Non-EU","10 to 49","All","All","16,587,834","168","4,064","",""
"Export","2023","Algeria","Non-EU","50 to 249","All","All","38,227,987","193","20,339","",""
"Export","2023","Algeria","Non-EU","250 +","All","All","126,528,254","126","210,384","",""
"Export","2023","Algeria","Non-EU","Unknown","All","All","10,270,941","39","not applicable","",""
"Export","2023","Australia","Non-EU","0","All","All","3,408,882","136","0","",""
"Export","2023","Australia","Non-EU","1 to 9","All","All","281,111,412","5,263","22,412","",""
"Export","2023","Australia","Non-EU","10 to 49","All","All","455,488,937","5,190","123,503","",""
"Export","2023","Australia","Non-EU","50 to 249","All","All","990,877,714","2,934","314,451","",""
"Export","2023","Australia","Non-EU","250 +","All","All","2,678,865,662","1,169","2,400,948","",""
"Export","2023","Australia","Non-EU","Unknown","All","All","307,834,486","786","not applicable","",""
"Export","2023","Bahrain","Non-EU","0","All","All","113,889","10","0","",""
"Export","2023","Bahrain","Non-EU","1 to 9","All","All","20,885,461","631","2,821","",""
"Export","2023","Bahrain","Non-EU","10 to 49","All","All","96,204,356","782","19,760","",""
"Export","2023","Bahrain","Non-EU","50 to 249","All","All","46,886,438","637","72,037","",""
"Export","2023","Bahrain","Non-EU","250 +","All","All","125,910,831","350","769,834","",""
"Export","2023","Bahrain","Non-EU","Unknown","All","All","21,653,453","103","not applicable","",""
"Export","2023","Bangladesh","Non-EU","0","All","All","Suppressed","Suppressed","Suppressed","",""
"Export","2023","Bangladesh","Non-EU","1 to 9","All","All","42,636,623","215","883","",""
"Export","2023","Bangladesh","Non-EU","10 to 49","All","All","42,066,649","228","5,910","",""
"Export","2023","Bangladesh","Non-EU","50 to 249","All","All","38,866,603","189","22,106","",""
"Export","2023","Bangladesh","Non-EU","250 +","All","All","274,862,598","128","Suppressed","",""
"Export","2023","Bangladesh","Non-EU","Unknown","All","All","Suppressed","Suppressed","not applicable","",""
"Export","2023","Brazil","Non-EU","0","All","All","Suppressed","5","0","",""
"Export","2023","Brazil","Non-EU","1 to 9","All","All","48,609,177","677","3,149","",""
"Export","2023","Brazil","Non-EU","10 to 49","All","All","221,429,390","1,225","31,014","",""
"Export","2023","Brazil","Non-EU","50 to 249","All","All","413,211,431","1,134","128,893","",""
"Export","2023","Brazil","Non-EU","250 +","All","All","1,744,147,033","559","938,237","",""
"Export","2023","Brazil","Non-EU","Unknown","All","All","Suppressed","162","not applicable","",""
"Export","2023","Brunei","Non-EU","0","All","All","Suppressed","Suppressed","Suppressed","",""
"Export","2023","Brunei","Non-EU","1 to 9","All","All","5,914,295","128","537","",""
"Export","2023","Brunei","Non-EU","10 to 49","All","All","7,206,656","211","5,508","",""
"Export","2023","Brunei","Non-EU","50 to 249","All","All","7,311,346","162","17,911","",""
"Export","2023","Brunei","Non-EU","250 +","All","All","10,148,076","100","Suppressed","",""
"Export","2023","Brunei","Non-EU","Unknown","All","All","Suppressed","Suppressed","not applicable","",""
"Export","2023","Cambodia","Non-EU","0","All","All","0","0","0","",""
"Export","2023","Cambodia","Non-EU","1 to 9","All","All","4,077,638","82","400","",""
"Export","2023","Cambodia","Non-EU","10 to 49","All","All","6,188,539","112","2,875","",""
"Export","2023","Cambodia","Non-EU","50 to 249","All","All","9,770,140","82","9,312","",""
"Export","2023","Cambodia","Non-EU","250 +","All","All","35,192,704","73","187,604","",""
"Export","2023","Cambodia","Non-EU","Unknown","All","All","1,697,842","16","not applicable","",""
"Export","2023","Canada","Non-EU","0","All","All","1,671,508","106","0","",""
"Export","2023","Canada","Non-EU","1 to 9","All","All","185,471,813","4,403","18,582","",""
"Export","2023","Canada","Non-EU","10 to 49","All","All","531,946,675","4,371","104,700","",""
"Export","2023","Canada","Non-EU","50 to 249","All","All","737,155,787","2,480","267,617","",""
"Export","2023","Canada","Non-EU","250 +","All","All","4,353,448,077","1,099","2,530,369","",""
"Export","2023","Canada","Non-EU","Unknown","All","All","339,401,077","767","not applicable","",""
"Export","2023","Chile","Non-EU","0","All","All","208,001","5","0","",""
"Export","2023","Chile","Non-EU","1 to 9","All","All","22,206,187","557","2,571","",""
"Export","2023","Chile","Non-EU","10 to 49","All","All","48,775,756","832","20,580","",""
"Export","2023","Chile","Non-EU","50 to 249","All","All","74,406,312","688","78,958","",""
"Export","2023","Chile","Non-EU","250 +","All","All","337,232,429","347","847,733","",""
"Export","2023","Chile","Non-EU","Unknown","All","All","25,783,891","112","not applicable","",""
"Export","2023","China","Non-EU","0","All","All","1,005,115","38","0","",""
"Export","2023","China","Non-EU","1 to 9","All","All","377,265,609","2,727","12,051","",""
"Export","2023","China","Non-EU","10 to 49","All","All","1,028,277,559","3,537","87,123","",""
"Export","2023","China","Non-EU","50 to 249","All","All","1,956,439,294","2,502","270,534","",""
"Export","2023","China","Non-EU","250 +","All","All","22,138,104,856","1,056","2,335,073","",""
"Export","2023","China","Non-EU","Unknown","All","All","1,863,714,150","566","not applicable","",""
"Export","2023","Greenland","Non-EU","0","All","All","0","0","0","",""
"Export","2023","Greenland","Non-EU","1 to 9","All","All","275,663","14","58","",""
"Export","2023","Greenland","Non-EU","10 to 49","All","All","379,813","28","641","",""
"Export","2023","Greenland","Non-EU","50 to 249","All","All","468,872","19","1,943","",""
"Export","2023","Greenland","Non-EU","250 +","All","All","Suppressed","6","2,791","",""
"Export","2023","Greenland","Non-EU","Unknown","All","All","Suppressed","7","not applicable","",""
"Export","2023","Hong Kong","Non-EU","0","All","All","5,232,805","67","0","",""
"Export","2023","Hong Kong","Non-EU","1 to 9","All","All","636,531,897","3,630","14,146","",""
"Export","2023","Hong Kong","Non-EU","10 to 49","All","All","600,379,146","3,196","76,611","",""
"Export","2023","Hong Kong","Non-EU","50 to 249","All","All","673,862,212","1,907","207,234","",""
"Export","2023","Hong Kong","Non-EU","250 +","All","All","10,854,118,923","866","2,403,087","",""
"Export","2023","Hong Kong","Non-EU","Unknown","All","All","221,688,197","625","not applicable","",""
"Export","2023","Iceland","Non-EU","0","All","All","545,812","11","0","",""
"Export","2023","Iceland","Non-EU","1 to 9","All","All","35,712,622","1,067","5,104","",""
"Export","2023","Iceland","Non-EU","10 to 49","All","All","61,973,850","1,453","35,746","",""
"Export","2023","Iceland","Non-EU","50 to 249","All","All","78,029,044","940","103,849","",""
"Export","2023","Iceland","Non-EU","250 +","All","All","138,826,436","433","1,210,035","",""
"Export","2023","Iceland","Non-EU","Unknown","All","All","18,034,157","158","not applicable","",""
"Export","2023","India","Non-EU","0","All","All","1,187,532","42","0","",""
"Export","2023","India","Non-EU","1 to 9","All","All","473,905,736","2,418","10,735","",""
"Export","2023","India","Non-EU","10 to 49","All","All","591,138,745","3,114","77,870","",""
"Export","2023","India","Non-EU","50 to 249","All","All","810,916,067","2,189","240,162","",""
"Export","2023","India","Non-EU","250 +","All","All","3,436,867,081","923","2,431,136","",""
"Export","2023","India","Non-EU","Unknown","All","All","5,001,430,026","479","not applicable","",""
"Export","2023","Indonesia","Non-EU","0","All","All","589,388","9","0","",""
"Export","2023","Indonesia","Non-EU","1 to 9","All","All","150,473,095","682","3,104","",""
"Export","2023","Indonesia","Non-EU","10 to 49","All","All","96,007,734","1,008","25,168","",""
"Export","2023","Indonesia","Non-EU","50 to 249","All","All","145,640,809","775","86,513","",""
"Export","2023","Indonesia","Non-EU","250 +","All","All","277,275,992","397","863,767","",""
"Export","2023","Indonesia","Non-EU","Unknown","All","All","123,473,066","109","not applicable","",""
"Export","2023","Israel","Non-EU","0","All","All","323,379","16","0","",""
"Export","2023","Israel","Non-EU","1 to 9","All","All","102,783,455","1,727","7,998","",""
"Export","2023","Israel","Non-EU","10 to 49","All","All","158,404,762","2,239","56,411","",""
"Export","2023","Israel","Non-EU","50 to 249","All","All","311,397,945","1,618","178,681","",""
"Export","2023","Israel","Non-EU","250 +","All","All","870,843,744","719","1,271,247","",""
"Export","2023","Israel","Non-EU","Unknown","All","All","65,194,219","276","not applicable","",""
"Export","2023","Japan","Non-EU","0","All","All","2,835,689","92","0","",""
"Export","2023","Japan","Non-EU","1 to 9","All","All","231,507,364","2,757","11,535","",""
"Export","2023","Japan","Non-EU","10 to 49","All","All","375,942,504","2,842","68,308","",""
"Export","2023","Japan","Non-EU","50 to 249","All","All","872,534,771","1,853","202,644","",""
"Export","2023","Japan","Non-EU","250 +","All","All","3,637,824,171","904","1,505,468","",""
"Export","2023","Japan","Non-EU","Unknown","All","All","448,167,142","521","not applicable","",""
"Export","2023","Kuwait","Non-EU","0","All","All","Suppressed","Suppressed","Suppressed","",""
"Export","2023","Kuwait","Non-EU","1 to 9","All","All","49,879,914","858","3,759","",""
"Export","2023","Kuwait","Non-EU","10 to 49","All","All","73,608,558","1,003","24,712","",""
"Export","2023","Kuwait","Non-EU","50 to 249","All","All","86,494,031","705","76,559","",""
"Export","2023","Kuwait","Non-EU","250 +","All","All","417,332,789","358","Suppressed","",""
"Export","2023","Kuwait","Non-EU","Unknown","All","All","Suppressed","Suppressed","not applicable","",""
"Export","2023","Malaysia","Non-EU","0","All","All","358,620","22","0","",""
"Export","2023","Malaysia","Non-EU","1 to 9","All","All","255,805,449","1,430","6,420","",""
"Export","2023","Malaysia","Non-EU","10 to 49","All","All","292,869,012","2,016","49,526","",""
"Export","2023","Malaysia","Non-EU","50 to 249","All","All","250,371,948","1,419","156,873","",""
"Export","2023","Malaysia","Non-EU","250 +","All","All","732,309,081","627","1,142,436","",""
"Export","2023","Malaysia","Non-EU","Unknown","All","All","135,745,113","229","not applicable","",""
"Export","2023","Mexico","Non-EU","0","All","All","81,680","7","0","",""
"Export","2023","Mexico","Non-EU","1 to 9","All","All","39,150,149","800","3,632","",""
"Export","2023","Mexico","Non-EU","10 to 49","All","All","128,563,179","1,201","30,173","",""
"Export","2023","Mexico","Non-EU","50 to 249","All","All","331,509,300","1,019","114,555","",""
"Export","2023","Mexico","Non-EU","250 +","All","All","817,524,408","503","1,020,032","",""
"Export","2023","Mexico","Non-EU","Unknown","All","All","276,897,438","153","not applicable","",""
"Export","2023","NEU","Non-EU","0","All","All","135,084,891","1,295","0","",""
"Export","2023","NEU","Non-EU","1 to 9","All","All","9,372,236,200","35,379","130,080","",""
"Export","2023","NEU","Non-EU","10 to 49","All","All","15,525,604,276","20,503","464,524","",""
"Export","2023","NEU","Non-EU","50 to 249","All","All","25,705,030,772","8,609","904,973","",""
"Export","2023","NEU","Non-EU","250 +","All","All","151,204,601,335","3,240","6,672,724","",""
"Export","2023","NEU","Non-EU","Unknown","All","All","31,395,858,317","9,309","not applicable","",""
"Export","2023","New Zealand","Non-EU","0","All","All","353,188","41","0","",""
"Export","2023","New Zealand","Non-EU","1 to 9","All","All","58,462,697","1,890","8,716","",""
"Export","2023","New Zealand","Non-EU","10 to 49","All","All","95,449,526","2,276","55,351","",""
"Export","2023","New Zealand","Non-EU","50 to 249","All","All","209,176,807","1,505","161,634","",""
"Export","2023","New Zealand","Non-EU","250 +","All","All","547,347,053","645","1,322,987","",""
"Export","2023","New Zealand","Non-EU","Unknown","All","All","92,437,736","239","not applicable","",""
"Export","2023","Nigeria","Non-EU","0","All","All","1,150,144","10","0","",""
"Export","2023","Nigeria","Non-EU","1 to 9","All","All","116,015,449","1,056","4,560","",""
"Export","2023","Nigeria","Non-EU","10 to 49","All","All","110,811,487","1,062","25,889","",""
"Export","2023","Nigeria","Non-EU","50 to 249","All","All","105,451,367","732","79,488","",""
"Export","2023","Nigeria","Non-EU","250 +","All","All","1,042,818,069","394","855,867","",""
"Export","2023","Nigeria","Non-EU","Unknown","All","All","76,888,805","170","not applicable","",""
"Export","2023","Norway","Non-EU","0","All","All","1,076,248","57","0","",""
"Export","2023","Norway","Non-EU","1 to 9","All","All","192,459,504","3,433","15,622","",""
"Export","2023","Norway","Non-EU","10 to 49","All","All","404,847,610","4,115","99,392","",""
"Export","2023","Norway","Non-EU","50 to 249","All","All","875,755,659","2,426","260,232","",""
"Export","2023","Norway","Non-EU","250 +","All","All","1,558,934,543","936","1,646,684","",""
"Export","2023","Norway","Non-EU","Unknown","All","All","220,800,297","440","not applicable","",""
"Export","2023","Oman","Non-EU","0","All","All","25,240","5","0","",""
"Export","2023","Oman","Non-EU","1 to 9","All","All","23,214,273","559","2,560","",""
"Export","2023","Oman","Non-EU","10 to 49","All","All","40,837,222","743","18,704","",""
"Export","2023","Oman","Non-EU","50 to 249","All","All","52,654,002","639","71,187","",""
"Export","2023","Oman","Non-EU","250 +","All","All","369,861,494","334","700,311","",""
"Export","2023","Oman","Non-EU","Unknown","All","All","18,474,223","78","not applicable","",""
"Export","2023","Peru","Non-EU","0","All","All","Suppressed","Suppressed","Suppressed","",""
"Export","2023","Peru","Non-EU","1 to 9","All","All","6,801,168","248","1,214","",""
"Export","2023","Peru","Non-EU","10 to 49","All","All","14,734,433","406","9,924","",""
"Export","2023","Peru","Non-EU","50 to 249","All","All","25,752,544","375","41,976","",""
"Export","2023","Peru","Non-EU","250 +","All","All","140,549,312","213","Suppressed","",""
"Export","2023","Peru","Non-EU","Unknown","All","All","Suppressed","Suppressed","not applicable","",""
"Export","2023","Qatar","Non-EU","0","All","All","587,946","17","0","",""
"Export","2023","Qatar","Non-EU","1 to 9","All","All","76,015,134","1,224","5,299","",""
"Export","2023","Qatar","Non-EU","10 to 49","All","All","581,513,653","1,513","37,972","",""
"Export","2023","Qatar","Non-EU","50 to 249","All","All","305,164,503","1,054","116,774","",""
"Export","2023","Qatar","Non-EU","250 +","All","All","2,641,349,317","523","1,030,198","",""
"Export","2023","Qatar","Non-EU","Unknown","All","All","38,436,471","173","not applicable","",""
"Export","2023","Russia","Non-EU","0","All","All","0","0","0","",""
"Export","2023","Russia","Non-EU","1 to 9","All","All","17,052,774","70","272","",""
"Export","2023","Russia","Non-EU","10 to 49","All","All","42,544,920","100","2,682","",""
"Export","2023","Russia","Non-EU","50 to 249","All","All","107,475,583","96","10,773","",""
"Export","2023","Russia","Non-EU","250 +","All","All","451,007,431","59","85,526","",""
"Export","2023","Russia","Non-EU","Unknown","All","All","35,554,767","25","not applicable","",""
"Export","2023","Saudi Arabia","Non-EU","0","All","All","1,111,903","23","0","",""
"Export","2023","Saudi Arabia","Non-EU","1 to 9","All","All","160,525,948","2,002","8,767","",""
"Export","2023","Saudi Arabia","Non-EU","10 to 49","All","All","521,487,615","2,392","57,693","",""
"Export","2023","Saudi Arabia","Non-EU","50 to 249","All","All","591,753,316","1,616","176,471","",""
"Export","2023","Saudi Arabia","Non-EU","250 +","All","All","3,024,190,431","695","1,392,269","",""
"Export","2023","Saudi Arabia","Non-EU","Unknown","All","All","210,537,937","302","not applicable","",""
"Export","2023","Singapore","Non-EU","0","All","All","688,433","47","0","",""
"Export","2023","Singapore","Non-EU","1 to 9","All","All","182,125,328","2,808","12,048","",""
"Export","2023","Singapore","Non-EU","10 to 49","All","All","381,201,154","3,341","81,118","",""
"Export","2023","Singapore","Non-EU","50 to 249","All","All","508,609,896","2,141","233,421","",""
"Export","2023","Singapore","Non-EU","250 +","All","All","4,838,913,650","964","2,191,764","",""
"Export","2023","Singapore","Non-EU","Unknown","All","All","142,358,412","413","not applicable","",""
"Export","2023","South Africa","Non-EU","0","All","All","198,790","18","0","",""
"Export","2023","South Africa","Non-EU","1 to 9","All","All","122,702,648","2,076","9,456","",""
"Export","2023","South Africa","Non-EU","10 to 49","All","All","153,223,130","2,688","66,739","",""
"Export","2023","South Africa","Non-EU","50 to 249","All","All","356,995,811","1,890","208,805","",""
"Export","2023","South Africa","Non-EU","250 +","All","All","953,687,075","824","1,458,579","",""
"Export","2023","South Africa","Non-EU","Unknown","All","All","103,247,100","309","not applicable","",""
"Export","2023","South Korea","Non-EU","0","All","All","616,142","32","0","",""
"Export","2023","South Korea","Non-EU","1 to 9","All","All","294,341,243","1,876","7,916","",""
"Export","2023","South Korea","Non-EU","10 to 49","All","All","434,866,352","2,173","53,369","",""
"Export","2023","South Korea","Non-EU","50 to 249","All","All","864,278,884","1,527","169,664","",""
"Export","2023","South Korea","Non-EU","250 +","All","All","3,059,759,642","693","1,307,878","",""
"Export","2023","South Korea","Non-EU","Unknown","All","All","326,733,250","318","not applicable","",""
"Export","2023","Sri Lanka","Non-EU","0","All","All","Suppressed","Suppressed","Suppressed","",""
"Export","2023","Sri Lanka","Non-EU","1 to 9","All","All","22,134,807","332","1,441","",""
"Export","2023","Sri Lanka","Non-EU","10 to 49","All","All","31,721,255","465","11,814","",""
"Export","2023","Sri Lanka","Non-EU","50 to 249","All","All","32,130,059","349","38,632","",""
"Export","2023","Sri Lanka","Non-EU","250 +","All","All","30,292,889","189","Suppressed","",""
"Export","2023","Sri Lanka","Non-EU","Unknown","All","All","Suppressed","Suppressed","not applicable","",""
"Export","2023","Switzerland","Non-EU","0","All","All","1,961,537","128","0","",""
"Export","2023","Switzerland","Non-EU","1 to 9","All","All","402,978,533","4,810","20,541","",""
"Export","2023","Switzerland","Non-EU","10 to 49","All","All","764,862,590","4,741","114,112","",""
"Export","2023","Switzerland","Non-EU","50 to 249","All","All","2,291,191,820","2,746","299,614","",""
"Export","2023","Switzerland","Non-EU","250 +","All","All","22,826,992,136","1,254","2,540,551","",""
"Export","2023","Switzerland","Non-EU","Unknown","All","All","2,266,038,574","770","not applicable","",""
"Export","2023","Taiwan","Non-EU","0","All","All","150,557","30","0","",""
"Export","2023","Taiwan","Non-EU","1 to 9","All","All","51,910,719","1,398","6,104","",""
"Export","2023","Taiwan","Non-EU","10 to 49","All","All","141,115,165","1,746","43,367","",""
"Export","2023","Taiwan","Non-EU","50 to 249","All","All","290,538,078","1,315","144,641","",""
"Export","2023","Taiwan","Non-EU","250 +","All","All","1,177,421,060","603","1,060,165","",""
"Export","2023","Taiwan","Non-EU","Unknown","All","All","98,158,800","279","not applicable","",""
"Export","2023","Thailand","Non-EU","0","All","All","403,262","23","0","",""
"Export","2023","Thailand","Non-EU","1 to 9","All","All","154,064,472","1,309","5,791","",""
"Export","2023","Thailand","Non-EU","10 to 49","All","All","176,166,546","1,701","42,239","",""
"Export","2023","Thailand","Non-EU","50 to 249","All","All","255,843,833","1,265","139,195","",""
"Export","2023","Thailand","Non-EU","250 +","All","All","866,330,136","585","1,183,897","",""
"Export","2023","Thailand","Non-EU","Unknown","All","All","118,058,324","207","not applicable","",""
"Export","2023","Turkey","Non-EU","0","All","All","Suppressed","32","0","",""
"Export","2023","Turkey","Non-EU","1 to 9","All","All","384,534,182","2,193","9,741","",""
"Export","2023","Turkey","Non-EU","10 to 49","All","All","391,863,702","2,746","67,981","",""
"Export","2023","Turkey","Non-EU","50 to 249","All","All","632,217,732","1,932","212,533","",""
"Export","2023","Turkey","Non-EU","250 +","All","All","4,532,781,519","858","1,521,490","",""
"Export","2023","Turkey","Non-EU","Unknown","All","All","Suppressed","379","not applicable","",""
"Export","2023","UAE","Non-EU","0","All","All","7,252,809","71","0","",""
"Export","2023","UAE","Non-EU","1 to 9","All","All","551,118,992","4,763","19,815","",""
"Export","2023","UAE","Non-EU","10 to 49","All","All","760,360,952","4,660","111,838","",""
"Export","2023","UAE","Non-EU","50 to 249","All","All","893,418,401","2,717","294,486","",""
"Export","2023","UAE","Non-EU","250 +","All","All","4,575,872,613","1,148","2,428,811","",""
"Export","2023","UAE","Non-EU","Unknown","All","All","607,471,397","735","not applicable","",""
"Export","2023","Ukraine","Non-EU","0","All","All","157,931","8","0","",""
"Export","2023","Ukraine","Non-EU","1 to 9","All","All","92,984,537","590","2,431","",""
"Export","2023","Ukraine","Non-EU","10 to 49","All","All","79,026,457","659","16,240","",""
"Export","2023","Ukraine","Non-EU","50 to 249","All","All","77,327,112","483","54,497","",""
"Export","2023","Ukraine","Non-EU","250 +","All","All","281,658,928","287","604,078","",""
"Export","2023","Ukraine","Non-EU","Unknown","All","All","29,857,242","84","not applicable","",""
"Export","2023","United States","Non-EU","0","All","All","83,325,576","693","0","",""
"Export","2023","United States","Non-EU","1 to 9","All","All","2,107,956,366","16,060","61,838","",""
"Export","2023","United States","Non-EU","10 to 49","All","All","4,021,434,896","11,276","262,115","",""
"Export","2023","United States","Non-EU","50 to 249","All","All","7,467,772,066","5,477","581,711","",""
"Export","2023","United States","Non-EU","250 +","All","All","36,875,880,395","2,148","4,423,633","",""
"Export","2023","United States","Non-EU","Unknown","All","All","7,152,910,869","4,379","not applicable","",""
"Export","2023","Vietnam","Non-EU","0","All","All","211,200","8","0","",""
"Export","2023","Vietnam","Non-EU","1 to 9","All","All","111,272,024","722","3,147","",""
"Export","2023","Vietnam","Non-EU","10 to 49","All","All","99,230,101","1,001","25,245","",""
"Export","2023","Vietnam","Non-EU","50 to 249","All","All","149,930,785","812","91,509","",""
"Export","2023","Vietnam","Non-EU","250 +","All","All","297,962,418","359","625,052","",""
"Export","2023","Vietnam","Non-EU","Unknown","All","All","73,919,466","132","not applicable","",""
"Export","2023","World","World","0","All","All","223,585,129","2,431","0","",""
"Export","2023","World","World","1 to 9","All","All","18,747,565,511","58,260","211,912","",""
"Export","2023","World","World","10 to 49","All","All","31,306,569,461","31,101","694,573","",""
"Export","2023","World","World","50 to 249","All","All","57,668,285,906","11,745","1,227,001","",""
