"Per capita sales of food for all purchasers with taxes and tips, by State","","","","","","",""
"(U.S. Dollars)","","","","","","",""
"Year","State","Nominal sales per capita","","Total nominal food sales per capita","Constant-dollar sales per capita (1988=100)","","Total constant-dollar food sales per capita"
"2007","Hawaii","2,025.79","3,011.39","5,037.18","1,116.50","1,772.43","2,888.93"
"2008","Hawaii","2,118.55","3,011.55","5,130.09","1,099.78","1,707.56","2,807.34"
"2009","Hawaii","2,106.49","2,911.70","5,018.19","1,101.54","1,601.06","2,702.60"
"2010","Hawaii","2,129.80","2,976.47","5,106.27","1,120.45","1,617.70","2,738.15"
"2011","Hawaii","2,195.81","3,168.53","5,364.34","1,101.36","1,684.27","2,785.63"
"2012","Hawaii","2,240.82","3,347.63","5,588.45","1,104.02","1,726.65","2,830.67"
"2013","Hawaii","2,271.16","3,488.18","5,759.34","1,109.04","1,762.03","2,871.07"
"2014","Hawaii","2,347.71","3,676.32","6,024.03","1,115.28","1,812.29","2,927.57"
"2015","Hawaii","2,426.27","3,913.13","6,339.41","1,133.60","1,875.13","3,008.73"
"2016","Hawaii","2,494.87","4,128.19","6,623.06","1,179.19","1,915.32","3,094.51"
"2017","Hawaii","2,585.90","4,449.26","7,035.16","1,226.01","1,998.77","3,224.77"
"2018","Hawaii","2,761.64","4,677.46","7,439.10","1,303.63","2,032.06","3,335.68"
"2019","Hawaii","2,902.44","4,982.96","7,885.39","1,349.52","2,090.45","3,439.97"
"2020","Hawaii","2,956.20","3,496.94","6,453.15","1,321.81","1,402.78","2,724.59"
"2021","Hawaii","3,231.04","4,895.73","8,126.78","1,384.33","1,872.59","3,256.92"
"2022","Hawaii","3,797.03","5,891.08","9,688.12","1,460.29","2,100.30","3,560.59"
"2023","Hawaii","3,837.24","6,678.53","10,515.78","1,410.47","2,215.94","3,626.41"
"1997","Idaho","1,610.07","875.35","2,485.42","1,151.18","683.17","1,834.35"
"1998","Idaho","1,610.26","917.72","2,527.98","1,117.01","697.61","1,814.62"
"1999","Idaho","1,674.43","936.15","2,610.58","1,138.46","696.59","1,835.04"
"2000","Idaho","1,678.67","988.21","2,666.88","1,118.47","719.25","1,837.72"
"2001","Idaho","1,671.96","1,010.74","2,682.70","1,069.32","713.12","1,782.43"
"2002","Idaho","1,648.60","1,027.35","2,675.95","1,035.04","701.69","1,736.73"
"2003","Idaho","1,744.38","1,066.90","2,811.28","1,066.41","714.85","1,781.26"
"2004","Idaho","1,872.77","1,125.44","2,998.21","1,103.75","731.56","1,835.31"
"2005","Idaho","2,017.44","1,174.19","3,191.63","1,178.27","736.87","1,915.14"
"2006","Idaho","2,124.45","1,220.62","3,345.07","1,226.01","744.18","1,970.18"
"2007","Idaho","2,263.90","1,299.22","3,563.12","1,247.73","764.69","2,012.42"
"2008","Idaho","2,359.34","1,313.68","3,673.01","1,224.78","744.86","1,969.64"
"2009","Idaho","2,206.01","1,221.47","3,427.48","1,153.58","671.65","1,825.23"
"2010","Idaho","2,182.31","1,220.39","3,402.71","1,148.08","663.28","1,811.35"
"2011","Idaho","2,239.66","1,292.24","3,531.90","1,123.35","686.91","1,810.26"
"2012","Idaho","2,446.93","1,355.08","3,802.01","1,205.56","698.93","1,904.49"
"2013","Idaho","2,489.44","1,451.49","3,940.93","1,215.63","733.21","1,948.84"
"2014","Idaho","2,572.43","1,578.23","4,150.66","1,222.03","778.01","2,000.04"
"2015","Idaho","2,606.01","1,740.39","4,346.40","1,217.58","833.97","2,051.55"
"2016","Idaho","2,610.07","1,878.97","4,489.04","1,233.63","871.77","2,105.40"
"2017","Idaho","2,725.59","2,018.51","4,744.09","1,292.23","906.79","2,199.02"
"2018","Idaho","2,798.98","2,148.69","4,947.67","1,321.25","933.47","2,254.72"
"2019","Idaho","2,956.86","2,292.36","5,249.21","1,374.83","961.69","2,336.51"
"2020","Idaho","3,169.63","2,207.62","5,377.24","1,417.24","885.57","2,302.81"
"2021","Idaho","3,387.99","2,741.68","6,129.67","1,451.57","1,048.68","2,500.25"
"2022","Idaho","3,705.01","2,986.83","6,691.84","1,424.89","1,064.87","2,489.77"
"2023","Idaho","3,836.32","3,169.67","7,005.99","1,410.13","1,051.70","2,461.83"
"1997","Illinois","1,457.71","1,073.02","2,530.73","1,090.21","818.30","1,908.51"
"1998","Illinois","1,492.48","1,120.32","2,612.80","1,096.26","832.82","1,929.09"
"1999","Illinois","1,582.86","1,148.13","2,730.99","1,138.67","832.50","1,971.17"
"2000","Illinois","1,627.66","1,193.11","2,820.77","1,144.43","841.31","1,985.74"
"2001","Illinois","1,690.13","1,221.80","2,911.93","1,152.45","837.50","1,989.95"
"2002","Illinois","1,734.61","1,261.95","2,996.56","1,173.75","846.81","2,020.55"
"2003","Illinois","1,758.42","1,337.26","3,095.68","1,173.30","879.82","2,053.12"
"2004","Illinois","1,780.46","1,425.84","3,206.30","1,154.54","911.14","2,065.68"
"2005","Illinois","1,829.71","1,498.91","3,328.62","1,161.61","926.21","2,087.82"
"2006","Illinois","1,875.97","1,597.60","3,473.58","1,172.23","961.01","2,133.24"
"2007","Illinois","1,950.72","1,679.52","3,630.25","1,172.37","976.65","2,149.02"
"2008","Illinois","2,002.49","1,706.23","3,708.72","1,131.07","947.28","2,078.35"
"2009","Illinois","1,947.33","1,684.99","3,632.32","1,089.58","901.83","1,991.41"
"2010","Illinois","1,943.33","1,704.51","3,647.84","1,082.51","902.36","1,984.87"
"2011","Illinois","1,994.53","1,787.52","3,782.05","1,061.14","923.04","1,984.18"
"2012","Illinois","2,117.09","1,875.23","3,992.32","1,097.59","940.97","2,038.56"
"2013","Illinois","2,074.79","1,949.30","4,024.09","1,069.74","955.09","2,024.83"
"2014","Illinois","2,091.76","2,080.23","4,171.99","1,052.36","991.83","2,044.19"
"2015","Illinois","2,045.70","2,275.81","4,321.50","1,023.53","1,052.90","2,076.44"
"2016","Illinois","2,014.61","2,434.54","4,449.15","1,021.57","1,098.25","2,119.81"
"2017","Illinois","1,972.93","2,595.22","4,568.15","1,004.01","1,151.49","2,155.50"
"2018","Illinois","2,017.04","2,710.63","4,727.67","1,026.16","1,174.62","2,200.77"
"2019","Illinois","2,056.18","2,828.56","4,884.74","1,040.94","1,193.82","2,234.76"
"2020","Illinois","2,159.35","2,368.94","4,528.29","1,062.50","975.00","2,037.50"
"2021","Illinois","2,316.96","2,924.13","5,241.09","1,102.25","1,145.25","2,247.50"
"2022","Illinois","2,518.70","3,432.39","5,951.08","1,061.72","1,236.33","2,298.06"
"2023","Illinois","2,518.62","3,792.18","6,310.80","1,009.05","1,278.82","2,287.87"
"1997","Indiana","1,387.00","1,048.12","2,435.12","1,037.32","799.31","1,836.63"
"1998","Indiana","1,401.98","1,077.95","2,479.93","1,029.79","801.33","1,831.11"
"1999","Indiana","1,419.70","1,117.15","2,536.85","1,021.30","810.04","1,831.33"
"2000","Indiana","1,438.00","1,155.18","2,593.18","1,011.08","814.57","1,825.65"
"2001","Indiana","1,449.20","1,196.65","2,645.85","988.17","820.26","1,808.43"
"2002","Indiana","1,441.88","1,232.14","2,674.02","975.66","826.80","1,802.46"
"2003","Indiana","1,483.32","1,286.17","2,769.49","989.74","846.20","1,835.94"
"2004","Indiana","1,552.96","1,347.84","2,900.80","1,007.02","861.30","1,868.32"
"2005","Indiana","1,634.94","1,396.52","3,031.46","1,037.96","862.94","1,900.90"
"2006","Indiana","1,698.36","1,454.99","3,153.35","1,061.24","875.22","1,936.46"
"2007","Indiana","1,741.68","1,492.40","3,234.09","1,046.74","867.84","1,914.58"
"2008","Indiana","1,781.60","1,522.56","3,304.17","1,006.31","845.32","1,851.62"
"2009","Indiana","1,735.35","1,503.74","3,239.09","970.97","804.82","1,775.80"
"2010","Indiana","1,752.61","1,527.51","3,280.12","976.27","808.65","1,784.93"
"2011","Indiana","1,821.71","1,611.29","3,433.00","969.20","832.04","1,801.24"
"2012","Indiana","1,964.98","1,701.10","3,666.08","1,018.73","853.59","1,872.32"
"2013","Indiana","2,007.55","1,764.87","3,772.41","1,035.07","864.72","1,899.79"
"2014","Indiana","2,060.53","1,862.89","3,923.42","1,036.65","888.20","1,924.85"
"2015","Indiana","2,088.06","2,012.42","4,100.48","1,044.73","931.05","1,975.78"
"2016","Indiana","2,128.09","2,112.51","4,240.60","1,079.11","952.98","2,032.08"
"2017","Indiana","2,224.91","2,205.94","4,430.85","1,132.24","978.77","2,111.01"
"2018","Indiana","2,253.13","2,277.72","4,530.85","1,146.27","987.02","2,133.29"
"2019","Indiana","2,283.93","2,364.76","4,648.69","1,156.24","998.07","2,154.31"
"2020","Indiana","2,364.20","2,152.27","4,516.48","1,163.30","885.83","2,049.12"
"2021","Indiana","2,497.94","2,676.13","5,174.06","1,188.35","1,048.12","2,236.46"
"2022","Indiana","2,644.77","2,947.29","5,592.06","1,114.87","1,061.60","2,176.47"
"2023","Indiana","2,699.73","3,166.26","5,865.99","1,081.61","1,067.74","2,149.35"
"1997","Iowa","1,471.69","862.09","2,333.79","1,100.66","657.44","1,758.11"
"1998","Iowa","1,515.72","901.97","2,417.69","1,113.33","670.50","1,783.84"
"1999","Iowa","1,578.58","931.68","2,510.27","1,135.59","675.56","1,811.15"
"2000","Iowa","1,575.31","953.74","2,529.05","1,107.62","672.53","1,780.15"
"2001","Iowa","1,651.03","968.39","2,619.42","1,125.79","663.80","1,789.59"
"2002","Iowa","1,659.16","1,009.62","2,668.77","1,122.69","677.48","1,800.17"
"2003","Iowa","1,709.63","1,051.83","2,761.46","1,140.74","692.03","1,832.77"
"2004","Iowa","1,781.33","1,117.11","2,898.44","1,155.10","713.86","1,868.96"
"2005","Iowa","1,932.56","1,176.98","3,109.54","1,226.90","727.29","1,954.19"
"2006","Iowa","2,036.27","1,239.16","3,275.43","1,272.39","745.39","2,017.79"
"2007","Iowa","2,112.80","1,287.23","3,400.03","1,269.77","748.54","2,018.31"
"2008","Iowa","2,201.16","1,305.55","3,506.71","1,243.29","724.83","1,968.12"
"2009","Iowa","2,154.10","1,295.45","3,449.55","1,205.27","693.34","1,898.61"
"2010","Iowa","2,161.53","1,315.15","3,476.69","1,204.06","696.23","1,900.29"
"2011","Iowa","2,252.39","1,388.14","3,640.53","1,198.33","716.81","1,915.14"
"2012","Iowa","2,372.47","1,460.22","3,832.70","1,229.99","732.72","1,962.71"
"2013","Iowa","2,398.78","1,548.49","3,947.27","1,236.79","758.70","1,995.49"
"2014","Iowa","2,455.76","1,651.15","4,106.91","1,235.49","787.25","2,022.74"
"2015","Iowa","2,542.53","1,792.85","4,335.38","1,272.11","829.46","2,101.58"
"2016","Iowa","2,583.53","1,889.12","4,472.65","1,310.05","852.20","2,162.25"
"2017","Iowa","2,681.39","2,002.67","4,684.07","1,364.54","888.58","2,253.12"
"2018","Iowa","2,703.33","2,066.71","4,770.05","1,375.31","895.58","2,270.89"
"2019","Iowa","2,754.46","2,127.93","4,882.39","1,394.44","898.11","2,292.56"
"2020","Iowa","2,843.49","1,908.39","4,751.88","1,399.13","785.45","2,184.58"
"2021","Iowa","3,110.59","2,372.68","5,483.27","1,479.81","929.27","2,409.07"
"2022","Iowa","3,128.15","2,632.86","5,761.01","1,318.63","948.35","2,266.97"
"2023","Iowa","3,145.03","2,789.24","5,934.27","1,260.01","940.60","2,200.62"
"1997","Kansas","1,389.53","967.01","2,356.54","1,039.21","737.45","1,776.67"
"1998","Kansas","1,394.79","1,022.76","2,417.54","1,024.50","760.30","1,784.80"
"1999","Kansas","1,439.45","1,030.25","2,469.70","1,035.50","747.02","1,782.53"
"2000","Kansas","1,455.81","1,072.62","2,528.43","1,023.60","756.35","1,779.96"
"2001","Kansas","1,506.00","1,106.55","2,612.55","1,026.90","758.50","1,785.40"
"2002","Kansas","1,467.57","1,138.78","2,606.35","993.05","764.16","1,757.21"
"2003","Kansas","1,594.34","1,182.99","2,777.33","1,063.82","778.32","1,842.14"
"2004","Kansas","1,694.49","1,237.78","2,932.26","1,098.79","790.97","1,889.76"
"2005","Kansas","1,769.31","1,281.94","3,051.25","1,123.27","792.14","1,915.41"
"2006","Kansas","1,877.76","1,340.00","3,217.76","1,173.34","806.05","1,979.39"
"2007","Kansas","1,971.87","1,378.73","3,350.59","1,185.07","801.74","1,986.81"
"2008","Kansas","2,076.24","1,419.42","3,495.66","1,172.73","788.05","1,960.78"
"2009","Kansas","2,003.80","1,407.90","3,411.70","1,121.18","753.53","1,874.71"
"2010","Kansas","1,983.78","1,432.34","3,416.12","1,105.05","758.27","1,863.32"
"2011","Kansas","2,066.18","1,515.81","3,581.98","1,099.26","782.74","1,882.00"
"2012","Kansas","2,180.84","1,596.71","3,777.55","1,130.64","801.21","1,931.85"
"2013","Kansas","2,278.45","1,654.18","3,932.63","1,174.75","810.49","1,985.24"
"2014","Kansas","2,394.73","1,746.11","4,140.84","1,204.78","832.52","2,037.31"
"2015","Kansas","2,451.52","1,887.31","4,338.84","1,226.58","873.17","2,099.75"
"2016","Kansas","2,502.55","1,983.04","4,485.59","1,268.99","894.57","2,163.56"
"2017","Kansas","2,616.25","2,091.30","4,707.56","1,331.39","927.90","2,259.30"
"2018","Kansas","2,641.36","2,170.43","4,811.80","1,343.78","940.53","2,284.31"
"2019","Kansas","2,673.22","2,257.17","4,930.40","1,353.32","952.66","2,305.98"
"2020","Kansas","2,811.34","2,091.95","4,903.29","1,383.31","861.00","2,244.31"
"2021","Kansas","2,987.85","2,589.26","5,577.12","1,421.42","1,014.10","2,435.51"
"2022","Kansas","3,218.94","2,895.35","6,114.29","1,356.90","1,042.90","2,399.80"
"2023","Kansas","3,130.49","3,061.68","6,192.17","1,254.19","1,032.48","2,286.66"
"1997","Kentucky","1,277.46","983.40","2,260.86","950.08","755.13","1,705.21"
"1998","Kentucky","1,305.75","1,017.88","2,323.62","956.94","761.54","1,718.48"
"1999","Kentucky","1,380.33","1,049.94","2,430.27","995.80","766.78","1,762.59"
"2000","Kentucky","1,397.53","1,059.73","2,457.25","981.84","756.77","1,738.61"
"2001","Kentucky","1,440.20","1,094.95","2,535.15","983.70","761.49","1,745.19"
"2002","Kentucky","1,457.29","1,122.23","2,579.52","982.59","763.12","1,745.71"
"2003","Kentucky","1,530.81","1,181.50","2,712.31","1,010.34","784.68","1,795.01"
"2004","Kentucky","1,640.55","1,264.98","2,905.53","1,041.69","814.91","1,856.60"
"2005","Kentucky","1,758.16","1,322.09","3,080.25","1,094.11","827.75","1,921.86"
"2006","Kentucky","1,832.75","1,390.79","3,223.53","1,118.83","844.83","1,963.65"
"2007","Kentucky","1,955.80","1,449.67","3,405.47","1,145.89","851.51","1,997.40"
"2008","Kentucky","2,032.71","1,474.45","3,507.16","1,115.92","827.95","1,943.87"
"2009","Kentucky","1,963.75","1,451.65","3,415.40","1,069.91","786.59","1,856.50"
"2010","Kentucky","2,000.49","1,482.55","3,483.04","1,083.55","793.23","1,876.78"
"2011","Kentucky","2,054.84","1,554.07","3,608.92","1,058.80","813.40","1,872.20"
"2012","Kentucky","2,172.20","1,631.18","3,803.37","1,089.82","830.90","1,920.72"
"2013","Kentucky","2,175.50","1,710.04","3,885.53","1,078.66","851.52","1,930.18"
"2014","Kentucky","2,265.15","1,817.19","4,082.34","1,096.39","884.05","1,980.45"
"2015","Kentucky","2,282.78","1,969.86","4,252.64","1,093.64","929.95","2,023.59"
"2016","Kentucky","2,285.45","2,087.75","4,373.20","1,110.69","966.29","2,076.98"
"2017","Kentucky","2,436.56","2,208.26","4,644.82","1,186.77","1,001.89","2,188.66"
"2018","Kentucky","2,506.46","2,282.81","4,789.27","1,217.17","1,014.31","2,231.49"
"2019","Kentucky","2,496.17","2,388.88","4,885.05","1,203.89","1,029.78","2,233.67"
"2020","Kentucky","2,633.03","2,146.82","4,779.85","1,226.73","900.84","2,127.57"
"2021","Kentucky","2,778.55","2,642.78","5,421.33","1,251.54","1,067.67","2,319.21"
"2022","Kentucky","2,827.24","2,926.24","5,753.48","1,143.37","1,096.94","2,240.31"
"2023","Kentucky","2,833.31","3,150.57","5,983.87","1,087.70","1,102.60","2,190.30"
"1997","Louisiana","1,327.92","969.56","2,297.48","987.60","744.51","1,732.11"
"1998","Louisiana","1,348.11","1,009.75","2,357.86","987.99","755.46","1,743.45"
"1999","Louisiana","1,416.47","1,060.01","2,476.48","1,021.88","774.14","1,796.01"
"2000","Louisiana","1,419.19","1,129.27","2,548.45","997.06","806.43","1,803.49"
"2001","Louisiana","1,443.47","1,160.76","2,604.22","985.93","807.25","1,793.18"
"2002","Louisiana","1,423.74","1,184.37","2,608.11","959.97","805.37","1,765.34"
"2003","Louisiana","1,445.69","1,267.80","2,713.48","954.15","841.99","1,796.14"
"2004","Louisiana","1,506.23","1,364.95","2,871.17","956.40","879.31","1,835.71"
"2005","Louisiana","1,581.23","1,385.52","2,966.75","984.01","867.46","1,851.47"
"2006","Louisiana","1,716.70","1,478.64","3,195.35","1,047.99","898.19","1,946.18"
"2007","Louisiana","1,811.44","1,566.26","3,377.70","1,061.31","919.99","1,981.30"
"2008","Louisiana","1,915.95","1,599.70","3,515.65","1,051.82","898.28","1,950.10"
"2009","Louisiana","1,907.35","1,591.29","3,498.64","1,039.18","862.26","1,901.44"
"2010","Louisiana","1,953.63","1,619.03","3,572.65","1,058.17","866.25","1,924.42"
"2011","Louisiana","2,069.85","1,732.41","3,802.26","1,066.53","906.75","1,973.27"
"2012","Louisiana","2,241.25","1,826.60","4,067.85","1,124.47","930.44","2,054.91"
"2013","Louisiana","2,231.81","1,920.38","4,152.19","1,106.58","956.26","2,062.84"
"2014","Louisiana","2,297.13","2,073.23","4,370.36","1,111.87","1,008.62","2,120.49"
"2015","Louisiana","2,318.69","2,249.55","4,568.24","1,110.84","1,061.99","2,172.83"
"2016","Louisiana","2,317.42","2,390.23","4,707.65","1,126.23","1,106.29","2,232.52"
"2017","Louisiana","2,470.86","2,525.29","4,996.15","1,203.47","1,145.73","2,349.20"
"2018","Louisiana","2,532.78","2,655.19","5,187.97","1,229.95","1,179.77","2,409.73"
"2019","Louisiana","2,585.72","2,763.84","5,349.55","1,247.08","1,191.42","2,438.50"
"2020","Louisiana","2,730.41","2,440.72","5,171.13","1,272.10","1,024.17","2,296.26"
"2021","Louisiana","3,061.92","3,014.99","6,076.91","1,379.18","1,218.04","2,597.22"
"2022","Louisiana","3,016.40","3,310.59","6,326.99","1,219.87","1,241.02","2,460.89"
"2023","Louisiana","3,087.95","3,538.92","6,626.87","1,185.46","1,238.51","2,423.96"
"1997","Maine","1,646.39","1,112.13","2,758.53","1,215.39","880.79","2,096.18"
"1998","Maine","1,734.03","1,173.12","2,907.15","1,261.30","906.37","2,167.67"
"1999","Maine","1,843.84","1,225.97","3,069.82","1,313.09","920.75","2,233.84"
"2000","Maine","1,943.44","1,318.76","3,262.19","1,362.01","969.70","2,331.71"
"2001","Maine","2,079.41","1,369.73","3,449.14","1,412.38","978.16","2,390.54"
"2002","Maine","2,135.16","1,415.34","3,550.50","1,434.69","986.21","2,420.91"
"2003","Maine","2,116.33","1,421.88","3,538.21","1,390.63","970.44","2,361.07"
"2004","Maine","2,237.41","1,488.54","3,725.95","1,407.99","989.23","2,397.22"
"2005","Maine","2,306.67","1,522.34","3,829.01","1,414.19","983.76","2,397.95"
"2006","Maine","2,368.06","1,592.29","3,960.35","1,419.64","992.92","2,412.57"
"2007","Maine","2,505.98","1,641.26","4,147.24","1,445.88","982.03","2,427.91"
"2008","Maine","2,607.96","1,659.14","4,267.10","1,416.92","950.05","2,366.97"
"2009","Maine","2,508.20","1,655.39","4,163.59","1,349.40","916.68","2,266.08"
"2010","Maine","2,462.40","1,712.93","4,175.33","1,312.34","933.98","2,246.33"
"2011","Maine","2,524.95","1,786.20","4,311.15","1,290.18","950.60","2,240.78"
"2012","Maine","2,598.08","1,861.03","4,459.11","1,292.12","964.55","2,256.67"
"2013","Maine","2,721.09","2,006.34","4,727.43","1,342.10","1,022.63","2,364.73"
"2014","Maine","2,833.81","2,184.13","5,017.94","1,374.23","1,089.26","2,463.49"
"2015","Maine","2,880.63","2,387.09","5,267.71","1,377.92","1,163.42","2,541.35"
"2016","Maine","2,979.33","2,569.64","5,548.97","1,444.46","1,219.92","2,664.38"
"2017","Maine","3,079.25","2,806.21","5,885.46","1,490.59","1,301.60","2,792.19"
"2018","Maine","3,258.09","2,951.63","6,209.72","1,557.96","1,332.25","2,890.21"
"2019","Maine","3,377.85","3,077.18","6,455.03","1,602.39","1,350.20","2,952.59"
"2020","Maine","3,533.94","2,559.21","6,093.15","1,620.89","1,083.73","2,704.63"
"2021","Maine","3,832.02","3,274.24","7,106.25","1,717.29","1,323.49","3,040.77"
"2022","Maine","3,948.68","3,677.87","7,626.55","1,606.92","1,390.86","2,997.77"
"2023","Maine","3,913.04","3,897.63","7,810.67","1,519.75","1,379.25","2,898.99"
"1997","Maryland","1,502.63","1,035.57","2,538.20","1,117.54","795.19","1,912.73"
"1998","Maryland","1,496.23","1,085.55","2,581.78","1,096.54","812.17","1,908.71"
"1999","Maryland","1,571.13","1,121.07","2,692.20","1,133.45","818.73","1,952.18"
"2000","Maryland","1,629.70","1,179.36","2,809.06","1,144.95","842.20","1,987.15"
"2001","Maryland","1,687.39","1,208.63","2,896.02","1,152.53","840.55","1,993.08"
"2002","Maryland","1,691.00","1,279.19","2,970.19","1,140.17","869.85","2,010.02"
"2003","Maryland","1,781.55","1,368.21","3,149.76","1,175.83","908.67","2,084.50"
"2004","Maryland","1,835.40","1,470.44","3,305.84","1,165.42","947.27","2,112.69"
"2005","Maryland","1,830.77","1,565.09","3,395.86","1,139.30","979.88","2,119.18"
"2006","Maryland","1,963.35","1,655.29","3,618.64","1,198.56","1,005.50","2,204.06"
"2007","Maryland","2,067.99","1,758.28","3,826.27","1,211.62","1,032.78","2,244.40"
"2008","Maryland","2,114.08","1,810.62","3,924.70","1,160.59","1,016.72","2,177.31"
"2009","Maryland","2,023.66","1,749.10","3,772.76","1,102.55","947.77","2,050.32"
"2010","Maryland","2,026.62","1,755.08","3,781.70","1,097.70","939.04","2,036.75"
"2011","Maryland","2,047.41","1,824.66","3,872.07","1,054.96","955.03","2,009.99"
"2012","Maryland","2,097.08","1,928.99","4,026.08","1,052.14","982.60","2,034.74"
"2013","Maryland","2,178.63","2,028.81","4,207.45","1,080.21","1,010.26","2,090.47"
"2014","Maryland","2,216.46","2,163.98","4,380.44","1,072.82","1,052.77","2,125.59"
"2015","Maryland","2,183.17","2,343.25","4,526.43","1,045.92","1,106.22","2,152.14"
"2016","Maryland","2,191.89","2,472.34","4,664.23","1,065.22","1,144.30","2,209.52"
"2017","Maryland","2,184.76","2,627.73","4,812.49","1,064.12","1,192.21","2,256.33"
"2018","Maryland","2,245.16","2,718.57","4,963.73","1,090.28","1,207.93","2,298.21"
"2019","Maryland","2,275.78","2,822.04","5,097.82","1,097.60","1,216.51","2,314.11"
"2020","Maryland","2,384.32","2,320.49","4,704.81","1,110.86","973.72","2,084.57"
"2021","Maryland","2,610.78","2,897.70","5,508.48","1,175.97","1,170.65","2,346.63"
"2022","Maryland","3,023.41","3,312.54","6,335.95","1,222.70","1,241.75","2,464.45"
"2023","Maryland","3,118.06","3,552.13","6,670.20","1,197.02","1,243.13","2,440.15"
"1997","Massachusetts","1,505.62","1,230.42","2,736.03","1,111.47","974.46","2,085.93"
"1998","Massachusetts","1,534.05","1,291.49","2,825.54","1,115.84","997.82","2,113.67"
"1999","Massachusetts","1,618.63","1,353.56","2,972.19","1,152.71","1,016.58","2,169.28"
"2000","Massachusetts","1,601.75","1,413.01","3,014.76","1,122.55","1,039.00","2,161.55"
"2001","Massachusetts","1,638.46","1,465.01","3,103.47","1,112.88","1,046.20","2,159.08"
"2002","Massachusetts","1,683.98","1,545.05","3,229.03","1,131.53","1,076.60","2,208.12"
"2003","Massachusetts","1,703.47","1,615.67","3,319.14","1,119.34","1,102.71","2,222.05"
"2004","Massachusetts","1,753.01","1,707.77","3,460.78","1,103.16","1,134.92","2,238.08"
"2005","Massachusetts","1,807.62","1,782.19","3,589.81","1,108.22","1,151.68","2,259.91"
"2006","Massachusetts","1,851.18","1,877.91","3,729.09","1,109.78","1,171.03","2,280.81"
"2007","Massachusetts","1,906.75","1,974.57","3,881.32","1,100.14","1,181.45","2,281.59"
"2008","Massachusetts","1,978.56","2,010.49","3,989.05","1,074.97","1,151.24","2,226.21"
"2009","Massachusetts","1,948.95","1,979.63","3,928.57","1,048.52","1,096.23","2,144.75"
"2010","Massachusetts","1,998.83","2,071.53","4,070.36","1,065.28","1,129.52","2,194.80"
"2011","Massachusetts","2,103.05","2,188.74","4,291.79","1,074.60","1,164.83","2,239.43"
"2012","Massachusetts","2,159.89","2,306.13","4,466.02","1,074.20","1,195.24","2,269.43"
"2013","Massachusetts","2,217.84","2,421.37","4,639.21","1,093.89","1,234.17","2,328.06"
"2014","Massachusetts","2,278.30","2,592.91","4,871.21","1,104.84","1,293.13","2,397.97"
"2015","Massachusetts","2,344.72","2,807.23","5,151.96","1,121.58","1,368.19","2,489.77"
"2016","Massachusetts","2,365.93","2,991.77","5,357.70","1,147.06","1,420.32","2,567.39"
"2017","Massachusetts","2,421.43","3,205.01","5,626.44","1,172.16","1,486.57","2,658.73"
"2018","Massachusetts","2,510.31","3,351.42","5,861.73","1,200.38","1,512.70","2,713.08"
"2019","Massachusetts","2,585.50","3,476.79","6,062.30","1,226.51","1,525.55","2,752.06"
"2020","Massachusetts","2,637.35","2,687.89","5,325.24","1,209.66","1,138.23","2,347.89"
"2021","Massachusetts","2,732.36","3,484.36","6,216.72","1,224.48","1,408.42","2,632.91"
"2022","Massachusetts","3,132.92","4,220.73","7,353.65","1,274.94","1,596.15","2,871.09"
"2023","Massachusetts","3,175.14","4,715.24","7,890.38","1,233.16","1,668.57","2,901.73"
"1997","Michigan","1,238.73","944.11","2,182.84","926.44","719.99","1,646.42"
"1998","Michigan","1,252.66","972.02","2,224.68","920.11","722.58","1,642.69"
"1999","Michigan","1,310.74","994.92","2,305.66","942.91","721.41","1,664.32"
"2000","Michigan","1,387.82","1,077.33","2,465.15","975.80","759.68","1,735.47"
"2001","Michigan","1,423.89","1,091.03","2,514.92","970.91","747.86","1,718.78"
"2002","Michigan","1,407.00","1,135.67","2,542.67","952.06","762.07","1,714.13"
"2003","Michigan","1,427.93","1,170.67","2,598.59","952.78","770.21","1,722.99"
"2004","Michigan","1,466.17","1,226.26","2,692.43","950.74","783.61","1,734.35"
"2005","Michigan","1,501.67","1,271.85","2,773.52","953.35","785.91","1,739.26"
"2006","Michigan","1,533.99","1,320.86","2,854.85","958.54","794.54","1,753.08"
"2007","Michigan","1,576.19","1,352.74","2,928.93","947.27","786.63","1,733.90"
"2008","Michigan","1,627.37","1,367.93","2,995.30","919.19","759.46","1,678.66"
"2009","Michigan","1,588.50","1,333.70","2,922.20","888.81","713.81","1,602.62"
"2010","Michigan","1,637.15","1,368.13","3,005.27","911.96","724.28","1,636.23"
"2011","Michigan","1,705.01","1,443.13","3,148.14","907.11","745.21","1,652.32"
"2012","Michigan","1,815.61","1,532.54","3,348.15","941.29","769.01","1,710.30"
"2013","Michigan","1,907.20","1,606.87","3,514.07","983.33","787.31","1,770.64"
"2014","Michigan","2,000.78","1,719.14","3,719.92","1,006.59","819.67","1,826.25"
"2015","Michigan","2,042.22","1,854.04","3,896.25","1,021.79","857.77","1,879.56"
"2016","Michigan","2,106.85","1,972.09","4,078.95","1,068.34","889.63","1,957.97"
"2017","Michigan","2,267.45","2,094.33","4,361.78","1,153.89","929.25","2,083.14"
"2018","Michigan","2,290.49","2,157.17","4,447.66","1,165.27","934.78","2,100.05"
"2019","Michigan","2,324.14","2,230.65","4,554.79","1,176.60","941.47","2,118.07"
"2020","Michigan","2,351.40","1,833.80","4,185.20","1,157.00","754.75","1,911.75"
