"HOUSEHOLD DATA
ANNUAL AVERAGES
11. Employed persons by detailed occupation, sex, race, and Hispanic or Latino ethnicity","","","","","",""
"Pipelayers","54","1.4","84.6","7.8","0","49.7"
"Plumbers, pipefitters, and steamfitters","635","2.2","84.7","10.1","2.2","28.3"
"Plasterers and stucco masons","21","–","–","–","–","–"
"Reinforcing iron and rebar workers","11","–","–","–","–","–"
"Roofers","235","4.4","88.5","5.5","0.5","63.1"
"Sheet metal workers","127","6.5","85.5","9.9","1.5","16.9"
"Structural iron and steel workers","42","–","–","–","–","–"
"Solar photovoltaic installers","20","–","–","–","–","–"
"Helpers, construction trades","64","6.2","88.4","5.3","1.3","51.8"
"Construction and building inspectors","115","10.5","80.9","9.4","5.4","20.6"
"Elevator and escalator installers and repairers","46","–","–","–","–","–"
"Fence erectors","40","–","–","–","–","–"
"Hazardous materials removal workers","25","–","–","–","–","–"
"Highway maintenance workers","93","2.2","84.3","11","2.6","20.8"
"Rail-track laying and maintenance equipment operators","22","–","–","–","–","–"
"Septic tank servicers and sewer pipe cleaners","7","–","–","–","–","–"
"Miscellaneous construction and related workers","65","7.5","94.9","4.1","0","42.4"
"Derrick, rotary drill, and service unit operators, oil and gas","24","–","–","–","–","–"
"Excavating and loading machine and dragline operators, surface mining","10","–","–","–","–","–"
"Earth drillers, except oil and gas","25","–","–","–","–","–"
"Explosives workers, ordnance handling experts, and blasters","8","–","–","–","–","–"
"Underground mining machine operators","38","–","–","–","–","–"
"Roustabouts, oil and gas","8","–","–","–","–","–"
"Other extraction workers","47","–","–","–","–","–"
"Installation, maintenance, and repair occupations","4881","4.1","84","9.4","2.9","21.6"
"First-line supervisors of mechanics, installers, and repairers","239","7.1","90.3","5.6","1.8","15.2"
"Computer, automated teller, and office machine repairers","134","13.8","71.5","14.7","10.8","9.3"
"Radio and telecommunications equipment installers and repairers","116","5.9","82.6","11.5","3","18.2"
"Avionics technicians","12","–","–","–","–","–"
"Electric motor, power tool, and related repairers","22","–","–","–","–","–"
"Electrical and electronics installers and repairers, transportation equipment","1","–","–","–","–","–"
"Electrical and electronics repairers, industrial and utility","6","–","–","–","–","–"
"Electronic equipment installers and repairers, motor vehicles","5","–","–","–","–","–"
"Audiovisual equipment installers and repairers","26","–","–","–","–","–"
"Security and fire alarm systems installers","48","–","–","–","–","–"
"Aircraft mechanics and service technicians","124","4.3","83.4","9.5","5","21.1"
"Automotive body and related repairers","127","6.8","85.9","9.6","1.8","21.6"
"Automotive glass installers and repairers","24","–","–","–","–","–"
"Automotive service technicians and mechanics","933","2.5","82.9","8.1","3.5","28.7"
"Bus and truck mechanics and diesel engine specialists","334","1.6","87.4","6.9","1.8","20.6"
"Heavy vehicle and mobile equipment service technicians and mechanics","201","2.3","94.7","3.7","0.2","19.3"
"Small engine mechanics","41","–","–","–","–","–"
"Miscellaneous vehicle and mobile equipment mechanics, installers, and repairers","90","3.2","93.9","4.5","0.1","22.7"
"Control and valve installers and repairers","26","–","–","–","–","–"
"Heating, air conditioning, and refrigeration mechanics and installers","546","2.3","86.1","9.5","0.7","23.1"
"Home appliance repairers","41","–","–","–","–","–"
"Industrial and refractory machinery mechanics","416","3.9","81.7","9.9","5.5","18.9"
"Maintenance and repair workers, general","672","4.7","79.6","12.2","3.6","24"
"Maintenance workers, machinery","22","–","–","–","–","–"
"Millwrights","42","–","–","–","–","–"
"Electrical power-line installers and repairers","130","2.3","94.6","4.1","0","13.6"
"Telecommunications line installers and repairers","160","5.3","77.2","19.2","0.6","12.9"
"Precision instrument and equipment repairers","46","–","–","–","–","–"
"Wind turbine service technicians","7","–","–","–","–","–"
"Coin, vending, and amusement machine servicers and repairers","33","–","–","–","–","–"
"Commercial divers","1","–","–","–","–","–"
"Locksmiths and safe repairers","29","–","–","–","–","–"
"Manufactured building and mobile home installers","5","–","–","–","–","–"
"Riggers","14","–","–","–","–","–"
"Helpers--installation, maintenance, and repair workers","18","–","–","–","–","–"
"Other installation, maintenance, and repair workers","190","4.1","85","6.9","3.6","33.5"
"","","","","","",""
"Production, transportation, and material moving occupations","19986","24.9","73.2","17.8","4.8","25.1"
"Production occupations","8280","29.9","76.1","14.7","5.4","25.6"
"First-line supervisors of production and operating workers","776","23.5","76.7","14","6.4","18.5"
"Aircraft structure, surfaces, rigging, and systems assemblers","10","–","–","–","–","–"
"Electrical, electronics, and electromechanical assemblers","114","45.9","60","24.8","14.9","24.9"
"Engine and other machine assemblers","15","–","–","–","–","–"
"Structural metal fabricators and fitters","22","–","–","–","–","–"
"Other assemblers and fabricators","1048","37.1","67.8","21.3","7.3","25.5"
"Bakers","233","65.5","80.2","7.4","5.6","37.1"
"Butchers and other meat, poultry, and fish processing workers","243","27.6","72","16.3","7.3","36.6"
"Food and tobacco roasting, baking, and drying machine operators and tenders","8","–","–","–","–","–"
"Food batchmakers","79","55.7","80.7","14.7","3.6","32.3"
"Food cooking machine operators and tenders","10","–","–","–","–","–"
"Food processing workers, all other","140","27.3","69.6","22.1","3.1","39.9"
"Computer numerically controlled tool operators and programmers","100","7.8","82.2","6.8","6.1","23.3"
"Forming machine setters, operators, and tenders, metal and plastic","34","–","–","–","–","–"
"Cutting, punching, and press machine setters, operators, and tenders, metal and plastic","74","7","88.9","8.2","0.7","21.7"
"Grinding, lapping, polishing, and buffing machine tool setters, operators, and tenders, metal and plastic","38","–","–","–","–","–"
"Other machine tool setters, operators, and tenders, metal and plastic","6","–","–","–","–","–"
"Machinists","307","6.3","82.9","6","7.5","13.3"
"Metal furnace operators, tenders, pourers, and casters","16","–","–","–","–","–"
"Model makers and patternmakers, metal and plastic","4","–","–","–","–","–"
"Molders and molding machine setters, operators, and tenders, metal and plastic","29","–","–","–","–","–"
"Tool and die makers","39","–","–","–","–","–"
"Welding, soldering, and brazing workers","559","5.8","82.6","11.1","2.3","26.4"
"Other metal workers and plastic workers","361","20.8","73.8","16","7.5","21.1"
"Prepress technicians and workers","15","–","–","–","–","–"
"Printing press operators","148","24.7","80.9","14.7","3.8","22"
"Print binding and finishing workers","13","–","–","–","–","–"
"Laundry and dry-cleaning workers","121","74.5","76.6","13","5.3","44.4"
"Pressers, textile, garment, and related materials","28","–","–","–","–","–"
"Sewing machine operators","129","70.7","82.7","10.9","4.4","41.1"
"Shoe and leather workers","13","–","–","–","–","–"
"Tailors, dressmakers, and sewers","51","81.4","79.9","6.3","12.5","28.6"
"Textile machine setters, operators, and tenders","21","–","–","–","–","–"
"Upholsterers","17","–","–","–","–","–"
"Other textile, apparel, and furnishings workers","14","–","–","–","–","–"
"Cabinetmakers and bench carpenters","60","5.5","91.6","3.3","0.7","16.4"
"Furniture finishers","16","–","–","–","–","–"
"Sawing machine setters, operators, and tenders, wood","23","–","–","–","–","–"
"Woodworking machine setters, operators, and tenders, except sawing","28","–","–","–","–","–"
"Other woodworkers","27","–","–","–","–","–"
"Power plant operators, distributors, and dispatchers","46","–","–","–","–","–"
"Stationary engineers and boiler operators","73","7.1","83.5","11.2","3.1","16.5"
"Water and wastewater treatment plant and system operators","89","7.3","84.5","11.5","0","12.7"
"Miscellaneous plant and system operators","37","–","–","–","–","–"
"Chemical processing machine setters, operators, and tenders","45","–","–","–","–","–"
"Crushing, grinding, polishing, mixing, and blending workers","87","15.5","70.8","14.8","6.1","24.1"
"Cutting workers","56","31.1","74.5","16.5","5.2","30.2"
"Extruding, forming, pressing, and compacting machine setters, operators, and tenders","14","–","–","–","–","–"
"Furnace, kiln, oven, drier, and kettle operators and tenders","10","–","–","–","–","–"
"Inspectors, testers, sorters, samplers, and weighers","793","39","74.5","13.5","6.9","17.8"
"Jewelers and precious stone and metal workers","58","46","77.8","4.9","10.8","29.3"
"Dental and ophthalmic laboratory technicians and medical appliance technicians","76","58.9","85","3.8","8.7","17.4"
"Packaging and filling machine operators and tenders","301","57.3","67.4","24.5","4.6","48.4"
"Painting workers","142","11.3","80.4","13.8","2.7","36.2"
"Photographic process workers and processing machine operators","30","–","–","–","–","–"
"Adhesive bonding machine operators and tenders","10","–","–","–","–","–"
"Etchers and engravers","8","–","–","–","–","–"
"Molders, shapers, and casters, except metal and plastic","32","–","–","–","–","–"
"Paper goods machine setters, operators, and tenders","15","–","–","–","–","–"
"Tire builders","9","–","–","–","–","–"
"Helpers--production workers","68","44.4","83.5","11.2","3.3","30.9"
"Other production equipment operators and tenders","8","–","–","–","–","–"
"Other production workers","1280","28.8","75.1","16.8","4.1","28.1"
"Transportation and material moving occupations","11706","21.4","71.1","20.1","4.4","24.8"
"Supervisors of transportation and material moving workers","349","25.5","67.6","19.6","8.6","19.3"
"Aircraft pilots and flight engineers","211","8.3","92.4","3.6","2.7","10.7"
"Air traffic controllers and airfield operations specialists","39","–","–","–","–","–"
"Flight attendants","115","78","79.7","16.3","3.7","20"
"Ambulance drivers and attendants, except emergency medical technicians","16","–","–","–","–","–"
"Bus drivers, school","218","56.1","72.7","23.7","1.1","14.8"
"Bus drivers, transit and intercity","284","37.2","61.4","32.5","3.1","19.4"
"Driver/sales workers and truck drivers","3551","6.9","72.4","20.5","3.5","24.1"
"Shuttle drivers and chauffeurs","78","10.7","55.9","30","9.6","14.2"
"Taxi drivers","456","15.3","52.5","24.9","19.5","23.9"
"Motor vehicle operators, all other","212","18.2","61.9","27.4","4.9","19.1"
"Locomotive engineers and operators","44","–","–","–","–","–"
"Railroad conductors and yardmasters","48","–","–","–","–","–"
"Other rail transportation workers","24","–","–","–","–","–"
"Sailors and marine oilers","17","–","–","–","–","–"
"Ship and boat captains and operators","42","–","–","–","–","–"
"Ship engineers","1","–","–","–","–","–"
"Parking attendants","61","13.5","66.6","22.6","9.3","41.8"
"Transportation service attendants","79","23.4","76.8","12.2","1.2","18.5"
"Transportation inspectors","35","–","–","–","–","–"
"Passenger attendants","26","–","–","–","–","–"
"Other transportation workers","36","–","–","–","–","–"
"Crane and tower operators","60","2.9","88.5","9","0.4","20.3"
"Conveyor, dredge, and hoist and winch operators","37","–","–","–","–","–"
"Industrial truck and tractor operators","629","9.5","68.2","24.6","1.9","31.1"
"Cleaners of vehicles and equipment","401","20.4","73.2","19.7","3.3","33.5"
"Laborers and freight, stock, and material movers, hand","2090","24.2","72.2","19.3","2.7","27.1"
"Machine feeders and offbearers","30","–","–","–","–","–"
"Packers and packagers, hand","690","51.7","61.8","25.8","6.3","35.3"
"Stockers and order fillers","1640","36.5","74.7","15.5","4.8","23.6"
"Pumping station operators","21","–","–","–","–","–"
"Refuse and recyclable material collectors","112","12.8","79.2","17.1","0.3","33.7"
"Other material moving workers","55","19.3","86.8","10.3","0.4","18.7"
"","","","","","",""
"NOTE: Estimates for the above race groups (White, Black or African American, and Asian) do not sum to totals because data are not presented for all races. Persons whose ethnicity is identified as Hispanic or Latino may be of any race. Updated population controls are introduced annually with the release of January data. Dash indicates no data or data that do not meet publication criteria (values not shown where base is less than 50,000).","","","","","",""
