"TABLE 3. Number of hours worked and percent relative standard errors by detailed industry, 2020 [thousands]                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             ","","",""
"Industry1                                                                                                              ","NAICS Code2                                                                                                            ","Total hours worked","Percent relative standard errors"
"    Other general purpose machinery manufacturing","3339","510690.8","001.9"
"     Pump and compressor manufacturing","33391","88536.1","004.2"
"      Air and gas compressor manufacturing","333912","34946.4","007.0"
"      Measuring, dispensing, and other pumping equipment manufacturing3","333914","53589.7","005.3"
"     Material handling equipment manufacturing","33392","158773.6","003.4"
"      Conveyor and conveying equipment manufacturing","333922","67565.8","004.8"
"      Industrial truck, tractor, trailer, and stacker machinery manufacturing","333924","43125.4","005.4"
"     All other general purpose machinery manufacturing","33399","263381.2","002.8"
"      Power-driven handtool manufacturing","333991","18728.5","009.4"
"      Welding and soldering equipment manufacturing","333992","30460.7","007.9"
"      Packaging machinery manufacturing","333993","44267.7","008.2"
"      Industrial process furnace and oven manufacturing","333994","18043.6","014.2"
"      Fluid power cylinder and actuator manufacturing","333995","32793.4","006.7"
"      Fluid power pump and motor manufacturing","333996","34966.6","005.3"
"      All other miscellaneous general purpose machinery manufacturing","333999","76616.3","005.2"
"   Computer and electronic product manufacturing","334","2048169.9","003.1"
"    Computer and peripheral equipment manufacturing","3341","-","-"
"     Computer and peripheral equipment manufacturing","33411","-","-"
"      Computer storage device manufacturing","334112","34486.3","007.5"
"      Computer terminal and other computer peripheral equipment manufacturing","334118","56957.0","007.0"
"    Communications equipment manufacturing","3342","171125.6","004.0"
"     Radio and television broadcasting and wireless communications equipment manufacturing","33422","102741.6","005.3"
"     Other communications equipment manufacturing","33429","35820.7","007.6"
"    Audio and video equipment manufacturing","3343","36742.3","003.9"
"    Semiconductor and other electronic component manufacturing","3344","720922.0","003.2"
"     Semiconductor and other electronic component manufacturing","33441","720922.0","003.2"
"      Bare printed circuit board manufacturing","334412","54667.0","005.2"
"      Semiconductor and related device manufacturing","334413","357137.1","005.9"
"      Capacitor, resistor, coil, transformer, and other inductor manufacturing","334416","33402.1","008.2"
"      Electronic connector manufacturing","334417","43178.5","006.4"
"      Printed circuit assembly (electronic assembly) manufacturing","334418","114427.3","004.8"
"    Navigational, measuring, electromedical, and control instruments manufacturing","3345","828323.4","002.6"
"     Navigational, measuring, electromedical, and control instruments manufacturing","33451","828323.4","002.6"
"      Electromedical and electrotherapeutic apparatus manufacturing","334510","134458.1","009.7"
"      Search, detection, navigation, guidance, aeronautical, and nautical system and instrument manufacturing","334511","271740.5","004.6"
"      Automatic environmental control manufacturing for residential, commercial, and appliance use","334512","27301.0","008.9"
"      Instruments and related products manufacturing for measuring, displaying, and controlling industrial process variables","334513","119963.4","003.9"
"      Totalizing fluid meter and counting device manufacturing","334514","19908.6","010.4"
"      Instrument manufacturing for measuring and testing electricity and electrical signals","334515","75188.8","007.5"
"      Analytical laboratory instrument manufacturing","334516","81943.4","006.4"
"      Irradiation apparatus manufacturing","334517","28263.8","010.0"
"      Other measuring and controlling device manufacturing","334519","69555.8","008.4"
"    Manufacturing and reproducing magnetic and optical media","3346","21192.1","014.4"
"     Manufacturing and reproducing magnetic and optical media","33461","21192.1","014.4"
"   Electrical equipment, appliance, and component manufacturing","335","751905.6","001.7"
"    Electric lighting equipment manufacturing","3351","84059.2","005.4"
"     Lighting fixture manufacturing","33512","73100.1","005.7"
"      Residential electric lighting fixture manufacturing","335121","15666.5","012.5"
"      Other lighting equipment manufacturing","335129","14757.1","009.3"
"    Household appliance manufacturing","3352","112448.4","002.3"
"     Small electrical appliance manufacturing","33521","21717.1","007.7"
"     Major household appliance manufacturing","33522","90731.3","002.2"
"    Electrical equipment manufacturing","3353","273282.3","002.6"
"     Electrical equipment manufacturing","33531","273282.3","002.6"
"      Power, distribution, and specialty transformer manufacturing","335311","58545.8","007.1"
"      Motor and generator manufacturing","335312","66209.8","004.9"
"      Switchgear and switchboard apparatus manufacturing","335313","65850.4","005.5"
"      Relay and industrial control manufacturing","335314","82676.3","004.2"
"    Other electrical equipment and component manufacturing","3359","282115.8","003.2"
"     Battery manufacturing","33591","74364.0","008.2"
"      Storage battery manufacturing","335911","48800.2","012.4"
"      Primary battery manufacturing","335912","25563.8","002.5"
"     Communication and energy wire and cable manufacturing","33592","46375.3","006.7"
"      Fiber optic cable manufacturing","335921","21889.5","011.5"
"      Other communication and energy wire manufacturing","335929","24485.9","007.4"
"     Wiring device manufacturing","33593","82383.4","004.0"
"      Current-carrying wiring device manufacturing","335931","61423.7","004.6"
"      Noncurrent-carrying wiring device manufacturing","335932","20959.8","008.4"
"     All other electrical equipment and component manufacturing","33599","78993.0","005.9"
"      Carbon and graphite product manufacturing","335991","17801.2","012.9"
"      All other miscellaneous electrical equipment and component manufacturing","335999","61191.9","006.6"
"   Transportation equipment manufacturing","336","3083261.4","002.0"
"    Motor vehicle manufacturing","3361","377255.4","001.5"
"     Automobile and light duty motor vehicle manufacturing","33611","320422.4","001.5"
"      Automobile manufacturing","336111","218016.1","001.8"
"      Light truck and utility vehicle manufacturing","336112","102406.3","002.9"
"     Heavy duty truck manufacturing","33612","56833.1","005.5"
"    Motor vehicle body and trailer manufacturing","3362","282847.7","002.1"
"     Motor vehicle body and trailer manufacturing","33621","282847.7","002.1"
"      Motor vehicle body manufacturing","336211","109421.7","003.0"
"      Truck trailer manufacturing","336212","74599.7","004.9"
"      Travel trailer and camper manufacturing","336214","71697.6","003.4"
"    Motor vehicle parts manufacturing","3363","986765.1","001.0"
"     Motor vehicle gasoline engine and engine parts manufacturing","33631","106042.7","002.7"
"     Motor vehicle electrical and electronic equipment manufacturing","33632","105185.1","004.1"
"     Motor vehicle steering and suspension components (except spring) manufacturing","33633","59395.0","004.1"
"     Motor vehicle brake system manufacturing","33634","37702.8","004.7"
"     Motor vehicle transmission and power train parts manufacturing","33635","131323.1","002.1"
"     Motor vehicle seating and interior trim manufacturing","33636","126435.1","002.6"
"     Motor vehicle metal stamping","33637","144762.7","002.2"
"     Other motor vehicle parts manufacturing","33639","275918.6","001.9"
"    Aerospace product and parts manufacturing","3364","1053351.8","005.4"
"     Aerospace product and parts manufacturing","33641","1053351.8","005.4"
"      Aircraft manufacturing","336411","461192.7","011.6"
"      Aircraft engine and engine parts manufacturing","336412","182434.4","008.3"
"      Other aircraft parts and auxiliary equipment manufacturing","336413","228070.2","003.3"
"      Guided missile and space vehicle manufacturing","336414","141820.2","004.2"
"      Guided missile and space vehicle propulsion unit and propulsion unit parts manufacturing","336415","26114.4","007.7"
"    Railroad rolling stock manufacturing","3365","46364.6","004.5"
"    Ship and boat building","3366","272443.5","008.9"
"     Ship and boat building","33661","272443.5","008.9"
"      Ship building and repairing","336611","199126.8","012.1"
"      Boat building","336612","73316.7","004.8"
"    Other transportation equipment manufacturing","3369","64233.2","002.9"
"     Other transportation equipment manufacturing","33699","64233.2","002.9"
"      Motorcycle, bicycle, and parts manufacturing","336991","18200.9","006.8"
"      Military armored vehicle, tank, and tank component manufacturing","336992","16733.9","005.6"
"      All other transportation equipment manufacturing","336999","29298.5","003.5"
"   Furniture and related product manufacturing","337","695707.0","001.7"
"    Household and institutional furniture and kitchen cabinet manufacturing","3371","436063.1","002.1"
"     Wood kitchen cabinet and countertop manufacturing","33711","226621.6","003.1"
"     Household and institutional furniture manufacturing","33712","209441.5","002.8"
"      Upholstered household furniture manufacturing","337121","90383.5","003.5"
"      Nonupholstered wood household furniture manufacturing","337122","51623.5","006.1"
"      Metal household furniture manufacturing","337124","10650.5","006.0"
"      Household furniture (except wood and metal) manufacturing","337125","10520.0","015.3"
"      Institutional furniture manufacturing","337127","46264.0","007.3"
"    Office furniture (including fixtures) manufacturing","3372","201080.6","003.4"
"     Office furniture (including fixtures) manufacturing","33721","201080.6","003.4"
"      Wood office furniture manufacturing","337211","33354.7","005.6"
"      Custom architectural woodwork and millwork manufacturing","337212","45103.4","008.4"
"      Office furniture (except wood) manufacturing","337214","44430.4","008.3"
"      Showcase, partition, shelving, and locker manufacturing","337215","78192.1","005.1"
"    Other furniture related product manufacturing","3379","58563.2","004.8"
"     Mattress manufacturing","33791","38765.3","005.1"
"     Blind and shade manufacturing","33792","19797.9","010.0"
"   Miscellaneous manufacturing","339","1132346.3","001.5"
"    Medical equipment and supplies manufacturing","3391","617034.7","002.0"
"     Medical equipment and supplies manufacturing","33911","617034.7","002.0"
"      Surgical and medical instrument manufacturing","339112","270231.6","003.1"
"      Surgical appliance and supplies manufacturing","339113","204260.6","003.1"
"      Dental equipment and supplies manufacturing","339114","28691.1","007.7"
"      Ophthalmic goods manufacturing","339115","42518.8","006.2"
"      Dental laboratories","339116","71332.6","008.2"
"    Other miscellaneous manufacturing","3399","515311.6","002.4"
"     Jewelry and silverware manufacturing","33991","33770.2","008.6"
"     Sporting and athletic goods manufacturing","33992","75340.6","004.0"
"     Office supplies (except paper) manufacturing","33994","18506.4","009.5"
"     Sign manufacturing","33995","142602.5","004.7"
"     All other miscellaneous manufacturing","33999","225336.1","004.0"
"      Gasket, packing, and sealing device manufacturing","339991","55810.6","006.3"
"      Musical instrument manufacturing","339992","19126.9","019.3"
"      Broom, brush, and mop manufacturing","339994","16369.0","008.9"
"      Burial casket manufacturing","339995","6924.8","008.2"
"      All other miscellaneous manufacturing","339999","116223.1","006.0"
"Service providing","","153908813.8","000.2"
" Trade, transportation, and utilities8","","44338224.7","000.3"
"  Wholesale trade","42","11028082.6","000.7"
"   Merchant wholesalers, durable goods","423","6046746.1","001.0"
"    Motor vehicle and motor vehicle parts and supplies merchant wholesalers","4231","641665.2","002.2"
"    Furniture and home furnishing merchant wholesalers","4232","209287.3","004.1"
"    Lumber and other construction materials merchant wholesalers","4233","488482.5","003.1"
"    Professional and commercial equipment and supplies merchant wholesalers","4234","1310339.2","002.9"
"    Metal and mineral (except petroleum) merchant wholesalers","4235","263311.5","003.6"
"    Household appliances and electrical and electronic goods merchant wholesalers","4236","659683.0","002.9"
"    Hardware, and plumbing and heating equipment and supplies merchant wholesalers","4237","543409.1","003.0"
"    Machinery, equipment, and supplies merchant wholesalers","4238","1398118.6","001.7"
"    Miscellaneous durable goods merchant wholesalers","4239","532449.8","003.3"
"     Sporting and recreational goods and supplies merchant wholesalers","42391","94754.7","007.4"
"     Recyclable material merchant wholesalers","42393","202892.0","004.4"
"     Other miscellaneous durable goods merchant wholesalers","42399","145621.4","007.6"
"   Merchant wholesalers, nondurable goods","424","4048725.9","001.0"
"    Paper and paper product merchant wholesalers","4241","235457.4","003.8"
"    Drugs and druggists' sundries merchant wholesalers","4242","435428.3","004.2"
"    Apparel, piece goods, and notions merchant wholesalers","4243","246839.1","005.4"
"    Grocery and related product merchant wholesalers","4244","1514952.0","001.4"
"    Farm product raw material merchant wholesalers","4245","122442.4","005.9"
"    Chemical and allied products merchant wholesalers","4246","291258.7","004.0"
"    Petroleum and petroleum products merchant wholesalers","4247","207686.5","003.9"
"    Beer, wine, and distilled alcoholic beverage merchant wholesalers","4248","393512.4","002.3"
"    Miscellaneous nondurable goods merchant wholesalers","4249","601149.0","002.6"
"  Retail trade","44-45","21855067.9","000.4"
"   Motor vehicle and parts dealers","441","3584074.7","000.8"
"    Automobile dealers","4411","2375433.0","001.0"
"     New car dealers","44111","2081703.0","001.0"
"     Used car dealers","44112","293729.9","003.5"
"    Other motor vehicle dealers","4412","278174.6","003.6"
"     Recreational vehicle dealers","44121","84433.0","006.6"
"     Motorcycle, boat, and other motor vehicle dealers","44122","193741.7","004.3"
"    Automotive parts, accessories, and tire stores","4413","930467.2","001.7"
"     Automotive parts and accessories stores","44131","605601.5","002.0"
"     Tire dealers","44132","324865.6","003.0"
"   Furniture and home furnishings stores","442","614796.7","002.2"
"    Furniture stores","4421","329659.5","003.0"
"    Home furnishings stores","4422","285137.2","003.4"
"     Floor covering stores","44221","125941.5","005.9"
"     Other home furnishings stores","44229","159195.7","003.8"
"   Electronics and appliance stores","443","673467.4","002.8"
"    Electronics and appliance stores","4431","673467.4","002.8"
"     Electronics and appliance stores","44314","673467.4","002.8"
"      Household appliance stores","443141","80532.9","008.8"
"      Electronics stores","443142","592934.5","002.9"
"   Building material and garden equipment and supplies dealers","444","2189681.2","000.8"
"    Building material and supplies dealers","4441","1937395.9","000.9"
"     Home centers","44411","1198546.0","000.6"
"     Paint and wallpaper stores","44412","67657.1","005.2"
"     Hardware stores","44413","226590.0","003.0"
"     Other building material dealers","44419","444602.8","002.8"
"    Lawn and garden equipment and supplies stores","4442","252285.3","003.1"
"     Outdoor power equipment stores","44421","56850.5","007.1"
"     Nursery, garden center, and farm supply stores","44422","195434.8","003.4"
"   Food and beverage stores","445","4221130.6","000.7"
"    Grocery stores","4451","3691101.3","000.6"
"     Supermarkets and other grocery (except convenience) stores","44511","3452910.2","000.6"
"     Convenience stores","44512","238191.1","004.6"
"    Specialty food stores","4452","304372.3","004.1"
"     Meat markets","44521","91874.3","006.3"
"     Fruit and vegetable markets","44523","60511.6","009.7"
"     Other specialty food stores","44529","130852.4","007.1"
"    Beer, wine, and liquor stores","4453","225657.0","003.8"
"   Health and personal care stores","446","1488820.6","001.3"
"    Health and personal care stores","4461","1488820.6","001.3"
"     Pharmacies and drug stores","44611","1065851.1","001.3"
"     Cosmetics, beauty supplies, and perfume stores","44612","188769.0","003.1"
"     Other health and personal care stores","44619","146460.0","006.4"
"   Gasoline stations","447","1394790.2","001.4"
"    Gasoline stations","4471","1394790.2","001.4"
"     Gasoline stations with convenience stores","44711","1242470.4","001.5"
"     Other gasoline stations","44719","152319.9","004.0"
"   Clothing and clothing accessories stores","448","1155321.4","001.7"
"    Clothing stores","4481","823387.8","002.1"
"     Men's clothing stores","44811","44607.9","008.6"
"     Women's clothing stores","44812","212045.2","004.7"
"     Family clothing stores","44814","353422.4","002.6"
"     Other clothing stores","44819","129828.9","005.6"
"    Shoe stores","4482","182898.7","003.9"
"    Jewelry, luggage, and leather goods stores","4483","149034.9","004.4"
"     Jewelry stores","44831","138162.3","004.6"
"   Sporting goods, hobby, musical instrument, and book stores","451","587437.6","002.0"
"    Sporting goods, hobby, and musical instrument stores","4511","510945.5","002.2"
"     Sporting goods stores","45111","310904.8","002.7"
"     Hobby, toy, and game stores","45112","124198.0","003.9"
"     Sewing, needlework, and piece goods stores","45113","40867.2","008.9"
"    Book stores and news dealers","4512","76492.0","006.3"
"     Book stores and news dealers","45121","76492.0","006.3"
"      Book stores","451211","68379.2","006.3"
"   General merchandise stores","452","3893111.3","000.5"
"    Department stores3","4522","1063159.6","001.2"
"    General merchandise stores, including warehouse clubs and supercenters3","4523","2829951.8","000.5"
"     General merchandise stores, including warehouse clubs and supercenters3","45231","2829951.8","000.5"
"      Warehouse clubs and supercenters3","452311","2210973.9","000.3"
"      All other general merchandise stores3","452319","618977.9","001.8"
"   Miscellaneous store retailers","453","1046298.6","001.9"
"    Florists","4531","63321.8","008.1"
"    Office supplies, stationery, and gift stores","4532","253414.4","003.7"
"     Office supplies and stationery stores","45321","128800.3","005.2"
"     Gift, novelty, and souvenir stores","45322","124614.1","005.4"
"    Used merchandise stores","4533","210761.8","004.0"
"    Other miscellaneous store retailers","4539","518800.6","002.8"
"     Pet and pet supplies stores","45391","147855.4","003.3"
"     All other miscellaneous store retailers","45399","318329.3","004.0"
"   Nonstore retailers","454","1006137.4","004.5"
"    Electronic shopping and mail-order houses","4541","696246.6","006.2"
"    Vending machine operators","4542","66325.9","007.8"
"    Direct selling establishments","4543","243564.8","004.3"
"     Fuel dealers","45431","133377.5","004.1"
"     Other direct selling establishments","45439","110187.4","008.0"
"  Transportation and warehousing7,8","48-49","10366291.4","000.7"
"   Air transportation","481","809304.3","003.9"
"    Scheduled air transportation","4811","722362.9","004.3"
"     Scheduled air transportation","48111","722362.9","004.3"
"      Scheduled passenger air transportation","481111","706107.1","004.4"
"      Scheduled freight air transportation","481112","16255.9","010.5"
"    Nonscheduled air transportation","4812","86941.4","004.5"
"   Rail transportation7,8","482","367497.6","    -   "
"   Water transportation","483","-","-"
"    Inland water transportation","4832","-","-"
"     Inland water transportation","48321","-","-"
"      Inland water passenger transportation","483212","8289.8","013.3"
"   Truck transportation","484","3222797.7","001.1"
"    General freight trucking","4841","2272381.8","001.3"
"     General freight trucking, local","48411","547089.8","003.3"
"     General freight trucking, long-distance","48412","1725292.0","001.3"
"    Specialized freight trucking","4842","950415.9","002.1"
"     Used household and office goods moving","48421","164951.8","004.0"
"     Specialized freight (except used goods) trucking, local","48422","480830.4","003.1"
"     Specialized freight (except used goods) trucking, long-distance","48423","304633.7","003.9"
"   Transit and ground passenger transportation","485","517355.6","002.8"
"    Urban transit systems","4851","74001.3","006.0"
"    Taxi and limousine service","4853","80569.7","010.3"
"     Taxi service","48531","38677.4","017.7"
"     Limousine service","48532","41892.3","011.1"
"    School and employee bus transportation","4854","152594.4","003.3"
"    Charter bus industry","4855","27938.7","008.8"
"    Other transit and ground passenger transportation","4859","152340.5","005.9"
"   Pipeline transportation","486","101476.8","004.6"
"    Pipeline transportation of natural gas","4862","59662.5","006.3"
"    Other pipeline transportation","4869","19084.5","010.8"
"     Pipeline transportation of refined petroleum products","48691","17262.4","011.8"
"   Support activities for transportation","488","1300889.4","002.0"
"    Support activities for air transportation","4881","338031.3","003.6"
"    Support activities for rail transportation","4882","72103.6","006.7"
"    Support activities for water transportation","4883","-","-"
"     Navigational services to shipping","48833","38198.4","016.3"
"     Other support activities for water transportation","48839","15222.4","019.5"
"    Support activities for road transportation","4884","-","-"
"     Other support activities for road transportation","48849","67984.4","009.8"
"    Freight transportation arrangement","4885","456478.0","003.4"
"    Other support activities for transportation","4889","53914.6","010.7"
"   Couriers and messengers","492","1458928.4","001.8"
"    Couriers and express delivery services","4921","1216950.1","001.4"
"    Local messengers and local delivery","4922","241978.3","008.5"
"   Warehousing and storage","493","2421311.1","001.4"
"    Warehousing and storage","4931","2421311.1","001.4"
"     General warehousing and storage","49311","2161505.6","001.6"
"     Refrigerated warehousing and storage","49312","138049.7","003.2"
"     Farm product warehousing and storage","49313","23769.1","007.2"
"     Other warehousing and storage","49319","97986.6","004.5"
"  Utilities","22","1088782.9","001.4"
"   Utilities","221","1088782.9","001.4"
"    Electric power generation, transmission and distribution","2211","772961.5","001.6"
"     Electric power generation","22111","296310.8","002.4"
"      Fossil fuel electric power generation","221112","171479.9","003.3"
"      Nuclear electric power generation","221113","82348.4","002.7"
"      Biomass electric power generation","221117","3167.7","003.4"
"     Electric power transmission, control, and distribution","22112","476650.7","002.2"
"    Natural gas distribution","2212","217508.1","002.9"
"    Water, sewage and other systems","2213","98313.2","004.6"
"     Water supply and irrigation systems","22131","83653.4","005.3"
"     Sewage treatment facilities","22132","11486.8","008.7"
"     Steam and air-conditioning supply","22133","3173.1","010.2"
" Information","","5107979.4","002.6"
"  Information","51","5107979.4","002.6"
"   Publishing industries (except internet)","511","1437045.2","007.1"
"    Newspaper, periodical, book, and directory publishers","5111","482787.9","003.2"
"     Newspaper publishers","51111","207145.2","004.2"
"     Periodical publishers","51112","144361.5","005.9"
"     Directory and mailing list publishers","51114","25562.5","010.1"
"   Motion picture and sound recording industries","512","-","-"
"    Motion picture and video industries","5121","-","-"
"     Motion picture and video distribution","51212","11974.8","002.4"
"     Motion picture and video exhibition","51213","76452.0","005.1"
"    Sound recording industries","5122","36246.8","018.0"
"     Music publishers","51223","10461.3","011.1"
"   Broadcasting (except internet)","515","471641.8","003.4"
"    Radio and television broadcasting","5151","381481.4","004.1"
"     Radio broadcasting","51511","127383.8","004.1"
"     Television broadcasting","51512","254097.6","005.7"
"    Cable and other subscription programming","5152","90160.4","004.5"
"   Telecommunications","517","1318876.1","002.0"
"    Wired and wireless telecommunications carriers3","5173","1151054.3","001.7"
"     Wired and wireless telecommunications carriers3","51731","1151054.3","001.7"
"      Wired telecommunications carriers3","517311","962419.6","001.9"
"      Wireless telecommunications carriers (except satellite)3","517312","188634.7","004.0"
"    Other telecommunications","5179","152330.7","010.7"
"   Data processing, hosting, and related services","518","704759.1","003.4"
"   Other information services","519","664080.5","009.8"
"    Other information services","5191","664080.5","009.8"
"     Libraries and archives","51912","32917.9","010.6"
" Finance, insurance, and real estate","","15438361.2","000.7"
"  Finance and insurance","52","11534536.1","000.8"
"   Credit intermediation and related activities","522","4983886.0","001.1"
"    Depository credit intermediation","5221","3337289.7","001.3"
"     Credit unions","52213","519998.2","003.3"
"    Nondepository credit intermediation","5222","1089435.6","002.7"
"     Credit card issuing","52221","135024.4","005.0"
"     Other nondepository credit intermediation","52229","774517.9","003.3"
"    Activities related to credit intermediation","5223","557160.7","004.3"
"     Financial transactions processing, reserve, and clearinghouse activities","52232","238597.0","006.0"
"   Securities, commodity contracts, and other financial investments and related activities","523","-","-"
"    Other financial investment activities","5239","993229.7","003.3"
"     Portfolio management","52392","449839.3","005.0"
"     Investment advice","52393","392382.0","005.7"
"     All other financial investment activities","52399","89522.0","007.8"
"   Insurance carriers and related activities","524","4596325.0","001.3"
"    Insurance carriers","5241","2382373.9","001.7"
"     Direct life, health, and medical insurance carriers","52411","1324658.4","002.0"
"     Direct insurance (except life, health, and medical) carriers","52412","1012163.5","003.0"
"    Agencies, brokerages, and other insurance related activities","5242","-","-"
"     Insurance agencies and brokerages","52421","1570995.2","002.4"
"     Other insurance related activities","52429","642955.9","003.7"
"  Real estate and rental and leasing","53","3903825.1","001.5"
"   Real estate","531","2945537.8","001.5"
"    Lessors of real estate","5311","1026515.4","002.7"
"     Lessors of residential buildings and dwellings","53111","603547.6","003.6"
"     Lessors of nonresidential buildings (except miniwarehouses)","53112","261045.6","005.4"
"     Lessors of other real estate property","53119","69140.2","008.7"
"    Offices of real estate agents and brokers","5312","606182.2","003.4"
"    Activities related to real estate","5313","1312840.3","002.2"
"     Real estate property managers","53131","1123603.9","002.3"
"     Offices of real estate appraisers","53132","61381.5","008.5"
"   Rental and leasing services","532","919571.0","004.3"
"    Automotive equipment rental and leasing","5321","344979.4","003.5"
"     Passenger car rental and leasing","53211","191292.7","004.7"
"     Truck, utility trailer, and RV (recreational vehicle) rental and leasing","53212","153686.6","005.2"
"    Consumer goods rental","5322","-","-"
"     Other consumer goods rental3","53228","205375.2","016.7"
"      Formal wear and costume rental3","532281","10430.5","006.5"
"      Home health equipment rental3","532283","70905.5","008.3"
"    General rental centers","5323","53986.4","007.0"
"    Commercial and industrial machinery and equipment rental and leasing","5324","301813.0","004.6"
"     Construction, transportation, mining, and forestry machinery and equipment rental and leasing","53241","168579.0","006.0"
"     Other commercial and industrial machinery and equipment rental and leasing","53249","122425.8","007.0"
"   Lessors of nonfinancial intangible assets (except copyrighted works)","533","38716.3","009.1"
" Professional and business services","","32532909.6","000.5"
"  Professional, scientific, and technical services","54","17642142.1","000.7"
"   Professional, scientific, and technical services","541","17642142.1","000.7"
"    Legal services","5411","2119106.5","001.7"
"    Accounting, tax preparation, bookkeeping, and payroll services","5412","1810288.6","002.4"
"     Accounting, tax preparation, bookkeeping, and payroll services","54121","1810288.6","002.4"
"      Offices of certified public accountants","541211","952566.5","002.7"
"      Tax preparation services","541213","119344.1","007.3"
"      Payroll services","541214","309526.8","008.7"
"      Other accounting services","541219","428851.2","004.5"
"    Architectural, engineering, and related services","5413","2902841.6","001.7"
"     Architectural services","54131","380400.7","004.4"
"     Landscape architectural services","54132","66912.2","015.0"
"     Engineering services","54133","1915748.6","002.0"
"     Surveying and mapping (except geophysical) services","54137","97042.4","007.5"
"     Testing laboratories","54138","348340.3","007.2"
"    Specialized design services","5414","230275.2","008.0"
"    Computer systems design and related services","5415","4341617.9","001.6"
"     Computer systems design and related services","54151","4341617.9","001.6"
"      Custom computer programming services","541511","1939145.3","002.3"
"      Computer systems design services","541512","2030681.8","002.3"
"    Management, scientific, and technical consulting services","5416","2801706.9","002.0"
"     Management consulting services","54161","2289907.2","002.2"
"     Other scientific and technical consulting services","54169","352181.6","006.1"
"    Scientific research and development services","5417","1405430.6","002.4"
"    Advertising, public relations, and related services","5418","829474.3","003.3"
"    Other professional, scientific, and technical services","5419","1201400.5","002.3"
"     Marketing research and public opinion polling","54191","146508.4","008.1"
"     Veterinary services","54194","631687.2","002.6"
"     All other professional, scientific, and technical services","54199","314525.9","005.4"
"  Management of companies and enterprises","55","4586118.4","001.6"
"  Administrative and support and waste management and remediation services","56","10304649.2","000.7"
"   Administrative and support services","561","9393500.6","000.8"
"    Office administrative services","5611","903741.1","002.5"
"    Facilities support services","5612","266279.3","003.8"
"    Employment services","5613","1269749.6","001.9"
"     Employment placement agencies and executive search services","56131","217267.3","004.0"
"     Temporary help services","56132","923498.4","002.4"
"     Professional employer organizations","56133","128983.9","004.5"
"    Business support services","5614","1401601.3","001.8"
"     Document preparation services","56141","66242.1","011.2"
"     Telephone call centers","56142","800917.0","002.2"
"     Business service centers","56143","114294.3","005.9"
"     Other business support services","56149","164767.3","006.8"
"    Travel arrangement and reservation services","5615","316822.8","004.7"
"     Travel agencies","56151","129344.6","009.0"
"     Other travel arrangement and reservation services","56159","148865.5","005.6"
"    Investigation and security services","5616","1341935.7","002.6"
"     Investigation, guard, and armored car services","56161","1060983.4","003.0"
"      Security guards and patrol services","561612","959620.7","003.2"
"      Armored car services","561613","37682.5","009.3"
"     Security systems services","56162","280952.3","004.1"
"    Services to buildings and dwellings","5617","3400642.0","001.2"
"     Janitorial services","56172","1542010.9","001.8"
"     Landscaping services","56173","1404491.6","001.7"
"     Carpet and upholstery cleaning services","56174","61981.6","007.4"
"     Other services to buildings and dwellings","56179","159822.2","008.1"
"    Other support services","5619","492728.8","003.8"
"   Waste management and remediation services","562","911148.7","002.0"
"    Waste collection","5621","403809.2","002.8"
"     Waste collection","56211","403809.2","002.8"
"      Solid waste collection","562111","350962.0","003.0"
"      Hazardous waste collection","562112","23587.3","007.8"
"    Waste treatment and disposal","5622","199428.8","004.2"
"     Waste treatment and disposal","56221","199428.8","004.2"
"      Hazardous waste treatment and disposal","562211","72323.4","008.6"
"      Solid waste landfill","562212","80477.6","006.6"
"      Solid waste combustors and incinerators","562213","11368.6","007.9"
"      Other nonhazardous waste treatment and disposal","562219","35259.2","005.0"
"    Remediation and other waste management services","5629","307910.7","003.6"
"     Remediation services","56291","175486.5","004.7"
"     Materials recovery facilities","56292","38554.3","009.8"
"     All other waste management services","56299","93869.9","006.6"
" Educational and health services","","33381517.4","000.4"
"  Educational services","61","3947474.3","001.1"
"   Educational services","611","3947474.3","001.1"
"    Elementary and secondary schools","6111","1327285.3","001.5"
"    Junior colleges","6112","34710.4","008.5"
"    Colleges, universities, and professional schools","6113","1694429.2","001.9"
"    Business schools and computer and management training","6114","114889.6","006.3"
"     Professional and management development training","61143","78239.8","007.5"
"    Technical and trade schools","6115","157343.3","005.1"
"    Other schools and instruction","6116","370269.3","004.0"
"     Sports and recreation instruction","61162","95278.9","006.6"
"     All other schools and instruction","61169","178841.1","005.8"
"    Educational support services","6117","248547.2","005.2"
"  Health care and social assistance","62","29434043.2","000.4"
"   Ambulatory health care services","621","11549872.9","000.7"
"    Offices of physicians","6211","4370151.8","001.6"
"     Offices of physicians","62111","4370151.8","001.6"
"      Offices of physicians (except mental health specialists)","621111","4282038.9","001.6"
"      Offices of physicians, mental health specialists","621112","88112.9","008.2"
"    Offices of dentists","6212","1228473.1","001.7"
"    Offices of other health practitioners","6213","1343904.4","002.0"
"    Outpatient care centers","6214","1558796.7","001.4"
"    Medical and diagnostic laboratories","6215","465995.5","002.7"
"    Home health care services","6216","2039519.6","001.3"
"    Other ambulatory health care services","6219","543031.8","002.5"
"     Ambulance services","62191","295226.2","003.2"
"     All other ambulatory health care services","62199","247805.6","003.8"
"   Hospitals","622","7983787.5","000.7"
