"TABLE Q6. Incidence rates1 of total cases of nonfatal occupational injury, by quartile distribution and employment size, 2022                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  ","","","",""
"Industry, NAICS code2, and establishment employment size                                                               ","Average incidence rates for all establishments: 
    (mean)","One-quarter of the establishments had a rate lower than or equal to: 
    (1st quartile)","One-half of the establishments had a rate lower than or equal to: 
    (median)","Three-fourths of the establishments had a rate lower than or equal to: 
    (3rd quartile)"
"   250 - 999","004.3","001.2","002.4","006.5"
"   1,000+","004.9","-","-","-"
"Poured concrete foundation and structure contractors (NAICS 238110)","","","",""
"Total all sizes","002.9","(-3-)   ","(-3-)   ","(-3-)   "
"   11 - 49","002.5","(-3-)   ","(-3-)   ","003.8"
"   50 - 249","004.3","000.8","003.8","007.8"
"   250 - 999","003.7","001.6","001.8","004.7"
"   1,000+","001.1","-","-","-"
"Structural steel and precast concrete contractors (NAICS 238120)","","","",""
"Total all sizes","003.1","(-3-)   ","(-3-)   ","001.2"
"   11 - 49","004.3","(-3-)   ","(-3-)   ","006.9"
"   50 - 249","003.0","(-3-)   ","001.9","005.1"
"   250 - 999","001.4","-","-","-"
"Framing contractors (NAICS 238130)","","","",""
"Total all sizes","007.0","(-3-)   ","(-3-)   ","(-3-)   "
"   11 - 49","007.9","(-3-)   ","(-3-)   ","020.3"
"   50 - 249","007.1","(-3-)   ","(-3-)   ","008.5"
"   250 - 999","012.6","007.0","013.9","017.2"
"   1,000+","012.2","-","-","-"
"Masonry contractors (NAICS 238140)","","","",""
"Total all sizes","002.0","(-3-)   ","(-3-)   ","(-3-)   "
"   11 - 49","001.5","(-3-)   ","(-3-)   ","(-3-)   "
"   50 - 249","002.7","001.0","002.3","004.4"
"   250 - 999","002.7","001.6","002.1","002.5"
"Glass and glazing contractors (NAICS 238150)","","","",""
"Total all sizes","002.4","(-3-)   ","(-3-)   ","(-3-)   "
"   11 - 49","002.8","(-3-)   ","(-3-)   ","005.0"
"   50 - 249","002.6","001.0","001.9","004.4"
"Roofing contractors (NAICS 238160)","","","",""
"Total all sizes","003.8","(-3-)   ","(-3-)   ","(-3-)   "
"   1 - 10","002.5","(-3-)   ","(-3-)   ","(-3-)   "
"   11 - 49","004.6","(-3-)   ","002.9","007.5"
"   50 - 249","003.6","(-3-)   ","002.1","007.2"
"   250 - 999","005.8","-","-","-"
"Siding contractors (NAICS 238170)","","","",""
"Total all sizes","001.8","(-3-)   ","(-3-)   ","(-3-)   "
"   11 - 49","002.8","(-3-)   ","(-3-)   ","006.3"
"   50 - 249","003.4","-","-","-"
"   250 - 999","006.0","-","-","-"
"Other foundation, structure, and building exterior contractors (NAICS 238190)","","","",""
"Total all sizes","001.1","(-3-)   ","(-3-)   ","(-3-)   "
"   11 - 49","002.2","(-3-)   ","(-3-)   ","(-3-)   "
"   50 - 249","002.5","-","-","-"
"Building equipment contractors (NAICS 238200)","","","",""
"Total all sizes","002.4","(-3-)   ","(-3-)   ","(-3-)   "
"   11 - 49","002.7","(-3-)   ","(-3-)   ","004.0"
"   50 - 249","002.8","(-3-)   ","001.9","004.2"
"   250 - 999","001.6","000.5","001.0","002.3"
"   1,000+","001.2","000.6","000.9","001.2"
"Electrical contractors and other wiring installation contractors (NAICS 238210)","","","",""
"Total all sizes","001.6","(-3-)   ","(-3-)   ","(-3-)   "
"   1 - 10","001.2","(-3-)   ","(-3-)   ","(-3-)   "
"   11 - 49","001.7","(-3-)   ","(-3-)   ","(-3-)   "
"   50 - 249","002.1","(-3-)   ","001.4","003.3"
"   250 - 999","001.1","000.5","000.8","001.7"
"   1,000+","000.7","000.6","000.8","001.1"
"Plumbing, heating, and air-conditioning contractors (NAICS 238220)","","","",""
"Total all sizes","003.1","(-3-)   ","(-3-)   ","(-3-)   "
"   11 - 49","003.3","(-3-)   ","(-3-)   ","004.9"
"   50 - 249","003.6","001.0","002.4","005.2"
"   250 - 999","002.7","000.8","001.7","004.2"
"   1,000+","002.2","-","-","-"
"Other building equipment contractors (NAICS 238290)","","","",""
"Total all sizes","001.8","(-3-)   ","(-3-)   ","(-3-)   "
"   11 - 49","003.4","(-3-)   ","(-3-)   ","005.2"
"   50 - 249","001.4","(-3-)   ","001.1","001.8"
"   250 - 999","000.6","000.1","000.3","000.7"
"Building finishing contractors (NAICS 238300)","","","",""
"Total all sizes","002.5","(-3-)   ","(-3-)   ","(-3-)   "
"   11 - 49","002.1","(-3-)   ","(-3-)   ","(-3-)   "
"   50 - 249","003.3","(-3-)   ","002.3","004.1"
"   250 - 999","003.7","001.5","003.2","004.6"
"Drywall and insulation contractors (NAICS 238310)","","","",""
"Total all sizes","002.7","(-3-)   ","(-3-)   ","(-3-)   "
"   1 - 10","001.1","(-3-)   ","(-3-)   ","(-3-)   "
"   11 - 49","002.8","(-3-)   ","(-3-)   ","006.6"
"   50 - 249","003.0","(-3-)   ","001.4","003.6"
"   250 - 999","003.5","000.8","002.4","004.6"
"Painting and wall covering contractors (NAICS 238320)","","","",""
"Total all sizes","002.3","(-3-)   ","(-3-)   ","(-3-)   "
"   1 - 10","003.1","(-3-)   ","(-3-)   ","(-3-)   "
"   11 - 49","001.5","(-3-)   ","(-3-)   ","(-3-)   "
"   50 - 249","002.3","(-3-)   ","002.1","003.4"
"   250 - 999","003.8","-","-","-"
"","","","",""
"1The incidence rates represent the number of injuries per 100 full-time equivalent workers and were calculated as: (N/EH) x 200,000, where                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     ","","","",""
"     N = number of injuries                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      ","","","",""
"     EH = total hours worked by all employees during the calendar year                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           ","","","",""
"     200,000 = base for 100 full-time equivalent workers (working 40 hours per week, 50 weeks per year)","","","",""
"2North American Industry Classification System -- United States, 2017","","","",""
"3Data too small to be displayed.","","","",""
"4Excludes farms with fewer than 11 employees.","","","",""
"5Data for mining operators in this industry are provided to BLS by the Mine Safety and Health Administration, U.S. Department of Labor. Independent mining contractors are excluded. These data do not reflect the changes the Occupational Safety and Health Administration made to its recordkeeping requirements effective January 1, 2002; therefore, estimates for these industries are not comparable to estimates in other industries.","","","",""
"6Data for Mining (Sector 21 in the North American Industry Classification System -- United States, 2017) include establishments not governed by the Mine Safety and Health Administration rules and reporting, such as those in Oil and Gas Extraction and related support activities. Data for mining operators in coal, metal, and nonmetal mining are provided to BLS by the Mine Safety and Health Administration, U.S. Department of Labor. Independent mining contractors are excluded from the coal, metal, and nonmetal mining industries. These data do not reflect the changes the Occupational Safety and Health Administration made to its recordkeeping requirements effective January 1, 2002; therefore, estimates for these industries are not comparable to estimates in other industries.","","","",""
"7Industry added in 2019.","","","",""
"8Relative standard errors were not calculated for mining, except oil and gas (NAICS 212), and rail transportation (NAICS 482).","","","",""
"9Data for employers in rail transportation are provided to BLS by the Federal Railroad Administration, U.S. Department of Transportation.","","","",""
"NOTE: Totals for sectors and subsectors include data for industries not shown separately. Quartile data are not available for industries with less than a minimum number of observations. Dash indicates data do not meet publication guidelines.","","","",""
"SOURCE: U.S. Bureau of Labor Statistics, U.S. Department of Labor","","","",""
