"Return to contents","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"DA1 Channel through which the consumer purchased products that they experienced detriment with 
"","D1 F1 H1 I1 K1 D2 G2 H2 J2 K2 M2 P2 S2","B1","A1","G1 H1 I1 J1 K1 M1","G1 H1 I1 J1 K1 M1","H1 I1 K1","G1 H1 I1 J1 K1 M1","C1 D1 F1","C1 D1 E1 F1 L1","C1 D1 E1 F1 L1","C1 D1 F1","C1 D1 E1 F1 L1","H1 I1 K1","C1 D1 F1","C2 D2 K2 M2","X1 D2 G2 H2 J2 K2 L2 M2 P2 S2 T2 A3 C3","D2 G2 H2 J2 K2 M2 P2 S2","","K2 M2","D2 G2 H2 K2 M2 S2","X1 D2 G2 H2 J2 K2 M2 P2 S2 A3","X1 D2 G2 H2 J2 K2 L2 M2 P2 S2 T2 A3 C3","D2 K2 M2","","O1 T1 U1 Z1 B2 C2","D2 G2 H2 K2 M2 P2 S2","X1 D2 G2 H2 J2 K2 M2 P2 S2 T2 A3","D2 G2 H2 K2 M2 S2","X1 D2 G2 H2 J2 K2 L2 M2 P2 S2 T2 A3 C3","N1 X1 D2 G2 H2 J2 K2 L2 M2 P2 S2 T2 A3 C3","N1 O1 P1 S1 T1 U1 V1 Y1 Z1 A2 B2 C2 E2 L2 Q2 R2 Z2 B3","D2 K2 M2","","O1 P1 S1 T1 U1 Y1 Z1 A2 B2 C2 Q2 R2 Z2 B3","O1 P1 S1 T1 U1 Y1 Z1 A2 B2 C2 Q2 R2 Z2 B3","","O1 P1 T1 U1 Z1 B2 C2 Q2 B3","N1 O1 P1 R1 S1 T1 U1 V1 Y1 Z1 A2 B2 C2 E2 L2 Q2 R2 Z2 B3","O1 U1 B2 C2 D2 K2 M2","N1 O1 P1 R1 S1 T1 U1 V1 Y1 Z1 A2 B2 C2 E2 L2 Q2 R2 Z2 B3","","","O1 P1 T1 U1 Y1 Z1 B2 C2 Q2 B3","D2 G2 H2 J2 K2 M2 P2 S2","D2 G2 H2 K2 M2 S2","O1 P1 S1 T1 U1 Y1 Z1 A2 B2 C2 Q2 R2 Z2 B3","O1 U1 Z1 B2 C2","","","","","","D2 G2 H2 K2 M2 S2","O1 T1 U1 Z1 B2 C2 B3","D2 G2 H2 J2 K2 M2 P2 S2 A3","O1 U1 B2 C2","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Notes","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"* Estimate based on a small sample size (N>24 and <50)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"** Supressed to prevent disclosure (N<25)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Variable: DetChan. Question text: ""How were these [products] originally bought?"".","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
