"Table 3b: Debt relief order rates per 10,000 adults by location, England and Wales, 2011 to 2021 [r][note 10][note 11]","","","","","","","","","","","","",""
"Back to contents","","","","","","","","","","","","",""
"This worksheet contains one table. Some cells refer to notes which can be found in the Notes worksheet.","","","","","","","","","","","","",""
"Sources: Insolvency Service, Office for National Statistics (population estimates)","","","","","","","","","","","","",""
"Code","Name","Geography","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021 [p]"
"E07000148","Norwich","Non-metropolitan District","14.1","9.3","13.4","5.7","6.3","5.4","6.8","7.3","9.0","5.3","6.2"
"E07000149","South Norfolk","Non-metropolitan District","5.7","5.6","3.8","4.0","3.0","3.8","3.4","3.8","3.2","4.2","4.6"
"E10000029","Suffolk","County","8.8","9.9","9.7","8.7","8.8","9.1","9.2","9.1","8.1","6.3","5.8"
"E07000200","Babergh","Non-metropolitan District","9.8","5.8","6.1","5.6","8.9","5.8","9.6","6.0","4.4","2.4","3.1"
"E07000244","East Suffolk [note 1]","Non-metropolitan District","7.4","8.1","7.3","7.9","8.8","8.5","8.3","9.4","6.8","5.7","6.0"
"E07000202","Ipswich","Non-metropolitan District","12.7","14.6","14.0","11.4","13.2","14.7","12.4","14.0","14.9","11.5","9.9"
"E07000203","Mid Suffolk","Non-metropolitan District","7.4","6.6","8.4","7.2","6.0","6.3","8.8","6.7","7.4","4.5","4.5"
"E07000245","West Suffolk [note 2]","Non-metropolitan District","8.0","12.9","12.4","10.3","7.1","8.9","8.0","8.2","7.0","6.3","4.9"
"E12000007","LONDON","Region","4.0","3.7","3.3","3.1","2.8","2.7","2.4","2.6","2.3","1.9","2.2"
"E09000007","Camden","London Borough","3.8","4.0","3.1","3.4","2.9","2.6","1.8","2.0","2.3","1.8","2.9"
"E09000001","City of London","London Borough","0.0","1.7","1.9","0.0","5.3","0.0","3.1","4.1","1.2","2.2","0.0"
"E09000012","Hackney","London Borough","5.0","3.6","2.6","3.4","2.9","2.9","3.1","3.8","3.5","1.4","2.9"
"E09000013","Hammersmith and Fulham","London Borough","3.7","2.5","2.4","2.6","2.2","2.1","2.4","2.6","2.1","1.9","3.1"
"E09000014","Haringey","London Borough","4.2","4.1","4.0","4.1","4.6","4.7","2.3","2.3","2.0","1.5","2.1"
"E09000019","Islington","London Borough","7.3","6.6","6.1","4.7","5.4","4.3","3.7","4.9","5.4","2.7","2.9"
"E09000020","Kensington and Chelsea","London Borough","5.2","4.6","4.2","2.2","1.7","2.6","2.6","1.9","1.3","1.6","2.3"
"E09000022","Lambeth","London Borough","4.6","4.3","3.3","3.4","3.9","3.7","2.3","2.7","2.5","2.7","2.7"
"E09000023","Lewisham","London Borough","5.2","4.7","5.2","5.0","4.0","3.9","2.8","3.1","3.1","2.0","2.4"
"E09000025","Newham","London Borough","5.0","5.0","5.3","3.7","3.3","4.4","3.1","2.2","2.1","1.7","2.3"
"E09000028","Southwark","London Borough","3.4","3.9","2.7","3.7","4.0","3.1","2.8","3.5","2.0","2.3","2.2"
"E09000030","Tower Hamlets","London Borough","5.1","4.6","3.5","2.3","1.7","2.1","2.4","2.3","2.0","1.4","1.9"
"E09000032","Wandsworth","London Borough","2.5","2.3","2.1","1.7","1.8","1.1","1.6","1.5","0.7","0.9","0.8"
"E09000033","Westminster","London Borough","3.5","2.0","1.4","2.1","1.2","1.2","1.1","1.3","1.2","1.1","2.1"
"E09000002","Barking and Dagenham","London Borough","5.9","6.6","5.9","4.0","3.9","3.9","2.4","4.4","3.1","2.3","3.3"
"E09000003","Barnet","London Borough","1.7","1.5","1.8","2.4","2.0","2.1","1.1","1.8","1.2","1.3","1.6"
"E09000004","Bexley","London Borough","3.5","4.5","3.8","3.1","1.6","2.5","2.1","2.6","2.7","2.3","2.8"
"E09000005","Brent","London Borough","2.3","3.2","1.7","1.7","2.2","1.3","1.2","1.3","1.2","1.3","2.0"
"E09000006","Bromley","London Borough","2.2","2.9","3.4","2.9","2.0","2.4","2.0","2.9","2.3","2.3","2.2"
"E09000008","Croydon","London Borough","3.6","2.7","2.3","1.8","1.6","2.3","2.0","2.5","2.0","2.5","2.4"
"E09000009","Ealing","London Borough","1.5","1.9","2.0","1.5","1.6","1.4","1.2","1.5","1.5","1.1","2.1"
"E09000010","Enfield","London Borough","3.3","2.3","2.6","2.3","2.1","1.9","1.3","1.3","2.1","1.7","1.4"
"E09000011","Greenwich","London Borough","10.1","8.8","8.7","7.1","9.1","8.4","10.2","7.8","6.9","4.0","3.2"
"E09000015","Harrow","London Borough","1.5","0.7","1.3","1.7","0.9","0.9","1.0","1.0","1.1","1.3","0.9"
"E09000016","Havering","London Borough","3.1","4.0","2.3","2.7","2.3","1.8","1.4","1.6","2.6","2.0","2.2"
"E09000017","Hillingdon","London Borough","2.3","2.9","2.4","3.1","1.2","1.5","1.7","1.5","1.1","1.4","1.4"
"E09000018","Hounslow","London Borough","3.0","3.1","3.5","3.1","2.7","3.3","2.8","4.3","3.4","2.8","2.5"
"E09000021","Kingston upon Thames","London Borough","3.7","3.6","2.8","1.5","1.6","1.5","1.3","1.8","1.1","1.1","1.2"
"E09000024","Merton","London Borough","3.1","1.5","1.7","2.1","2.3","2.0","1.7","3.0","1.4","1.4","2.6"
"E09000026","Redbridge","London Borough","3.6","3.7","4.1","3.0","2.0","1.3","1.7","1.5","1.4","1.7","1.5"
"E09000027","Richmond upon Thames","London Borough","4.4","3.0","2.9","2.7","3.0","2.4","2.4","2.4","1.8","1.2","1.6"
"E09000029","Sutton","London Borough","6.6","6.2","3.2","3.5","4.7","4.9","4.6","4.5","3.9","2.5","3.9"
"E09000031","Waltham Forest","London Borough","8.4","7.4","5.5","6.0","4.5","4.3","4.3","3.7","1.9","2.0","1.7"
"E12000008","SOUTH EAST","Region","5.0","5.2","4.4","4.1","3.9","4.3","4.0","4.7","4.5","3.4","3.6"
"E06000036","Bracknell Forest","Unitary Authority","5.5","5.4","3.8","3.9","3.3","5.1","5.6","4.1","3.5","2.9","2.7"
"E06000043","Brighton and Hove","Unitary Authority","8.2","7.0","5.6","3.4","3.3","5.5","4.6","5.2","6.0","5.8","4.4"
"E06000060","Buckinghamshire [note 3]","Unitary Authority","2.9","3.0","2.8","3.3","2.9","3.2","2.6","2.7","2.6","2.0","2.2"
"E06000046","Isle of Wight","Unitary Authority","18.2","19.7","15.4","15.6","15.6","20.2","17.9","18.9","16.2","7.5","8.8"
"E06000035","Medway","Unitary Authority","2.4","2.7","3.3","3.2","3.6","3.4","4.4","4.7","6.0","4.5","4.0"
"E06000042","Milton Keynes","Unitary Authority","3.4","3.8","3.6","4.0","4.1","3.5","2.3","4.3","3.1","2.4","3.4"
"E06000044","Portsmouth","Unitary Authority","5.7","6.5","5.5","3.3","4.0","4.8","6.0","8.0","8.9","6.6","7.1"
"E06000038","Reading","Unitary Authority","2.1","2.5","3.2","5.3","3.8","4.1","2.3","3.8","4.8","3.2","3.9"
"E06000039","Slough","Unitary Authority","2.6","2.8","2.4","2.6","2.2","2.7","1.7","1.7","1.7","1.7","3.2"
"E06000045","Southampton","Unitary Authority","7.9","8.8","5.0","4.2","4.3","3.2","3.7","5.3","5.1","4.1","4.1"
"E06000037","West Berkshire","Unitary Authority","2.9","3.1","2.8","2.7","2.2","1.7","2.2","2.5","2.1","1.5","2.0"
"E06000040","Windsor and Maidenhead","Unitary Authority","2.0","2.4","2.2","2.2","1.7","2.9","2.7","2.5","2.5","2.0","2.2"
"E06000041","Wokingham","Unitary Authority","0.8","1.8","2.1","1.2","1.1","1.1","0.9","1.6","1.5","0.9","3.5"
"E10000011","East Sussex","County","6.8","6.9","7.1","6.5","6.7","7.2","6.5","9.2","6.9","4.4","3.9"
"E07000061","Eastbourne","Non-metropolitan District","5.4","5.8","7.7","7.3","7.0","6.6","5.6","7.8","6.1","4.3","3.5"
"E07000062","Hastings","Non-metropolitan District","13.5","15.1","13.9","10.8","13.4","11.8","11.6","14.3","11.8","7.5","6.3"
"E07000063","Lewes","Non-metropolitan District","6.3","7.7","4.6","4.0","3.5","4.5","3.9","6.2","4.4","3.5","3.1"
"E07000064","Rother","Non-metropolitan District","9.2","5.4","6.8","6.4","6.1","7.4","5.6","10.1","7.3","3.0","4.1"
"E07000065","Wealden","Non-metropolitan District","2.8","3.1","4.4","5.1","5.2","6.4","6.3","8.5","5.8","4.1","3.1"
"E10000014","Hampshire","County","5.0","4.9","4.1","3.8","3.2","3.7","3.5","3.8","3.8","3.1","3.4"
"E07000084","Basingstoke and Deane","Non-metropolitan District","3.9","3.6","4.5","4.8","5.0","6.4","4.4","4.2","4.7","3.8","4.0"
"E07000085","East Hampshire","Non-metropolitan District","4.1","4.8","4.9","4.1","2.8","3.4","3.3","3.8","2.5","2.4","3.2"
"E07000086","Eastleigh","Non-metropolitan District","4.5","4.8","5.3","2.7","2.4","2.7","3.1","3.1","2.4","3.5","2.5"
"E07000087","Fareham","Non-metropolitan District","5.6","8.2","3.1","1.9","2.9","2.9","3.0","2.1","2.8","2.0","2.1"
"E07000088","Gosport","Non-metropolitan District","7.0","6.9","5.8","5.0","5.8","4.6","3.9","7.3","6.8","5.9","6.1"
"E07000089","Hart","Non-metropolitan District","3.9","5.2","2.2","1.8","2.5","3.5","3.8","3.1","4.1","1.6","2.8"
"E07000090","Havant","Non-metropolitan District","3.7","6.1","4.6","3.8","3.3","4.0","3.2","4.7","5.0","3.3","4.7"
"E07000091","New Forest","Non-metropolitan District","8.9","3.9","4.2","5.2","3.1","4.0","3.9","4.8","5.3","4.1","3.9"
"E07000092","Rushmoor","Non-metropolitan District","5.6","5.2","4.6","5.1","2.2","1.9","2.7","3.9","3.1","2.0","1.8"
"E07000093","Test Valley","Non-metropolitan District","3.4","2.4","2.8","2.7","2.2","1.9","2.2","2.5","2.4","1.6","3.3"
"E07000094","Winchester","Non-metropolitan District","3.5","4.5","3.5","3.8","2.4","4.0","4.6","3.2","2.9","2.9","2.9"
"E10000016","Kent","County","5.3","5.2","4.2","4.3","4.5","4.8","4.7","5.4","5.1","3.9","3.6"
"E07000105","Ashford","Non-metropolitan District","3.4","4.1","4.5","4.3","5.0","4.4","7.8","7.7","7.2","4.3","5.1"
"E07000106","Canterbury","Non-metropolitan District","5.3","4.4","3.2","2.5","3.3","3.2","2.9","4.5","4.3","1.7","2.0"
"E07000107","Dartford","Non-metropolitan District","2.8","2.9","3.2","2.3","2.6","2.0","2.3","3.4","3.5","3.0","2.9"
"E07000108","Dover","Non-metropolitan District","6.5","5.2","2.9","3.5","7.2","4.5","4.1","9.6","7.3","6.4","3.8"
"E07000112","Folkestone and Hythe [note 4]","Non-metropolitan District","5.8","6.6","6.1","5.3","4.2","5.7","5.7","4.9","5.1","4.7","3.3"
"E07000109","Gravesham","Non-metropolitan District","2.4","3.4","2.8","2.7","3.7","3.9","2.6","3.4","3.2","3.4","2.8"
"E07000110","Maidstone","Non-metropolitan District","5.1","6.0","4.4","5.2","4.1","3.3","4.7","3.8","2.9","3.0","3.5"
"E07000111","Sevenoaks","Non-metropolitan District","5.5","4.0","2.2","2.6","2.1","2.8","2.6","3.0","3.4","3.3","2.2"
"E07000113","Swale","Non-metropolitan District","5.9","7.7","6.5","6.2","5.0","9.5","7.1","7.4","8.0","4.7","4.5"
"E07000114","Thanet","Non-metropolitan District","6.6","3.8","5.0","6.8","5.5","7.6","7.4","5.8","6.7","5.8","4.9"
"E07000115","Tonbridge and Malling","Non-metropolitan District","4.2","4.4","4.9","4.6","6.2","4.7","3.9","7.0","4.1","4.6","4.2"
"E07000116","Tunbridge Wells","Non-metropolitan District","9.2","9.9","4.5","4.9","5.2","5.5","4.3","4.6","5.9","2.2","3.9"
"E10000025","Oxfordshire","County","6.4","6.9","4.8","4.6","3.6","4.5","3.9","5.3","4.7","3.8","3.3"
"E07000177","Cherwell","Non-metropolitan District","5.0","8.0","3.4","3.3","2.7","3.2","1.9","3.2","3.8","3.6","2.7"
"E07000178","Oxford","Non-metropolitan District","10.8","11.5","9.8","10.8","7.8","10.0","9.8","13.0","10.0","7.7","7.4"
"E07000179","South Oxfordshire","Non-metropolitan District","3.1","3.3","3.0","2.5","1.5","2.7","2.0","2.2","3.2","1.6","2.1"
"E07000180","Vale of White Horse","Non-metropolitan District","6.1","5.9","3.8","2.7","1.7","2.7","2.6","1.8","1.6","2.8","1.5"
"E07000181","West Oxfordshire","Non-metropolitan District","6.2","4.4","2.9","2.3","3.6","2.4","2.1","5.2","4.2","2.5","2.3"
"E10000030","Surrey","County","3.7","4.0","3.4","3.5","3.6","3.7","3.1","3.2","3.1","2.4","3.1"
"E07000207","Elmbridge","Non-metropolitan District","3.3","3.6","2.7","2.6","2.5","5.1","3.7","3.2","4.2","2.1","3.9"
"E07000208","Epsom and Ewell","Non-metropolitan District","1.7","1.9","2.0","0.7","0.8","2.1","2.1","1.8","1.9","1.3","1.1"
"E07000209","Guildford","Non-metropolitan District","6.6","7.6","4.1","3.3","4.1","3.9","3.5","3.4","1.8","1.3","1.8"
"E07000210","Mole Valley","Non-metropolitan District","2.1","2.6","1.7","1.7","2.3","1.2","2.9","1.9","1.7","3.1","2.9"
"E07000211","Reigate and Banstead","Non-metropolitan District","4.1","3.8","4.9","5.6","4.6","3.3","3.8","3.3","5.0","3.4","5.3"
"E07000212","Runnymede","Non-metropolitan District","1.7","0.9","2.7","2.4","2.6","2.7","2.7","3.1","2.6","2.2","1.9"
"E07000213","Spelthorne","Non-metropolitan District","2.9","2.5","2.5","2.7","3.6","2.7","2.7","3.5","2.4","3.0","2.4"
"E07000214","Surrey Heath","Non-metropolitan District","3.6","4.3","3.8","4.8","5.6","4.3","2.4","3.3","2.6","2.1","3.0"
"E07000215","Tandridge","Non-metropolitan District","2.8","2.9","1.4","1.0","1.6","2.9","1.6","2.3","2.5","1.4","3.3"
"E07000216","Waverley","Non-metropolitan District","4.9","4.6","5.4","5.1","4.2","4.5","4.1","4.0","4.4","2.5","3.3"
"E07000217","Woking","Non-metropolitan District","5.1","6.1","4.4","5.8","6.5","6.6","3.2","4.8","3.8","3.5","3.5"
"E10000032","West Sussex","County","4.6","4.7","4.8","3.4","3.2","2.8","3.3","3.5","3.7","3.6","3.7"
"E07000223","Adur","Non-metropolitan District","6.3","6.0","6.6","3.8","3.0","3.3","5.1","3.7","4.7","2.9","3.3"
"E07000224","Arun","Non-metropolitan District","3.7","4.0","4.0","3.0","3.5","2.6","3.3","2.8","3.9","4.6","3.3"
"E07000225","Chichester","Non-metropolitan District","6.5","6.9","7.0","6.6","5.7","3.9","4.9","7.2","5.8","3.8","3.2"
"E07000226","Crawley","Non-metropolitan District","6.4","5.8","4.9","1.8","2.6","3.7","3.9","2.9","3.5","3.3","6.4"
"E07000227","Horsham","Non-metropolitan District","4.0","3.5","3.5","2.4","1.9","1.1","1.7","2.0","2.4","2.7","3.1"
"E07000228","Mid Sussex","Non-metropolitan District","2.9","3.5","3.8","1.9","2.3","1.7","2.6","2.9","2.9","3.3","2.0"
"E07000229","Worthing","Non-metropolitan District","3.7","4.7","5.3","4.8","3.9","4.0","2.8","3.6","3.5","4.1","5.2"
"E12000009","SOUTH WEST","Region","9.4","10.1","9.1","8.3","7.4","7.3","7.2","7.9","7.4","5.4","4.9"
"E06000022","Bath and North East Somerset","Unitary Authority","9.3","8.6","11.7","11.7","6.8","4.9","5.5","7.9","5.7","4.8","4.8"
"E06000058","Bournemouth, Christchurch and Poole [note 5]","Unitary Authority","7.0","5.5","5.1","3.9","4.9","4.2","4.3","5.8","5.9","4.1","3.6"
"E06000023","Bristol, City of","Unitary Authority","12.4","13.5","11.9","11.0","10.0","8.8","9.1","9.0","8.6","7.6","4.8"
"E06000052","Cornwall","Unitary Authority","14.0","13.5","12.0","12.5","10.5","9.7","10.2","12.4","11.2","6.6","5.5"
"E06000059","Dorset [note 6]","Unitary Authority","6.2","6.9","6.3","5.9","6.7","5.9","5.8","6.3","6.2","4.4","4.0"
"E06000053","Isles of Scilly","Unitary Authority","5.4","0.0","0.0","0.0","0.0","15.4","0.0","0.0","0.0","5.3","5.3"
"E06000024","North Somerset","Unitary Authority","4.0","10.6","14.4","10.7","10.6","11.4","13.6","15.8","14.6","7.3","10.5"
"E06000026","Plymouth","Unitary Authority","13.3","15.0","11.7","10.9","9.7","10.9","10.9","12.5","12.5","8.4","7.0"
"E06000025","South Gloucestershire","Unitary Authority","7.2","6.6","5.9","5.1","4.8","5.4","5.8","5.7","6.1","4.2","4.1"
"E06000030","Swindon","Unitary Authority","16.1","14.7","13.2","9.2","5.6","3.8","4.9","7.1","6.3","4.3","3.7"
"E06000027","Torbay","Unitary Authority","23.8","27.9","21.9","18.6","18.3","17.4","12.6","13.0","8.1","8.2","6.1"
"E06000054","Wiltshire","Unitary Authority","6.7","7.0","7.7","5.9","3.9","3.7","3.7","4.2","4.9","4.0","4.4"
"E10000008","Devon","County","10.2","10.6","8.8","8.2","7.6","8.0","6.8","7.7","6.7","5.4","4.7"
"E07000040","East Devon","Non-metropolitan District","6.1","4.7","4.7","4.9","5.1","4.3","4.5","4.6","3.9","2.5","3.2"
"E07000041","Exeter","Non-metropolitan District","15.0","12.3","12.2","11.6","12.7","12.7","12.8","12.9","9.2","7.1","5.8"
"E07000042","Mid Devon","Non-metropolitan District","7.5","9.7","8.5","10.4","6.7","8.0","6.9","7.3","11.3","6.5","4.5"
"E07000043","North Devon","Non-metropolitan District","11.8","12.9","10.2","5.3","5.3","6.2","4.3","6.8","6.6","6.6","5.6"
"E07000044","South Hams","Non-metropolitan District","12.2","12.9","11.2","10.7","8.9","6.8","6.1","9.0","6.4","7.6","5.5"
"E07000045","Teignbridge","Non-metropolitan District","8.7","12.7","6.0","7.8","9.1","10.4","7.2","6.8","5.5","4.7","3.6"
"E07000046","Torridge","Non-metropolitan District","13.5","13.9","13.6","11.4","6.3","8.8","6.0","7.4","6.1","4.8","7.1"
"E07000047","West Devon","Non-metropolitan District","6.9","7.1","6.4","4.1","3.1","4.5","3.3","5.7","5.7","4.6","3.3"
"E10000013","Gloucestershire","County","7.2","9.2","7.0","7.3","7.7","8.6","7.6","6.3","7.0","5.4","5.0"
"E07000078","Cheltenham","Non-metropolitan District","5.2","5.9","5.4","4.9","4.1","6.1","3.6","3.1","4.6","4.0","3.8"
"E07000079","Cotswold","Non-metropolitan District","3.1","4.1","2.6","3.2","3.9","3.7","3.9","2.8","3.8","2.7","2.4"
"E07000080","Forest of Dean","Non-metropolitan District","10.2","11.4","6.0","9.5","5.0","6.1","5.5","5.4","7.2","5.5","4.0"
"E07000081","Gloucester","Non-metropolitan District","12.5","18.3","14.5","13.2","18.5","18.0","17.5","13.3","12.0","7.2","9.9"
"E07000082","Stroud","Non-metropolitan District","7.6","8.8","6.4","7.5","6.3","8.1","6.7","6.4","6.7","5.2","3.8"
"E07000083","Tewkesbury","Non-metropolitan District","2.9","4.5","4.6","3.5","5.3","6.5","6.1","5.2","6.6","7.3","4.6"
"E10000027","Somerset","County","5.1","6.1","5.3","5.1","4.0","5.2","5.3","5.7","4.2","3.6","3.6"
"E07000187","Mendip","Non-metropolitan District","5.0","5.1","6.1","4.6","4.2","7.6","8.7","8.5","5.7","3.9","2.5"
"E07000188","Sedgemoor","Non-metropolitan District","3.6","5.2","4.0","4.4","3.1","3.2","2.6","2.6","2.7","4.0","3.2"
"E07000246","Somerset West and Taunton [note 7]","Non-metropolitan District","7.0","7.3","5.6","6.2","5.0","5.1","5.4","5.9","3.8","3.7","3.8"
"E07000189","South Somerset","Non-metropolitan District","4.3","6.2","5.4","4.8","3.5","5.2","4.8","6.0","4.5","3.2","4.4"
"W92000004","WALES","Country","7.2","7.7","6.9","6.7","5.5","6.9","6.3","7.1","7.1","5.1","4.9"
"W06000001","Isle of Anglesey","Unitary Authority","4.4","5.0","5.3","4.4","6.7","4.8","3.5","4.8","8.3","3.3","5.6"
"W06000002","Gwynedd","Unitary Authority","7.4","6.4","7.5","9.7","7.2","6.9","3.0","3.8","4.4","2.6","2.3"
"W06000003","Conwy","Unitary Authority","8.9","9.5","9.1","6.3","5.9","6.2","7.2","9.3","6.5","5.7","6.4"
"W06000004","Denbighshire","Unitary Authority","23.7","30.2","22.6","18.2","8.1","9.3","9.1","13.2","13.2","9.1","11.9"
"W06000005","Flintshire","Unitary Authority","11.7","14.5","12.3","11.6","12.9","17.7","10.5","13.1","15.2","9.1","8.7"
"W06000006","Wrexham","Unitary Authority","6.6","9.6","8.4","7.8","8.1","12.3","10.7","15.2","13.5","9.3","8.6"
"W06000023","Powys","Unitary Authority","10.7","9.9","7.2","7.6","6.3","7.6","7.9","6.2","5.3","3.9","4.3"
"W06000008","Ceredigion","Unitary Authority","5.6","7.3","5.2","5.4","5.8","4.4","5.3","5.9","5.6","2.6","3.0"
"W06000009","Pembrokeshire","Unitary Authority","11.8","3.7","4.1","4.4","4.1","5.9","5.9","7.6","5.7","5.1","4.0"
"W06000010","Carmarthenshire","Unitary Authority","5.4","5.2","3.5","4.3","1.9","2.7","3.1","3.5","3.9","2.4","4.3"
"W06000011","Swansea","Unitary Authority","7.0","7.8","6.4","5.8","5.3","4.4","4.4","4.7","5.2","3.1","2.8"
"W06000012","Neath Port Talbot","Unitary Authority","3.8","3.2","5.4","5.9","5.3","6.8","8.1","7.1","7.2","3.6","2.8"
"W06000013","Bridgend","Unitary Authority","2.4","2.3","3.0","2.7","4.9","6.7","4.8","6.1","6.9","4.3","2.4"
"W06000014","Vale of Glamorgan","Unitary Authority","2.4","4.1","2.9","3.9","3.5","3.9","2.2","2.0","4.2","3.3","4.1"
"W06000015","Cardiff","Unitary Authority","7.8","7.2","6.9","4.8","3.2","4.2","5.1","5.2","5.7","4.2","4.3"
"W06000016","Rhondda Cynon Taf","Unitary Authority","9.3","11.8","10.0","11.0","6.7","10.3","10.7","12.1","8.7","7.2","5.4"
"W06000024","Merthyr Tydfil","Unitary Authority","9.7","9.7","11.8","18.5","12.0","13.4","12.1","8.7","6.7","4.2","2.3"
"W06000018","Caerphilly","Unitary Authority","3.1","4.8","4.7","4.7","3.4","4.4","3.9","5.8","7.8","7.3","7.1"
"W06000019","Blaenau Gwent","Unitary Authority","7.9","8.4","5.7","5.4","4.8","3.6","3.7","3.9","4.1","3.7","4.6"
"W06000020","Torfaen","Unitary Authority","1.4","0.8","4.4","4.4","5.0","6.2","7.0","8.9","7.4","8.2","5.2"
"W06000021","Monmouthshire","Unitary Authority","2.8","2.5","1.9","2.7","3.6","5.7","7.6","3.3","5.3","4.1","4.1"
"W06000022","Newport","Unitary Authority","6.4","6.9","6.2","4.6","5.0","8.4","6.3","6.2","6.8","6.6","6.1"
"","","","","","","","","","","","","",""
"","","","","","","","","","","","","",""
"","","","","","","","","","","","","",""
"","","","","","","","","","","","","",""
"","","","","","","","","","","","","",""
"","","","","","","","","","","","","",""
"","","","","","","","","","","","","",""
"","","","","","","","","","","","","",""
"","","","","","","","","","","","","",""
"","","","","","","","","","","","","",""
"","","","","","","","","","","","","",""
"","","","","","","","","","","","","",""
"","","","","","","","","","","","","",""
"","","","","","","","","","","","","",""
"","","","","","","","","","","","","",""
"","","","","","","","","","","","","",""
"","","","","","","","","","","","","",""
"","","","","","","","","","","","","",""
"","","","","","","","","","","","","",""
"","","","","","","","","","","","","",""
"","","","","","","","","","","","","",""
"","","","","","","","","","","","","",""
"","","","","","","","","","","","","",""
"","","","","","","","","","","","","",""
"","","","","","","","","","","","","",""
"","","","","","","","","","","","","",""
"","","","","","","","","","","","","",""
"","","","","","","","","","","","","",""
"","","","","","","","","","","","","",""
"","","","","","","","","","","","","",""
"","","","","","","","","","","","","",""
"","","","","","","","","","","","","",""
"","","","","","","","","","","","","",""
"","","","","","","","","","","","","",""
"","","","","","","","","","","","","",""
"","","","","","","","","","","","","",""
"","","","","","","","","","","","","",""
"","","","","","","","","","","","","",""
"","","","","","","","","","","","","",""
"","","","","","","","","","","","","",""
"","","","","","","","","","","","","",""
"","","","","","","","","","","","","",""
"","","","","","","","","","","","","",""
"","","","","","","","","","","","","",""
"","","","","","","","","","","","","",""
"","","","","","","","","","","","","",""
"","","","","","","","","","","","","",""
"","","","","","","","","","","","","",""
"","","","","","","","","","","","","",""
"","","","","","","","","","","","","",""
"","","","","","","","","","","","","",""
"","","","","","","","","","","","","",""
"","","","","","","","","","","","","",""
"","","","","","","","","","","","","",""
"","","","","","","","","","","","","",""
"","","","","","","","","","","","","",""
"","","","","","","","","","","","","",""
"","","","","","","","","","","","","",""
"","","","","","","","","","","","","",""
"","","","","","","","","","","","","",""
"","","","","","","","","","","","","",""
"","","","","","","","","","","","","",""
"","","","","","","","","","","","","",""
"","","","","","","","","","","","","",""
"","","","","","","","","","","","","",""
"","","","","","","","","","","","","",""
"","","","","","","","","","","","","",""
"","","","","","","","","","","","","",""
"","","","","","","","","","","","","",""
"","","","","","","","","","","","","",""
"","","","","","","","","","","","","",""
"","","","","","","","","","","","","",""
"","","","","","","","","","","","","",""
"","","","","","","","","","","","","",""
"","","","","","","","","","","","","",""
"","","","","","","","","","","","","",""
"","","","","","","","","","","","","",""
"","","","","","","","","","","","","",""
"","","","","","","","","","","","","",""
"","","","","","","","","","","","","",""
"","","","","","","","","","","","","",""
"","","","","","","","","","","","","",""
"","","","","","","","","","","","","",""
"","","","","","","","","","","","","",""
"","","","","","","","","","","","","",""
"","","","","","","","","","","","","",""
"","","","","","","","","","","","","",""
"","","","","","","","","","","","","",""
"","","","","","","","","","","","","",""
"","","","","","","","","","","","","",""
"","","","","","","","","","","","","",""
"","","","","","","","","","","","","",""
"","","","","","","","","","","","","",""
"","","","","","","","","","","","","",""
"","","","","","","","","","","","","",""
"","","","","","","","","","","","","",""
"","","","","","","","","","","","","",""
"","","","","","","","","","","","","",""
"","","","","","","","","","","","","",""
"","","","","","","","","","","","","",""
"","","","","","","","","","","","","",""
"","","","","","","","","","","","","",""
"","","","","","","","","","","","","",""
"","","","","","","","","","","","","",""
"","","","","","","","","","","","","",""
"","","","","","","","","","","","","",""
"","","","","","","","","","","","","",""
"","","","","","","","","","","","","",""
"","","","","","","","","","","","","",""
"","","","","","","","","","","","","",""
"","","","","","","","","","","","","",""
"","","","","","","","","","","","","",""
"","","","","","","","","","","","","",""
"","","","","","","","","","","","","",""
"","","","","","","","","","","","","",""
"","","","","","","","","","","","","",""
"","","","","","","","","","","","","",""
"","","","","","","","","","","","","",""
"","","","","","","","","","","","","",""
"","","","","","","","","","","","","",""
"","","","","","","","","","","","","",""
"","","","","","","","","","","","","",""
"","","","","","","","","","","","","",""
"","","","","","","","","","","","","",""
"","","","","","","","","","","","","",""
"","","","","","","","","","","","","",""
"","","","","","","","","","","","","",""
"","","","","","","","","","","","","",""
"","","","","","","","","","","","","",""
"","","","","","","","","","","","","",""
"","","","","","","","","","","","","",""
"","","","","","","","","","","","","",""
"","","","","","","","","","","","","",""
"","","","","","","","","","","","","",""
"","","","","","","","","","","","","",""
"","","","","","","","","","","","","",""
"","","","","","","","","","","","","",""
"","","","","","","","","","","","","",""
"","","","","","","","","","","","","",""
"","","","","","","","","","","","","",""
"","","","","","","","","","","","","",""
"","","","","","","","","","","","","",""
"","","","","","","","","","","","","",""
"","","","","","","","","","","","","",""
"","","","","","","","","","","","","",""
"","","","","","","","","","","","","",""
"","","","","","","","","","","","","",""
"","","","","","","","","","","","","",""
"","","","","","","","","","","","","",""
"","","","","","","","","","","","","",""
"","","","","","","","","","","","","",""
"","","","","","","","","","","","","",""
"","","","","","","","","","","","","",""
"","","","","","","","","","","","","",""
"","","","","","","","","","","","","",""
"","","","","","","","","","","","","",""
"","","","","","","","","","","","","",""
"","","","","","","","","","","","","",""
"","","","","","","","","","","","","",""
"","","","","","","","","","","","","",""
"","","","","","","","","","","","","",""
"","","","","","","","","","","","","",""
"","","","","","","","","","","","","",""
