"TABLE SNR05. Incidence rate1, and number of nonfatal occupational injuries by industry and ownership, 2023                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     ","","","","",""
"Industry2                                                                                                              ","NAICS Code3                                                                                                            ","Incidence Rate","Number of cases (thousands)","Percent relative standard error-Incidence rate","Percent relative standard error-Number of cases"
"      Metal crown, closure, and other metal stamping (except automotive)","332119","003.9","001.9","006.8","007.3"
"    Cutlery and handtool manufacturing","3322","003.0","001.0","010.0","011.3"
"     Cutlery and handtool manufacturing","33221","003.0","001.0","010.0","011.3"
"      Metal kitchen cookware, utensil, cutlery, and flatware (except precious) manufacturing","332215","003.2","000.3","012.3","013.2"
"      Saw blade and handtool manufacturing","332216","003.0","000.7","013.1","014.9"
"    Architectural and structural metals manufacturing","3323","003.4","013.8","004.2","004.3"
"     Plate work and fabricated structural product manufacturing","33231","003.6","006.5","005.8","005.9"
"      Prefabricated metal building and component manufacturing","332311","002.7","001.0","012.1","011.7"
"      Fabricated structural metal manufacturing","332312","003.8","003.7","007.8","007.8"
"      Plate work manufacturing","332313","003.8","001.8","011.4","012.6"
"     Ornamental and architectural metal products manufacturing","33232","003.3","007.3","005.9","006.1"
"      Metal window and door manufacturing","332321","003.3","002.2","010.2","008.5"
"      Sheet metal work manufacturing","332322","003.5","003.8","008.5","009.2"
"      Ornamental and architectural metal work manufacturing","332323","002.9","001.3","014.0","016.0"
"    Boiler, tank, and shipping container manufacturing","3324","002.6","002.5","007.0","007.0"
"     Power boiler and heat exchanger manufacturing","33241","002.6","000.5","014.6","014.7"
"     Metal tank (heavy gauge) manufacturing","33242","002.1","000.8","014.9","014.7"
"     Metal can, box, and other metal container (light gauge) manufacturing","33243","003.0","001.2","008.7","008.8"
"      Metal can manufacturing","332431","002.7","000.6","010.4","009.5"
"      Other metal container manufacturing","332439","003.6","000.5","014.2","015.8"
"    Hardware manufacturing","3325","003.0","000.7","011.0","010.5"
"    Spring and wire product manufacturing","3326","003.8","001.5","010.3","011.0"
"     Spring and wire product manufacturing","33261","003.8","001.5","010.3","011.0"
"      Spring manufacturing","332613","003.5","000.6","015.0","013.8"
"      Other fabricated wire product manufacturing","332618","003.9","000.9","013.7","015.6"
"    Machine shops; turned product; and screw, nut, and bolt manufacturing","3327","002.7","008.9","006.0","006.3"
"     Machine shops","33271","002.5","006.6","007.5","007.9"
"     Turned product and screw, nut, and bolt manufacturing","33272","003.2","002.3","009.0","009.5"
"      Precision turned product manufacturing","332721","003.5","001.3","012.9","013.4"
"      Bolt, nut, screw, rivet, and washer manufacturing","332722","002.8","001.0","012.5","013.1"
"    Coating, engraving, heat treating, and allied activities","3328","003.3","004.3","009.5","010.4"
"     Coating, engraving, heat treating, and allied activities","33281","003.3","004.3","009.5","010.4"
"      Metal heat treating","332811","003.0","000.5","021.0","023.1"
"      Metal coating, engraving (except jewelry and silverware), and allied services to manufacturers","332812","002.6","001.5","016.6","018.0"
"      Electroplating, plating, polishing, anodizing, and coloring","332813","004.2","002.3","013.4","014.8"
"    Other fabricated metal product manufacturing","3329","002.4","006.5","006.1","006.1"
"     Metal valve manufacturing","33291","001.7","001.4","007.3","007.5"
"      Industrial valve manufacturing","332911","001.8","000.5","012.3","012.8"
"      Fluid power valve and hose fitting manufacturing","332912","001.6","000.5","013.3","013.5"
"      Plumbing fixture fitting and trim manufacturing","332913","001.9","000.2","018.8","016.8"
"      Other metal valve and pipe fitting manufacturing","332919","001.5","000.2","015.8","017.1"
"     All other fabricated metal product manufacturing","33299","002.8","005.1","007.6","007.4"
"      Ball and roller bearing manufacturing","332991","001.9","000.4","013.9","012.9"
"      Small arms ammunition manufacturing","332992","001.9","000.2","010.2","011.0"
"      Small arms, ordnance, and ordnance accessories manufacturing","332994","002.1","000.5","016.0","016.5"
"      Fabricated pipe and pipe fitting manufacturing","332996","003.0","001.0","013.2","012.4"
"      All other miscellaneous fabricated metal product manufacturing","332999","003.7","002.9","010.7","011.9"
"   Machinery manufacturing","333","002.5","027.8","002.7","002.8"
"    Agriculture, construction, and mining machinery manufacturing","3331","003.3","007.3","005.0","004.7"
"     Agricultural implement manufacturing","33311","004.2","003.7","005.9","006.5"
"      Farm machinery and equipment manufacturing","333111","004.8","003.3","006.3","006.9"
"      Lawn and garden tractor and home lawn and garden equipment manufacturing","333112","002.0","000.4","014.7","016.9"
"     Construction machinery manufacturing","33312","003.5","002.6","008.4","008.7"
"     Mining and oil and gas field machinery manufacturing","33313","001.8","001.1","013.7","010.9"
"      Mining machinery and equipment manufacturing","333131","003.4","000.3","016.5","014.2"
"    Industrial machinery manufacturing","3332","001.8","002.3","010.5","011.2"
"     Industrial machinery manufacturing","33324","001.8","002.3","010.5","011.2"
"      Food product machinery manufacturing","333241","001.8","000.4","021.4","022.9"
"      Semiconductor machinery manufacturing","333242","001.0","000.3","022.7","022.7"
"      Sawmill, woodworking, and paper machinery manufacturing","333243","003.3","000.4","018.1","019.2"
"      Printing machinery and equipment manufacturing","333244","003.6","000.2","046.3","032.7"
"      Other industrial machinery manufacturing","333249","001.7","001.0","018.6","020.6"
"    Commercial and service industry machinery manufacturing","3333","001.9","001.7","010.0","009.5"
"     Commercial and service industry machinery manufacturing","33331","001.9","001.7","010.0","009.5"
"      Other commercial and service industry machinery manufacturing","333318","002.4","001.5","011.0","010.2"
"    Ventilation, heating, air-conditioning, and commercial refrigeration equipment manufacturing","3334","002.5","003.3","006.3","006.8"
"     Ventilation, heating, air-conditioning, and commercial refrigeration equipment manufacturing","33341","002.5","003.3","006.3","006.8"
"      Industrial and commercial fan and blower and air purification equipment manufacturing","333413","002.8","000.8","015.6","015.8"
"      Heating equipment (except warm air furnaces) manufacturing","333414","003.5","000.6","016.4","016.1"
"      Air-conditioning and warm air heating equipment and commercial and industrial refrigeration equipment manufacturing","333415","002.2","001.9","007.2","008.2"
"    Metalworking machinery manufacturing","3335","002.7","004.3","009.4","009.8"
"     Metalworking machinery manufacturing","33351","002.7","004.3","009.4","009.8"
"      Industrial mold manufacturing","333511","002.0","000.6","015.8","016.9"
"      Special die and tool, die set, jig, and fixture manufacturing","333514","003.5","001.9","018.1","018.7"
"      Cutting tool and machine tool accessory manufacturing","333515","002.1","000.4","021.2","022.0"
"      Machine tool manufacturing","333517","002.5","001.0","013.5","014.7"
"    Engine, turbine, and power transmission equipment manufacturing","3336","002.1","001.9","009.0","008.2"
"     Engine, turbine, and power transmission equipment manufacturing","33361","002.1","001.9","009.0","008.2"
"      Turbine and turbine generator set units manufacturing","333611","003.2","000.7","024.5","018.9"
"      Speed changer, industrial high-speed drive, and gear manufacturing","333612","002.5","000.3","019.1","017.9"
"      Mechanical power transmission equipment manufacturing","333613","002.1","000.3","013.1","015.2"
"      Other engine equipment manufacturing","333618","001.5","000.7","009.3","010.3"
"    Other general purpose machinery manufacturing","3339","002.5","007.0","004.9","005.4"
"     Pump and compressor manufacturing","33391","001.6","000.7","013.9","016.5"
"      Air and gas compressor manufacturing","333912","001.3","000.2","025.7","031.9"
"      Measuring, dispensing, and other pumping equipment manufacturing7","333914","001.8","000.5","016.6","019.0"
"     Material handling equipment manufacturing","33392","003.2","002.8","006.9","008.3"
"      Elevator and moving stairway manufacturing","333921","002.8","000.3","041.5","051.9"
"      Conveyor and conveying equipment manufacturing","333922","003.0","001.1","009.9","010.9"
"      Overhead traveling crane, hoist, and monorail system manufacturing","333923","003.1","000.5","010.5","011.9"
"      Industrial truck, tractor, trailer, and stacker machinery manufacturing","333924","003.8","001.0","009.7","012.0"
"     All other general purpose machinery manufacturing","33399","002.4","003.4","007.5","007.8"
"      Packaging machinery manufacturing","333993","001.6","000.4","022.9","022.8"
"      Industrial process furnace and oven manufacturing","333994","002.1","000.2","022.0","024.5"
"      Fluid power cylinder and actuator manufacturing","333995","003.3","000.5","017.3","019.0"
"      Fluid power pump and motor manufacturing","333996","002.4","000.4","027.8","030.8"
"      Scale and balance manufacturing","333997","002.6","000.1","044.2","021.5"
"      All other miscellaneous general purpose machinery manufacturing","333999","002.9","001.3","012.4","013.2"
"   Computer and electronic product manufacturing","334","000.8","008.1","005.4","005.7"
"    Computer and peripheral equipment manufacturing","3341","000.6","000.8","016.6","019.4"
"     Computer and peripheral equipment manufacturing","33411","000.6","000.8","016.6","019.4"
"      Electronic computer manufacturing","334111","000.4","000.4","015.3","030.9"
"      Computer storage device manufacturing","334112","000.3","0.0 9   ","031.2","030.2"
"      Computer terminal and other computer peripheral equipment manufacturing","334118","001.4","000.4","022.6","026.1"
"    Communications equipment manufacturing","3342","000.8","000.7","030.2","030.5"
"     Telephone apparatus manufacturing","33421","000.2","0.0 9   ","023.1","023.4"
"     Radio and television broadcasting and wireless communications equipment manufacturing","33422","001.1","000.5","036.8","037.4"
"    Audio and video equipment manufacturing","3343","000.8","000.1","018.6","021.3"
"    Semiconductor and other electronic component manufacturing","3344","000.8","003.1","007.3","008.7"
"     Semiconductor and other electronic component manufacturing","33441","000.8","003.1","007.3","008.7"
"      Bare printed circuit board manufacturing","334412","001.7","000.4","017.7","020.4"
"      Semiconductor and related device manufacturing","334413","000.6","001.1","009.8","017.4"
"      Capacitor, resistor, coil, transformer, and other inductor manufacturing","334416","001.8","000.3","024.5","023.6"
"      Electronic connector manufacturing","334417","000.8","000.2","013.6","014.1"
"      Printed circuit assembly (electronic assembly) manufacturing","334418","000.8","000.5","015.8","016.6"
"      Other electronic component manufacturing","334419","001.0","000.6","018.9","021.0"
"    Navigational, measuring, electromedical, and control instruments manufacturing","3345","000.8","003.4","007.6","007.9"
"     Navigational, measuring, electromedical, and control instruments manufacturing","33451","000.8","003.4","007.6","007.9"
"      Electromedical and electrotherapeutic apparatus manufacturing","334510","000.8","000.5","019.3","021.4"
"      Search, detection, navigation, guidance, aeronautical, and nautical system and instrument manufacturing","334511","000.4","000.5","011.6","012.7"
"      Automatic environmental control manufacturing for residential, commercial, and appliance use","334512","002.6","000.4","039.8","040.1"
"      Instruments and related products manufacturing for measuring, displaying, and controlling industrial process variables","334513","001.1","000.6","012.4","013.4"
"      Instrument manufacturing for measuring and testing electricity and electrical signals","334515","000.8","000.3","035.8","035.9"
"      Analytical laboratory instrument manufacturing","334516","000.9","000.4","015.5","017.2"
"      Irradiation apparatus manufacturing","334517","000.8","000.1","025.9","024.4"
"      Other measuring and controlling device manufacturing","334519","001.1","000.4","020.1","018.9"
"    Manufacturing and reproducing magnetic and optical media","3346","-","-","-","-"
"     Manufacturing and reproducing magnetic and optical media","33461","-","-","-","-"
"      Blank magnetic and optical recording media manufacturing","334613","(-10-)   ","(-10-)   ","006.4","012.4"
"   Electrical equipment, appliance, and component manufacturing","335","001.9","007.8","003.7","004.3"
"    Electric lighting equipment manufacturing","3351","001.6","000.6","014.9","014.9"
"     Electric lamp bulb and part manufacturing","33511","001.5","000.1","036.0","038.9"
"     Lighting fixture manufacturing","33512","001.6","000.5","016.1","016.1"
"      Residential electric lighting fixture manufacturing","335121","001.3","000.1","045.4","043.8"
"      Commercial, industrial, and institutional electric lighting fixture manufacturing","335122","001.9","000.4","016.8","017.8"
"    Household appliance manufacturing","3352","002.0","001.2","005.3","006.6"
"     Small electrical appliance manufacturing","33521","001.5","000.2","023.0","023.0"
"     Major household appliance manufacturing","33522","002.0","001.0","004.9","006.7"
"    Electrical equipment manufacturing","3353","002.0","002.9","006.2","006.4"
"     Electrical equipment manufacturing","33531","002.0","002.9","006.2","006.4"
"      Power, distribution, and specialty transformer manufacturing","335311","004.1","001.2","009.8","009.1"
"      Motor and generator manufacturing","335312","001.4","000.5","012.8","012.5"
"      Switchgear and switchboard apparatus manufacturing","335313","002.2","000.8","011.8","012.1"
"      Relay and industrial control manufacturing","335314","000.9","000.3","024.3","026.8"
"    Other electrical equipment and component manufacturing","3359","001.9","003.1","006.3","008.0"
"     Battery manufacturing","33591","002.2","001.2","005.9","013.3"
"      Storage battery manufacturing","335911","002.3","001.2","005.7","013.7"
"      Primary battery manufacturing","335912","000.9","0.0 9   ","029.6","033.8"
"     Communication and energy wire and cable manufacturing","33592","002.0","000.5","018.5","017.7"
"      Fiber optic cable manufacturing","335921","001.8","000.2","016.2","015.8"
"      Other communication and energy wire manufacturing","335929","002.2","000.3","031.2","029.6"
"     Wiring device manufacturing","33593","002.0","000.7","013.5","014.4"
"      Current-carrying wiring device manufacturing","335931","001.6","000.4","018.0","020.0"
"      Noncurrent-carrying wiring device manufacturing","335932","002.8","000.3","021.4","020.0"
"     All other electrical equipment and component manufacturing","33599","001.5","000.7","017.4","019.2"
"   Transportation equipment manufacturing","336","003.0","051.7","001.4","001.5"
"    Motor vehicle manufacturing","3361","004.8","013.2","001.9","002.9"
"     Automobile and light duty motor vehicle manufacturing","33611","004.9","011.7","001.9","003.1"
"      Automobile manufacturing","336111","005.1","008.4","001.6","003.2"
"      Light truck and utility vehicle manufacturing","336112","004.4","003.3","005.4","007.6"
"     Heavy duty truck manufacturing","33612","004.3","001.5","006.8","007.0"
"    Motor vehicle body and trailer manufacturing","3362","005.3","008.3","004.4","004.8"
"     Motor vehicle body and trailer manufacturing","33621","005.3","008.3","004.4","004.8"
"      Motor vehicle body manufacturing","336211","004.7","002.7","009.1","010.1"
"      Truck trailer manufacturing","336212","005.0","002.2","008.2","008.8"
"      Motor home manufacturing","336213","005.5","000.5","017.6","017.8"
"      Travel trailer and camper manufacturing","336214","006.5","002.9","006.3","006.7"
"    Motor vehicle parts manufacturing","3363","002.7","015.4","002.0","002.1"
"     Motor vehicle gasoline engine and engine parts manufacturing","33631","002.8","001.6","005.0","005.6"
"     Motor vehicle electrical and electronic equipment manufacturing","33632","002.1","001.2","006.3","006.5"
"     Motor vehicle steering and suspension components (except spring) manufacturing","33633","002.4","000.8","007.5","008.4"
"     Motor vehicle brake system manufacturing","33634","002.2","000.4","012.9","014.3"
"     Motor vehicle transmission and power train parts manufacturing","33635","002.3","001.8","005.7","006.2"
"     Motor vehicle seating and interior trim manufacturing","33636","002.6","001.9","006.2","006.7"
"     Motor vehicle metal stamping","33637","003.6","003.1","003.3","003.6"
"     Other motor vehicle parts manufacturing","33639","002.9","004.5","004.3","004.6"
"    Aerospace product and parts manufacturing","3364","001.4","007.0","003.5","004.7"
"     Aerospace product and parts manufacturing","33641","001.4","007.0","003.5","004.7"
"      Aircraft manufacturing","336411","001.6","003.5","004.4","008.1"
"      Aircraft engine and engine parts manufacturing","336412","001.3","001.1","011.3","008.0"
"      Other aircraft parts and auxiliary equipment manufacturing","336413","001.6","001.6","006.9","007.2"
"      Guided missile and space vehicle manufacturing","336414","000.6","000.6","011.2","012.9"
"      Guided missile and space vehicle propulsion unit and propulsion unit parts manufacturing","336415","000.9","000.1","011.1","014.2"
"      Other guided missile and space vehicle parts and auxiliary equipment manufacturing","336419","001.3","000.1","026.2","030.5"
"    Railroad rolling stock manufacturing","3365","001.7","000.4","008.8","009.6"
"    Ship and boat building","3366","004.2","006.6","004.7","005.0"
"     Ship and boat building","33661","004.2","006.6","004.7","005.0"
"      Ship building and repairing","336611","004.4","004.8","006.0","006.1"
"      Boat building","336612","003.8","001.9","006.8","008.4"
"    Other transportation equipment manufacturing","3369","002.2","000.8","010.0","010.1"
"     Other transportation equipment manufacturing","33699","002.2","000.8","010.0","010.1"
"      Motorcycle, bicycle, and parts manufacturing","336991","001.8","000.2","021.3","019.4"
"      Military armored vehicle, tank, and tank component manufacturing","336992","002.1","000.2","007.7","010.9"
"      All other transportation equipment manufacturing","336999","002.5","000.5","014.8","015.4"
"   Furniture and related product manufacturing","337","003.1","010.6","005.4","005.8"
"    Household and institutional furniture and kitchen cabinet manufacturing","3371","003.2","007.0","007.2","008.0"
"     Wood kitchen cabinet and countertop manufacturing","33711","003.0","003.4","008.3","008.9"
"     Household and institutional furniture manufacturing","33712","003.4","003.6","011.7","013.0"
"      Upholstered household furniture manufacturing","337121","003.6","001.7","023.4","026.7"
"      Nonupholstered wood household furniture manufacturing","337122","002.7","000.7","014.3","012.4"
"      Household furniture (except wood and metal) manufacturing","337125","002.4","000.1","026.3","032.1"
"      Institutional furniture manufacturing","337127","003.4","000.8","009.6","010.5"
"    Office furniture (including fixtures) manufacturing","3372","003.0","002.9","008.5","008.6"
"     Office furniture (including fixtures) manufacturing","33721","003.0","002.9","008.5","008.6"
"      Wood office furniture manufacturing","337211","002.0","000.3","019.3","019.1"
"      Custom architectural woodwork and millwork manufacturing","337212","002.3","000.6","013.8","012.7"
"      Office furniture (except wood) manufacturing","337214","002.2","000.4","008.9","011.1"
"      Showcase, partition, shelving, and locker manufacturing","337215","004.3","001.6","014.0","014.2"
"    Other furniture related product manufacturing","3379","002.4","000.7","014.2","013.9"
"     Mattress manufacturing","33791","003.2","000.6","015.2","015.1"
"   Miscellaneous manufacturing","339","001.9","011.4","005.9","006.0"
"    Medical equipment and supplies manufacturing","3391","001.4","004.5","009.9","009.9"
"     Medical equipment and supplies manufacturing","33911","001.4","004.5","009.9","009.9"
"      Surgical and medical instrument manufacturing","339112","001.1","001.6","007.6","007.1"
"      Surgical appliance and supplies manufacturing","339113","001.8","001.7","022.6","023.1"
"      Dental equipment and supplies manufacturing","339114","001.6","000.3","013.9","014.7"
"      Ophthalmic goods manufacturing","339115","001.9","000.4","019.4","018.2"
"      Dental laboratories","339116","001.3","000.5","026.2","025.8"
"    Other miscellaneous manufacturing","3399","002.5","006.9","007.2","007.6"
"     Jewelry and silverware manufacturing","33991","001.8","000.4","030.6","033.6"
"     Sporting and athletic goods manufacturing","33992","002.4","001.0","011.9","012.6"
"     Doll, toy, and game manufacturing","33993","001.8","000.2","040.7","043.9"
"     Office supplies (except paper) manufacturing","33994","002.8","000.3","024.3","025.1"
"     Sign manufacturing","33995","002.8","002.0","015.8","016.3"
"     All other miscellaneous manufacturing","33999","002.5","003.1","010.9","011.4"
"      Gasket, packing, and sealing device manufacturing","339991","001.7","000.5","015.7","015.3"
"      Musical instrument manufacturing","339992","001.6","000.2","020.4","018.6"
"      Broom, brush, and mop manufacturing","339994","003.4","000.3","029.5","029.7"
"      All other miscellaneous manufacturing","339999","002.9","002.0","016.1","017.1"
"","","","","",""
"1The incidence rates represent the number of injuries and illnesses per 100 full-time equivalent workers and were calculated as: (N/EH) x 200,000, where ","","","","",""
"     N = number of injuries and illnesses","","","","",""
"     EH = total hours worked by all employees during the calendar year","","","","",""
"     200,000 = base for 100 full-time equivalent workers (working 40 hours per week, 50 weeks per year)","","","","",""
"2Totals include data for industries not shown separately.","","","","",""
"3North American Industry Classification System -- United States, 2017","","","","",""
"4Excludes farms with fewer than 11 employees.","","","","",""
"5Data for mining operators in this industry are provided to BLS by the Mine Safety and Health Administration, U.S. Department of Labor. Independent mining contractors are excluded. These data do not reflect the changes the Occupational Safety and Health Administration made to its recordkeeping requirements effective January 1, 2002; therefore, estimates for these industries are not comparable to estimates in other industries.","","","","",""
"6Data for Mining (Sector 21 in the North American Industry Classification System -- United States, 2017) include establishments not governed by the Mine Safety and Health Administration rules and reporting, such as those in Oil and Gas Extraction and related support activities. Data for mining operators in coal, metal, and nonmetal mining are provided to BLS by the Mine Safety and Health Administration, U.S. Department of Labor. Independent mining contractors are excluded from the coal, metal, and nonmetal mining industries. These data do not reflect the changes the Occupational Safety and Health Administration made to its recordkeeping requirements effective January 1, 2002; therefore, estimates for these industries are not comparable to estimates in other industries.","","","","",""
"7Industry added in 2019.","","","","",""
"8Relative standard errors were not calculated for mining, except oil and gas (NAICS 212), and rail transportation (NAICS 482).","","","","",""
"9Less than 50 cases","","","","",""
"10Less than 15 cases","","","","",""
"11Data for employers in rail transportation are provided to BLS by the Federal Railroad Administration, U.S. Department of Transportation. The scope of the data published in the SOII differs from the scope of the data published by the FRA. For more information on differences see the SOII Handbook of Methods Data Concepts page: https://www.bls.gov/opub/hom/soii/data.htm.","","","","",""
"12Data too small to be displayed.","","","","",""
"NOTE: Because of rounding, components may not add to totals. Dash indicates data do not meet publication guidelines.","","","","",""
"SOURCE: U.S. Bureau of Labor Statistics, U.S. Department of Labor","","","","",""
