"Table 4a: Number of Individual Voluntary Arrangements by location, England and Wales, 2011 to 2021 [r]","","","","","","","","","","","","",""
"Back to contents","","","","","","","","","","","","",""
"This worksheet contains one table. Some cells refer to notes which can be found in the Notes worksheet.","","","","","","","","","","","","",""
"Source: Insolvency Service","","","","","","","","","","","","",""
"Code","Name","Geography","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021"
"E07000207","Elmbridge","Non-metropolitan District","51","58","60","55","40","52","78","97","76","92","87"
"E07000208","Epsom and Ewell","Non-metropolitan District","37","34","32","49","26","28","55","46","53","63","58"
"E07000209","Guildford","Non-metropolitan District","62","52","65","76","67","78","109","129","122","152","136"
"E07000210","Mole Valley","Non-metropolitan District","44","31","53","42","22","42","52","41","61","66","74"
"E07000211","Reigate and Banstead","Non-metropolitan District","98","81","82","82","85","94","135","111","129","144","137"
"E07000212","Runnymede","Non-metropolitan District","52","66","59","41","29","46","79","79","77","91","87"
"E07000213","Spelthorne","Non-metropolitan District","79","61","76","67","59","77","86","111","122","127","158"
"E07000214","Surrey Heath","Non-metropolitan District","65","62","50","44","32","36","70","72","76","93","98"
"E07000215","Tandridge","Non-metropolitan District","65","47","63","38","37","52","53","68","73","83","81"
"E07000216","Waverley","Non-metropolitan District","45","49","63","62","47","67","75","71","97","84","125"
"E07000217","Woking","Non-metropolitan District","40","42","40","56","40","63","68","108","92","96","89"
"E10000032","West Sussex","County","744","646","703","722","545","692","889","1,073","1,196","1,225","1,245"
"E07000223","Adur","Non-metropolitan District","52","52","47","64","42","68","80","55","94","87","89"
"E07000224","Arun","Non-metropolitan District","133","124","161","158","121","142","196","228","252","251","279"
"E07000225","Chichester","Non-metropolitan District","101","89","93","73","52","77","108","130","151","178","166"
"E07000226","Crawley","Non-metropolitan District","151","117","113","129","90","119","151","184","173","194","220"
"E07000227","Horsham","Non-metropolitan District","88","80","100","98","86","93","119","146","167","168","147"
"E07000228","Mid Sussex","Non-metropolitan District","105","99","94","91","81","100","131","175","185","181","169"
"E07000229","Worthing","Non-metropolitan District","114","85","95","109","73","93","104","155","174","166","175"
"E12000009","SOUTH WEST","Region","4,511","4,649","4,829","5,213","3,967","4,953","6,119","7,425","7,950","7,944","7,689"
"E06000022","Bath and North East Somerset","Unitary Authority","97","111","107","90","81","100","123","158","162","183","173"
"E06000058","Bournemouth, Christchurch and Poole [note 5]","Unitary Authority","262","259","317","326","255","330","409","456","508","509","539"
"E06000023","Bristol, City of","Unitary Authority","345","275","317","310","287","362","416","455","473","527","429"
"E06000052","Cornwall","Unitary Authority","523","558","600","658","469","619","714","933","903","881","881"
"E06000059","Dorset [note 6]","Unitary Authority","273","305","291","302","235","254","359","463","474","469","472"
"E06000053","Isles of Scilly","Unitary Authority","1","0","0","5","1","1","0","3","3","0","2"
"E06000024","North Somerset","Unitary Authority","165","205","167","196","164","196","245","259","284","272","227"
"E06000026","Plymouth","Unitary Authority","300","306","308","372","306","406","503","566","643","585","571"
"E06000025","South Gloucestershire","Unitary Authority","264","232","236","252","144","208","273","304","312","321","298"
"E06000030","Swindon","Unitary Authority","233","258","244","228","173","207","267","326","367","392","353"
"E06000027","Torbay","Unitary Authority","127","126","149","157","141","187","202","276","274","258","248"
"E06000054","Wiltshire","Unitary Authority","372","361","440","502","341","403","511","699","702","727","810"
"E10000008","Devon","County","593","667","678","700","569","675","852","1,065","1,239","1,165","1,091"
"E07000040","East Devon","Non-metropolitan District","103","105","98","113","118","96","142","190","194","180","184"
"E07000041","Exeter","Non-metropolitan District","82","79","84","107","78","125","133","150","184","165","169"
"E07000042","Mid Devon","Non-metropolitan District","64","81","72","75","67","92","93","135","148","139","120"
"E07000043","North Devon","Non-metropolitan District","74","101","86","97","84","63","110","122","148","192","167"
"E07000044","South Hams","Non-metropolitan District","65","57","71","46","48","61","69","99","131","102","82"
"E07000045","Teignbridge","Non-metropolitan District","98","123","138","129","87","128","155","206","243","196","211"
"E07000046","Torridge","Non-metropolitan District","60","77","62","77","50","60","92","107","114","105","92"
"E07000047","West Devon","Non-metropolitan District","47","44","67","56","37","50","58","56","77","86","66"
"E10000013","Gloucestershire","County","488","478","472","518","397","470","580","691","740","807","808"
"E07000078","Cheltenham","Non-metropolitan District","72","70","75","79","65","60","88","95","104","117","133"
"E07000079","Cotswold","Non-metropolitan District","66","71","48","58","51","48","53","98","86","99","87"
"E07000080","Forest of Dean","Non-metropolitan District","65","72","85","69","79","79","92","116","127","112","131"
"E07000081","Gloucester","Non-metropolitan District","120","124","117","139","94","134","159","163","185","210","213"
"E07000082","Stroud","Non-metropolitan District","86","74","88","99","69","81","100","104","115","123","128"
"E07000083","Tewkesbury","Non-metropolitan District","79","67","59","74","39","68","88","115","123","146","116"
"E10000027","Somerset","County","468","508","503","597","404","535","665","771","866","848","787"
"E07000187","Mendip","Non-metropolitan District","84","86","85","77","71","75","100","133","120","133","132"
"E07000188","Sedgemoor","Non-metropolitan District","118","145","134","153","100","128","148","168","217","208","175"
"E07000246","Somerset West and Taunton [note 7]","Non-metropolitan District","119","144","126","156","108","155","178","229","249","255","252"
"E07000189","South Somerset","Non-metropolitan District","147","133","158","211","125","177","239","241","280","252","228"
"W92000004","WALES","Country","2,772","2,640","2,880","3,196","2,288","2,769","3,323","3,877","4,401","4,385","4,482"
"W06000001","Isle of Anglesey","Unitary Authority","52","50","58","59","55","70","58","66","80","88","78"
"W06000002","Gwynedd","Unitary Authority","90","87","114","101","71","65","104","130","144","113","138"
"W06000003","Conwy","Unitary Authority","131","104","110","120","68","125","108","146","164","195","181"
"W06000004","Denbighshire","Unitary Authority","95","86","112","144","89","94","111","146","125","150","145"
"W06000005","Flintshire","Unitary Authority","177","167","152","170","99","128","173","175","214","208","230"
"W06000006","Wrexham","Unitary Authority","126","133","141","149","113","121","170","208","218","217","199"
"W06000023","Powys","Unitary Authority","72","79","85","76","76","93","105","125","144","137","154"
"W06000008","Ceredigion","Unitary Authority","49","44","27","40","29","47","42","63","54","61","58"
"W06000009","Pembrokeshire","Unitary Authority","118","101","118","105","67","95","121","117","143","156","138"
"W06000010","Carmarthenshire","Unitary Authority","160","177","182","198","121","168","209","263","260","269","281"
"W06000011","Swansea","Unitary Authority","212","181","217","220","160","237","270","345","348","324","380"
"W06000012","Neath Port Talbot","Unitary Authority","165","149","135","182","116","160","207","222","252","239","238"
"W06000013","Bridgend","Unitary Authority","176","151","167","175","148","161","159","197","238","267","272"
"W06000014","Vale of Glamorgan","Unitary Authority","103","90","95","134","81","81","127","129","154","160","152"
"W06000015","Cardiff","Unitary Authority","206","240","218","278","185","217","298","290","375","351","359"
"W06000016","Rhondda Cynon Taf","Unitary Authority","250","197","257","286","211","249","359","366","460","446","453"
"W06000024","Merthyr Tydfil","Unitary Authority","56","50","54","69","65","71","41","71","97","115","132"
"W06000018","Caerphilly","Unitary Authority","174","197","200","247","205","190","181","277","305","312","297"
"W06000019","Blaenau Gwent","Unitary Authority","57","80","108","102","72","95","121","124","143","123","122"
"W06000020","Torfaen","Unitary Authority","91","84","104","107","87","99","127","129","167","148","169"
"W06000021","Monmouthshire","Unitary Authority","72","66","76","88","43","51","69","85","82","96","92"
"W06000022","Newport","Unitary Authority","140","127","150","146","127","152","163","203","234","210","214"
"UNK","Unknown","","672","366","330","336","437","639","85","100","87","85","63"
"","","","","","","","","","","","","",""
"","","","","","","","","","","","","",""
"","","","","","","","","","","","","",""
"","","","","","","","","","","","","",""
"","","","","","","","","","","","","",""
"","","","","","","","","","","","","",""
"","","","","","","","","","","","","",""
"","","","","","","","","","","","","",""
"","","","","","","","","","","","","",""
"","","","","","","","","","","","","",""
"","","","","","","","","","","","","",""
"","","","","","","","","","","","","",""
"","","","","","","","","","","","","",""
"","","","","","","","","","","","","",""
"","","","","","","","","","","","","",""
"","","","","","","","","","","","","",""
"","","","","","","","","","","","","",""
"","","","","","","","","","","","","",""
"","","","","","","","","","","","","",""
"","","","","","","","","","","","","",""
"","","","","","","","","","","","","",""
"","","","","","","","","","","","","",""
"","","","","","","","","","","","","",""
"","","","","","","","","","","","","",""
"","","","","","","","","","","","","",""
"","","","","","","","","","","","","",""
"","","","","","","","","","","","","",""
"","","","","","","","","","","","","",""
"","","","","","","","","","","","","",""
"","","","","","","","","","","","","",""
"","","","","","","","","","","","","",""
"","","","","","","","","","","","","",""
"","","","","","","","","","","","","",""
"","","","","","","","","","","","","",""
"","","","","","","","","","","","","",""
"","","","","","","","","","","","","",""
"","","","","","","","","","","","","",""
"","","","","","","","","","","","","",""
"","","","","","","","","","","","","",""
"","","","","","","","","","","","","",""
"","","","","","","","","","","","","",""
"","","","","","","","","","","","","",""
"","","","","","","","","","","","","",""
"","","","","","","","","","","","","",""
"","","","","","","","","","","","","",""
"","","","","","","","","","","","","",""
"","","","","","","","","","","","","",""
"","","","","","","","","","","","","",""
"","","","","","","","","","","","","",""
"","","","","","","","","","","","","",""
"","","","","","","","","","","","","",""
"","","","","","","","","","","","","",""
"","","","","","","","","","","","","",""
"","","","","","","","","","","","","",""
"","","","","","","","","","","","","",""
"","","","","","","","","","","","","",""
"","","","","","","","","","","","","",""
"","","","","","","","","","","","","",""
"","","","","","","","","","","","","",""
"","","","","","","","","","","","","",""
"","","","","","","","","","","","","",""
"","","","","","","","","","","","","",""
"","","","","","","","","","","","","",""
"","","","","","","","","","","","","",""
"","","","","","","","","","","","","",""
"","","","","","","","","","","","","",""
"","","","","","","","","","","","","",""
"","","","","","","","","","","","","",""
"","","","","","","","","","","","","",""
"","","","","","","","","","","","","",""
"","","","","","","","","","","","","",""
"","","","","","","","","","","","","",""
"","","","","","","","","","","","","",""
"","","","","","","","","","","","","",""
"","","","","","","","","","","","","",""
"","","","","","","","","","","","","",""
"","","","","","","","","","","","","",""
"","","","","","","","","","","","","",""
"","","","","","","","","","","","","",""
"","","","","","","","","","","","","",""
"","","","","","","","","","","","","",""
"","","","","","","","","","","","","",""
"","","","","","","","","","","","","",""
"","","","","","","","","","","","","",""
"","","","","","","","","","","","","",""
"","","","","","","","","","","","","",""
"","","","","","","","","","","","","",""
"","","","","","","","","","","","","",""
"","","","","","","","","","","","","",""
"","","","","","","","","","","","","",""
"","","","","","","","","","","","","",""
"","","","","","","","","","","","","",""
"","","","","","","","","","","","","",""
"","","","","","","","","","","","","",""
"","","","","","","","","","","","","",""
"","","","","","","","","","","","","",""
"","","","","","","","","","","","","",""
"","","","","","","","","","","","","",""
"","","","","","","","","","","","","",""
"","","","","","","","","","","","","",""
"","","","","","","","","","","","","",""
"","","","","","","","","","","","","",""
"","","","","","","","","","","","","",""
"","","","","","","","","","","","","",""
"","","","","","","","","","","","","",""
"","","","","","","","","","","","","",""
"","","","","","","","","","","","","",""
"","","","","","","","","","","","","",""
"","","","","","","","","","","","","",""
"","","","","","","","","","","","","",""
"","","","","","","","","","","","","",""
"","","","","","","","","","","","","",""
"","","","","","","","","","","","","",""
"","","","","","","","","","","","","",""
"","","","","","","","","","","","","",""
"","","","","","","","","","","","","",""
"","","","","","","","","","","","","",""
"","","","","","","","","","","","","",""
"","","","","","","","","","","","","",""
"","","","","","","","","","","","","",""
"","","","","","","","","","","","","",""
"","","","","","","","","","","","","",""
"","","","","","","","","","","","","",""
"","","","","","","","","","","","","",""
"","","","","","","","","","","","","",""
"","","","","","","","","","","","","",""
"","","","","","","","","","","","","",""
"","","","","","","","","","","","","",""
"","","","","","","","","","","","","",""
"","","","","","","","","","","","","",""
"","","","","","","","","","","","","",""
"","","","","","","","","","","","","",""
"","","","","","","","","","","","","",""
"","","","","","","","","","","","","",""
"","","","","","","","","","","","","",""
"","","","","","","","","","","","","",""
"","","","","","","","","","","","","",""
"","","","","","","","","","","","","",""
"","","","","","","","","","","","","",""
"","","","","","","","","","","","","",""
"","","","","","","","","","","","","",""
"","","","","","","","","","","","","",""
"","","","","","","","","","","","","",""
"","","","","","","","","","","","","",""
"","","","","","","","","","","","","",""
"","","","","","","","","","","","","",""
"","","","","","","","","","","","","",""
"","","","","","","","","","","","","",""
"","","","","","","","","","","","","",""
"","","","","","","","","","","","","",""
"","","","","","","","","","","","","",""
"","","","","","","","","","","","","",""
"","","","","","","","","","","","","",""
"","","","","","","","","","","","","",""
"","","","","","","","","","","","","",""
"","","","","","","","","","","","","",""
"","","","","","","","","","","","","",""
"","","","","","","","","","","","","",""
"","","","","","","","","","","","","",""
"","","","","","","","","","","","","",""
"","","","","","","","","","","","","",""
"","","","","","","","","","","","","",""
"","","","","","","","","","","","","",""
"","","","","","","","","","","","","",""
"","","","","","","","","","","","","",""
"","","","","","","","","","","","","",""
"","","","","","","","","","","","","",""
"","","","","","","","","","","","","",""
"","","","","","","","","","","","","",""
"","","","","","","","","","","","","",""
"","","","","","","","","","","","","",""
"","","","","","","","","","","","","",""
"","","","","","","","","","","","","",""
"","","","","","","","","","","","","",""
"","","","","","","","","","","","","",""
"","","","","","","","","","","","","",""
"","","","","","","","","","","","","",""
"","","","","","","","","","","","","",""
"","","","","","","","","","","","","",""
"","","","","","","","","","","","","",""
"","","","","","","","","","","","","",""
"","","","","","","","","","","","","",""
"","","","","","","","","","","","","",""
"","","","","","","","","","","","","",""
"","","","","","","","","","","","","",""
"","","","","","","","","","","","","",""
"","","","","","","","","","","","","",""
"","","","","","","","","","","","","",""
"","","","","","","","","","","","","",""
"","","","","","","","","","","","","",""
"","","","","","","","","","","","","",""
"","","","","","","","","","","","","",""
"","","","","","","","","","","","","",""
"","","","","","","","","","","","","",""
"","","","","","","","","","","","","",""
"","","","","","","","","","","","","",""
"","","","","","","","","","","","","",""
"","","","","","","","","","","","","",""
"","","","","","","","","","","","","",""
"","","","","","","","","","","","","",""
"","","","","","","","","","","","","",""
"","","","","","","","","","","","","",""
"","","","","","","","","","","","","",""
"","","","","","","","","","","","","",""
"","","","","","","","","","","","","",""
"","","","","","","","","","","","","",""
"","","","","","","","","","","","","",""
"","","","","","","","","","","","","",""
"","","","","","","","","","","","","",""
"","","","","","","","","","","","","",""
"","","","","","","","","","","","","",""
"","","","","","","","","","","","","",""
"","","","","","","","","","","","","",""
"","","","","","","","","","","","","",""
"","","","","","","","","","","","","",""
"","","","","","","","","","","","","",""
"","","","","","","","","","","","","",""
"","","","","","","","","","","","","",""
"","","","","","","","","","","","","",""
"","","","","","","","","","","","","",""
"","","","","","","","","","","","","",""
