"","Timely indicators of entrepreneurship by enterprise characteristics, Italy","","","","","","","",""
"","·  Limited liability","","202","151","88","130","259","122",""
"","·  Partnership","","144","70","50","88","138","89",""
"","·  Sole proprietorship","","1,782","1,027","919","952","1,941","1,065",""
"","Measure: Business exits","","","","","","","",""
"","Reference area: Sardinia","","","","","","","",""
"","Economic activity: Manufacturing","","","","","","","",""
"","Total - All legal forms","","117","88","74","93","161","107",""
"","·  Unspecified","","2","3","0","1","4","2",""
"","·  Limited liability","","11","15","15","14","27","11",""
"","·  Partnership","","15","13","12","15","29","7",""
"","·  Sole proprietorship","","89","57","47","63","101","87",""
"","Measure: Business exits","","","","","","","",""
"","Reference area: Sardinia","","","","","","","",""
"","Economic activity: Wholesale and retail trade; repair of motor vehicles and motorcycles","","","","","","","",""
"","Total - All legal forms","","497","430","298","481","642","532",""
"","·  Unspecified","","2","0","2","0","2","2",""
"","·  Limited liability","","38","46","14","32","47","47",""
"","·  Partnership","","56","32","31","34","58","47",""
"","·  Sole proprietorship","","401","352","251","415","535","436",""
"","Measure: Business exits","","","","","","","",""
"","Reference area: Autonomous prov. Trento","","","","","","","",""
"","Economic activity: Manufacturing","","","","","","","",""
"","Total - All legal forms","","128","39","","81","","",""
"","·  Unspecified","","1","0","","1","","",""
"","·  Limited liability","","18","7","","21","","",""
"","·  Partnership","","10","3","","16","","",""
"","·  Sole proprietorship","","99","29","","43","","",""
"","Measure: Business exits","","","","","","","",""
"","Reference area: Autonomous prov. Trento","","","","","","","",""
"","Economic activity: Wholesale and retail trade; repair of motor vehicles and motorcycles","","","","","","","",""
"","Total - All legal forms","","335","115","","234","","",""
"","·  Unspecified","","2","1","","0","","",""
"","·  Limited liability","","43","8","","38","","",""
"","·  Partnership","","29","9","","52","","",""
"","·  Sole proprietorship","","261","97","","144","","",""
"","Measure: Business exits","","","","","","","",""
"","Reference area: Veneto","","","","","","","",""
"","Economic activity: Manufacturing","","","","","","","",""
"","Total - All legal forms","","986","420","369","580","1,075","457",""
"","·  Unspecified","","5","3","2","5","8","4",""
"","·  Limited liability","","255","105","95","209","259","140",""
"","·  Partnership","","106","31","41","88","130","41",""
"","·  Sole proprietorship","","620","281","231","278","678","272",""
"","Measure: Business exits","","","","","","","",""
"","Reference area: Veneto","","","","","","","",""
"","Economic activity: Wholesale and retail trade; repair of motor vehicles and motorcycles","","","","","","","",""
"","Total - All legal forms","","2,258","997","906","1,232","2,320","993",""
"","·  Unspecified","","6","4","2","3","4","4",""
"","·  Limited liability","","294","105","89","204","311","134",""
"","·  Partnership","","194","52","61","225","192","75",""
"","·  Sole proprietorship","","1,764","836","754","800","1,813","780",""
"","Measure: Business exits","","","","","","","",""
"","Reference area: Friuli-Venezia Giulia","","","","","","","",""
"","Economic activity: Manufacturing","","","","","","","",""
"","Total - All legal forms","","181","63","","116","","",""
"","·  Unspecified","","0","1","","1","","",""
"","·  Limited liability","","50","15","","45","","",""
"","·  Partnership","","27","8","","25","","",""
"","·  Sole proprietorship","","104","39","","45","","",""
"","Measure: Business exits","","","","","","","",""
"","Reference area: Friuli-Venezia Giulia","","","","","","","",""
"","Economic activity: Wholesale and retail trade; repair of motor vehicles and motorcycles","","","","","","","",""
"","Total - All legal forms","","443","197","","307","","",""
"","·  Unspecified","","4","1","","2","","",""
"","·  Limited liability","","44","19","","33","","",""
"","·  Partnership","","56","13","","60","","",""
"","·  Sole proprietorship","","339","164","","212","","",""
"","Measure: Business exits","","","","","","","",""
"","Reference area: Emilia-Romagna","","","","","","","",""
"","Economic activity: Manufacturing","","","","","","","",""
"","Total - All legal forms","","844","369","316","615","937","379",""
"","·  Unspecified","","4","1","3","8","13","3",""
"","·  Limited liability","","210","87","74","206","210","83",""
"","·  Partnership","","98","37","32","146","138","55",""
"","·  Sole proprietorship","","532","244","207","255","576","238",""
"","Measure: Business exits","","","","","","","",""
"","Reference area: Emilia-Romagna","","","","","","","",""
"","Economic activity: Wholesale and retail trade; repair of motor vehicles and motorcycles","","","","","","","",""
"","Total - All legal forms","","2,212","1,014","858","1,375","2,217","999",""
"","·  Unspecified","","5","2","4","7","11","4",""
"","·  Limited liability","","285","95","83","212","266","101",""
"","·  Partnership","","210","96","76","256","244","110",""
"","·  Sole proprietorship","","1,712","821","695","900","1,696","784",""
"","Measure: Business exits","","","","","","","",""
"","Reference area: Tuscany","","","","","","","",""
"","Economic activity: Manufacturing","","","","","","","",""
"","Total - All legal forms","","1,043","497","405","619","1,097","471",""
"","·  Unspecified","","4","1","4","4","1","2",""
"","·  Limited liability","","216","87","75","132","210","74",""
"","·  Partnership","","101","46","43","101","124","41",""
"","·  Sole proprietorship","","722","363","283","382","762","354",""
"","Measure: Business exits","","","","","","","",""
"","Reference area: Tuscany","","","","","","","",""
"","Economic activity: Wholesale and retail trade; repair of motor vehicles and motorcycles","","","","","","","",""
"","Total - All legal forms","","2,061","997","851","1,275","2,093","971",""
"","·  Unspecified","","3","5","0","5","4","2",""
"","·  Limited liability","","276","106","85","181","245","91",""
"","·  Partnership","","224","74","77","198","207","84",""
"","·  Sole proprietorship","","1,558","812","689","891","1,637","794",""
"","Measure: Business exits","","","","","","","",""
"","Reference area: Umbria","","","","","","","",""
"","Economic activity: Manufacturing","","","","","","","",""
"","Total - All legal forms","","122","62","81","128","205","85",""
"","·  Unspecified","","4","3","1","3","3","2",""
"","·  Limited liability","","30","16","21","54","65","28",""
"","·  Partnership","","13","9","20","27","42","13",""
"","·  Sole proprietorship","","75","34","39","44","95","42",""
"","Measure: Business exits","","","","","","","",""
"","Reference area: Umbria","","","","","","","",""
"","Economic activity: Wholesale and retail trade; repair of motor vehicles and motorcycles","","","","","","","",""
"","Total - All legal forms","","374","196","223","242","465","213",""
"","·  Unspecified","","1","0","1","1","2","2",""
"","·  Limited liability","","30","29","26","35","78","32",""
"","·  Partnership","","42","11","38","45","66","35",""
"","·  Sole proprietorship","","301","156","158","161","319","144",""
"","Measure: Business exits","","","","","","","",""
"","Reference area: Marche","","","","","","","",""
"","Economic activity: Manufacturing","","","","","","","",""
"","Total - All legal forms","","362","151","131","181","417","158",""
"","·  Unspecified","","3","1","0","1","5","1",""
"","·  Limited liability","","94","41","36","56","93","28",""
"","·  Partnership","","46","21","11","37","58","20",""
"","·  Sole proprietorship","","219","88","84","87","261","109",""
"","Measure: Business exits","","","","","","","",""
"","Reference area: Marche","","","","","","","",""
"","Economic activity: Wholesale and retail trade; repair of motor vehicles and motorcycles","","","","","","","",""
"","Total - All legal forms","","786","364","280","433","814","308",""
"","·  Unspecified","","4","2","3","3","5","1",""
"","·  Limited liability","","102","35","25","79","99","30",""
"","·  Partnership","","89","29","33","63","99","31",""
"","·  Sole proprietorship","","591","298","219","288","611","246",""
"","Measure: Business exits","","","","","","","",""
"","Reference area: Lazio","","","","","","","",""
"","Economic activity: Manufacturing","","","","","","","",""
"","Total - All legal forms","","430","208","176","292","445","261",""
"","·  Unspecified","","14","8","7","7","11","6",""
"","·  Limited liability","","135","58","54","84","130","89",""
"","·  Partnership","","48","20","24","42","56","24",""
"","·  Sole proprietorship","","233","122","91","159","248","142",""
"","Measure: Business exits","","","","","","","",""
"","Reference area: Lazio","","","","","","","",""
"","Economic activity: Wholesale and retail trade; repair of motor vehicles and motorcycles","","","","","","","",""
"","Total - All legal forms","","2,476","1,346","1,105","1,602","2,742","1,504",""
"","·  Unspecified","","11","6","7","9","21","9",""
"","·  Limited liability","","581","206","180","311","621","330",""
"","·  Partnership","","194","73","82","119","230","92",""
"","·  Sole proprietorship","","1,690","1,061","836","1,163","1,870","1,073",""
"","","","","","","","","",""
"","© Terms & conditions ","","","","","","","","Timely indicators of entrepreneurship by enterprise characteristics, Italy"
