"8"," Labour input indices: Workers, productivity jobs and productivity hours","","","","","","","","","","","","",""
""," United Kingdom","","","","","","","","","","","","",""
"","Q4","1.9","1.7","2.2","..","","-0.2","1.4","","-0.3","2.2","","1.8","2.4"
"","2016 Q1","1.3","1","1.4","..","","-1.1","-0.6","","-1.3","-0.9","","1.2","1.6"
"","Q2","2","1.8","1.8","..","","0.1","-0.8","","0.5","-0.3","","1.7","1.9"
"","Q3","1.5","1.5","2","..","","-0.3","-0.1","","0","0","","1.6","2.2"
"","Q4","1","0.9","0.4","..","","0.5","-1.8","","0.1","-2.6","","1","0.6"
"","2017 Q1","1.2","1.1","1.5","..","","0.4","-0.2","","0.4","-0.6","","0.9","1.4"
"","Q2","1","0.9","1.8","..","","0.8","1.4","","0.6","0.7","","0.6","1.4"
"","Q3","0.8","0.7","0.6","..","","2.4","2.1","","2.4","1.7","","0.2","-0.2"
"","Q4","1","1","0.4","..","","3","1.8","","2.9","1.3","","0.6","0.2"
"","2018 Q1","1.2","1.2","0.3","..","","3.4","2.2","","3.1","1.9","","1.1","0.2"
"","Q2","1","1","-0.1","..","","2.4","1.1","","2","0.3","","0.9","-0.1"
"","Q3","1.1","1.1","1.8","..","","1.4","1","","0.7","-0.3","","1.2","2.1"
"","Q4","1.4","1.2","1.5","..","","0.1","-0.5","","-0.5","-0.5","","1.4","1.6"
"","2019 Q1","1.1","1","2","..","","-1.1","1.1","","-1.2","1.3","","1.1","2"
"","Q2","1.3","1.4","1.8","..","","-1","-0.8","","-0.8","0.1","","1.7","2.4"
"","Q3","1","1","1","..","","-1.2","-1.1","","-1","0.4","","1.2","1.4"
"","Q4","1","1.1","0.8","..","","-0.6","-2","","-0.1","-1.6","","1.4","1.7"
"","2020 Q1","1","1.4","-2","..","","0.3","-4.5","","0.5","-4.7","","1.8","-1.1"
"","Q2","-0.6","-0.8","-19.7","..","","-2.2","-20.2","","-2.5","-22.1","","-0.5","-18.8"
"","Q3","-1.2","-1.5","-12.8","..","","-3","-14.5","","-3.2","-16.4","","-1","-11.8"
"","Q4","-2.4","-2.6","-7.7","..","","-3.2","-6","","-3.6","-6.8","","-2","-7.7"
"","2021 Q1","-2.5","-2.7","-7.9","..","","-4.4","-6.5","","-4.6","-7.3","","-2.2","-7.9"
"","Q2","-1","-0.6","18.5","..","","-2.5","17.8","","-2.9","19.4","","-0.3","18"
"","Q3","0.5","0.8","11.8","..","","-1.3","8.8","","-2","9.7","","1.1","11.9"
"","","","","","","","","","","","","","",""
"Per cent change on previous quarter","","","","","","","","","","","","","",""
"","","DIW8","TXAJ","TXBU","","","DJW7","DK3T","","DJX2","DK3Y","","DK2H","DK57"
"","2010 Q2","0.6","0.9","0.9","..","","0.6","0.9","","0.2","0.3","","0.8","0.8"
"","Q3","0.7","0.6","0.5","..","","0.5","0.3","","0.2","0.1","","0.6","0.6"
"","Q4","-0.2","-0.3","0.4","..","","0","2","","0","2.3","","-0.4","0.3"
"","2011 Q1","0.4","0.6","0","..","","0.6","0.4","","0.2","-0.7","","0.7","0.3"
"","Q2","0","0","-1.1","..","","-0.7","-2.3","","-0.7","-2.2","","0.1","-0.9"
"","Q3","-0.6","-0.5","0.6","..","","-0.7","-0.7","","-0.7","-0.7","","-0.6","0.5"
"","Q4","0.2","0","-0.1","..","","-0.6","-0.3","","-0.8","-0.7","","0.2","0.3"
"","2012 Q1","0.4","0.5","1","..","","0.8","0.7","","0.6","0.7","","0.5","1"
"","Q2","0.7","0.7","0.7","..","","1.8","1.5","","1.5","1.6","","0.7","0.7"
"","Q3","0.3","0.3","1","..","","0.9","1.5","","0.7","0.7","","0.3","1.2"
"","Q4","0.5","0.5","0.3","..","","-1.3","-1.8","","-0.9","-1.1","","0.8","0.6"
"","2013 Q1","-0.2","-0.4","0.1","..","","-0.8","1","","-1.2","0.4","","-0.2","0"
"","Q2","0.3","0.5","0.3","..","","-0.4","-0.2","","-0.2","0.3","","0.6","0.3"
"","Q3","0.6","0.7","1.2","..","","1.1","1.6","","1.2","1.3","","0.6","0.9"
"","Q4","0.6","0.6","0.2","..","","0","-0.9","","-0.2","-0.9","","0.6","0.3"
"","2014 Q1","0.8","0.7","0.9","..","","-0.8","-0.4","","-0.6","-0.1","","0.7","0.7"
"","Q2","0.6","0.8","1","..","","0.3","0.1","","0.6","0.5","","0.9","1"
"","Q3","0.4","0.4","0.3","..","","1","0.1","","1.1","-0.1","","0.3","0.4"
"","Q4","0.4","0.3","0.6","..","","0.1","0.9","","0.1","0.7","","0.3","0.5"
"","2015 Q1","0.7","0.7","0.3","..","","1.1","-0.1","","0.9","0.4","","0.7","0.5"
"","Q2","-0.1","-0.1","-0.1","..","","-0.4","0.4","","-0.7","-0.2","","0.1","0.1"
"","Q3","0.7","0.6","0","..","","0","-1.1","","-0.1","-0.7","","0.6","0.1"
"","Q4","0.7","0.5","2","..","","-0.9","2.2","","-0.4","2.7","","0.4","1.7"
"","2016 Q1","0.1","0","-0.5","..","","0.2","-2","","-0.2","-2.6","","0.1","-0.2"
"","Q2","0.6","0.7","0.3","..","","0.8","0.1","","1.2","0.4","","0.7","0.3"
"","Q3","0.2","0.3","0.2","..","","-0.5","-0.3","","-0.6","-0.4","","0.4","0.4"
"","Q4","0.1","-0.1","0.4","..","","-0.1","0.4","","-0.3","0","","-0.2","0.2"
"","2017 Q1","0.3","0.2","0.6","..","","0.1","-0.4","","0.2","-0.6","","0","0.5"
"","Q2","0.4","0.5","0.5","..","","1.3","1.7","","1.3","1.7","","0.4","0.3"
"","Q3","0","0.1","-1","..","","1.1","0.4","","1.3","0.5","","0","-1.2"
"","Q4","0.3","0.2","0.2","..","","0.5","0.2","","0.2","-0.3","","0.2","0.5"
"","2018 Q1","0.6","0.5","0.5","..","","0.5","-0.1","","0.4","0","","0.5","0.5"
"","Q2","0.1","0.2","0.2","..","","0.3","0.7","","0.1","0.2","","0.2","0"
"","Q3","0.1","0.3","0.9","..","","0.1","0.3","","0","-0.1","","0.3","1.1"
"","Q4","0.5","0.3","-0.1","..","","-0.9","-1.4","","-1","-0.6","","0.4","0"
"","2019 Q1","0.3","0.2","1.1","..","","-0.6","1.5","","-0.3","1.8","","0.3","1"
"","Q2","0.3","0.6","0","..","","0.3","-1.1","","0.5","-1","","0.7","0.4"
"","Q3","-0.2","-0.1","0","..","","-0.1","0","","-0.1","0.3","","-0.1","0.1"
"","Q4","0.6","0.4","-0.2","..","","-0.2","-2.3","","-0.1","-2.5","","0.6","0.2"
"","2020 Q1","0.2","0.5","-1.7","..","","0.3","-1.1","","0.2","-1.5","","0.7","-1.8"
"","Q2","-1.2","-1.7","-18.1","..","","-2.2","-17.4","","-2.5","-19.1","","-1.6","-17.6"
"","Q3","-0.8","-0.8","8.6","..","","-0.9","7.1","","-0.8","7.5","","-0.7","8.8"
"","Q4","-0.6","-0.6","5.6","..","","-0.5","7.4","","-0.6","8.7","","-0.5","4.9"
"","2021 Q1","0.1","0.4","-1.9","..","","-0.9","-1.6","","-0.8","-2","","0.6","-2"
"","Q2","0.3","0.4","5.4","..","","-0.2","4.1","","-0.7","4.2","","0.3","5.5"
"","Q3","0.8","0.6","2.5","..","","0.3","-1","","0.1","-1.2","","0.7","3.1"
"","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","",""
"","The estimates in this spreadsheet correspond to the estimates published in the Labour Productivity Statistical Bulletin Q3 2021 on 11 January 2022","","","","","","","","","","","","",""
"","Contact details:","","","","","","","","","","","","",""
"","productivity@ons.gsi.gov.uk","","","","","","","","","","","","",""
"","+ 44(0)1633 455086","","","","","","","","","","","","",""
